,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
221,Men Running Shoes,Rs.1699,Rs.1002,https://assets.myntassets.com/No image found,https://www.myntra.comsports-shoes/campus/campus-men-white-mesh-running-shoes/17516978/buy,4.1,1.1k
49,Women Running Shoes,Rs.1399,Rs.1007,https://assets.myntassets.com/No image found,https://www.myntra.comsports-shoes/campus/campus-women-green-running-shoes/13185154/buy,4.4,4k
226,Striped Block Sandals,Rs.1690,Rs.1014,https://assets.myntassets.com/No image found,https://www.myntra.comheels/metro/metro-grey--silver-toned-striped-block-sandals/18198454/buy,3.8,672
303,Women Colourblocked Sneakers,Rs.5099,Rs.1019,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23004440/2023/5/4/f75e22f8-761e-414c-b3bb-3a32710e24661683184857973RedTapeWomenWhiteColourblockedPUSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-women-colourblocked-sneakers/23004440/buy,4.5,1.2k
142,Men Colourblocked Sneakers,Rs.5199,Rs.1039,https://assets.myntassets.com/No image found,https://www.myntra.comcasual-shoes/red+tape/red-tape-men-white-colourblocked-sneakers/18123688/buy,4.1,2.4k
43,Men Canvas Trekking Shoes,Rs.2899,Rs.1043,https://assets.myntassets.com/No image found,https://www.myntra.comsports-shoes/leo%27s+fitness+shoes/leos-fitness-shoes-men-canvas-trekking-shoes/28119654/buy,4.3,48
306,Women Lightweight Sneakers,Rs.2999,Rs.1049,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23808144/2023/8/2/b57195b5-edfd-4d8c-a3c6-b7102d678f731690960103668-HRX-by-Hrithik-Roshan-Women-White--Beige-Lightweight-Comfort-11.jpg",https://www.myntra.comcasual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-white--beige-lightweight-comfort-insole-basics-sneakers/23808144/buy,4.3,1.5k
197,Men Leather Formal Derbys,Rs.4595,Rs.1056,https://assets.myntassets.com/No image found,https://www.myntra.comformal-shoes/invictus/invictus-men-textured-patent-leather-formal-derbys/23685138/buy,4.2,454
45,Men Canvas Trekking Shoes,Rs.2799,Rs.1063,https://assets.myntassets.com/No image found,https://www.myntra.comsports-shoes/leo%27s+fitness+shoes/leos-fitness-shoes-men-antimicrobial-canvas-trekking-shoes/27340062/buy,4.6,14
386,Women L-1 Running Shoes,Rs.1399,Rs.1091,https://assets.myntassets.com/No image found,https://www.myntra.comsports-shoes/campus/campus-women-maximus-l-1-running-shoes/22875854/buy,4.3,374
