,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
303,Women Colourblocked Sneakers,Rs.5099,Rs.1019,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23004440/2023/5/4/f75e22f8-761e-414c-b3bb-3a32710e24661683184857973RedTapeWomenWhiteColourblockedPUSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-women-colourblocked-sneakers/23004440/buy,4.5,1.2k
306,Women Lightweight Sneakers,Rs.2999,Rs.1049,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23808144/2023/8/2/b57195b5-edfd-4d8c-a3c6-b7102d678f731690960103668-HRX-by-Hrithik-Roshan-Women-White--Beige-Lightweight-Comfort-11.jpg",https://www.myntra.comcasual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-white--beige-lightweight-comfort-insole-basics-sneakers/23808144/buy,4.3,1.5k
356,Men Running Shoes,Rs.4999,Rs.1149,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28114928/2024/3/8/72c72518-1d9e-4d32-84ab-0b935ed1b0b61709907146110BxxyMenMeshHigh-TopRunningNon-MarkingShoes1.jpg",https://www.myntra.comsports-shoes/bxxy/bxxy-men-mesh-high-top-running-non-marking-shoes/28114928/buy,1.8,13
1,Men Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241876/2023/9/21/f5bb5c18-6233-47db-8479-be5205a3fea81695294768389WROGNMenColourblockedRunningShoes1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked-running-shoes/22241876/buy,3.8,141
151,Men Woven Design Sneakers,Rs.4299,Rs.1289,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21652432/2023/2/9/90fc3d8d-dcaa-4d99-9b2d-95e8ecadb98e1675943510035-Jack--Jones-Men-Woven-Design-Mesh-Sneakers-3051675943509405-1.jpg",https://www.myntra.comcasual-shoes/jack+%26+jones/jack--jones-men-woven-design-mesh-sneakers/21652432/buy,3.6,54
359,Women Non-Slip Basics Sneakers,Rs.7299,Rs.1459,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26425726/2023/12/14/d7067100-b012-4cdd-b42a-0c8ca0ce22421702556976665RedTapeWomenWhitePUSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-women-textured-non-slip-basics-sneakers/26425726/buy,4.5,2k
100,Men Walking Shoes,Rs.6499,Rs.1624,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29996643/2024/6/19/4e36366f-1820-47b5-9558-2767bac4b9941718801552326RedTapeMenMeshRunningNon-MarkingShoes1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-men-walking-shoes/29996643/buy,4.4,1.1k
60,Men Mesh Walking Shoes,Rs.6699,Rs.1674,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28464428/2024/3/23/51597c05-cc1e-4e92-87c1-ffbde5a17e231711191813949SportsShoes1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-flow--men-mesh-walking-shoes/28464428/buy,4.3,655
159,Men Mesh Walking Shoes,Rs.6899,Rs.1724,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19545530/2023/9/28/78b85d5c-9382-4afb-b6b8-25fa86f2146b1695891177986-Red-Tape-Men-White-Walking-Shoes-151695891177697-1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-men-white-walking-shoes/19545530/buy,4.1,5.8k
110,Men Leather Horsebit Loafers,Rs.5490,Rs.1756,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24352902/2023/8/5/bb50ebd6-b97c-482f-a448-3acf31f0d5a31691220557922RuoshMenBrownColourblockedLeatherSlip-OnSneakers1.jpg",https://www.myntra.comcasual-shoes/ruosh/ruosh-men-textured-leather-horsebit-loafers/24352902/buy,3.3,55
160,Women Round Toe Sneakers,Rs.5899,Rs.1769,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30019818/2024/6/22/3b0ee643-adb8-4515-8ed1-cb711fe2343c1719050214668RedTapeWomenColourblockedPUSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-women-round-toe-memory-foam-sneakers/30019818/buy,4.3,149
256,Women Adelina Slip On Sneakers,Rs.3999,Rs.1799,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22805118/2023/5/20/28221667-3a5d-4f64-a85b-439fcfa6b4db1684564097360-Puma-Women-Adelina-Slip-On-Sneakers-21684564096846-1.jpg",https://www.myntra.comcasual-shoes/puma/puma-women-adelina-slip-on-sneakers/22805118/buy,4.5,3k
