Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Custom Cotton Slim-Fit Tshirts,Rs.12500,Rs.11250,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26928098/2024/1/15/efc87851-a7ca-497a-b37b-cad3387dbdad1705308633683PoloRalphLaurenCottonSlim-FitTshirts1.jpg",https://www.myntra.comtshirts/polo+ralph+lauren/polo-ralph-lauren-custom-cotton-slim-fit-tshirts/26928098/buy,4.8,8
Men Casca Regular Fit Polo,Rs.3499,Rs.1749,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23518072/2024/7/8/05a7a5be-61b9-45fe-8baa-e6ffae8f10ea1720415987872-RARE-RABBIT-Men-Casca-Polo-Collar-Cotton-Slim-Fit-T-Shirt-25-11.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-casca-polo-collar-cotton-slim-fit-t-shirt/23518072/buy,4.1,561
Men Trex Regular Fit Polo,Rs.3699,Rs.1849,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318790/2024/5/3/3d586a36-3806-43c5-9190-14e1def0c08e1714702246393RARERABBITMenV-NeckPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-trex-polo-collar-short-sleeves-t-shirt/29318790/buy,4.3,23
Men Trex Regular Fit Polo,Rs.3699,Rs.2108,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318812/2024/5/3/20945531-732a-4be7-89c7-12e6366cd68a1714702249931RARERABBITMenV-NeckPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-trex-polo-collar-short-sleeves-regular-fit-t-shirt/29318812/buy,4.3,23
Girls Printed Cotton T-shirt,Rs.333,Rs.216,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22591166/2023/3/31/6e621ee1-aacc-42ef-98a0-73834bfe2dda1680250584880DIXCYSCOTTSlimzGirlsPinkTypographyPrintedV-NeckExtendedSleev1.jpg",https://www.myntra.comtshirts/dixcy+scott+slimz/dixcy-scott-slimz-girls-graphic-printed-extended-sleeves-cotton-comfort-fit-t-shirt/22591166/buy,3.8,15
Self Design Cotton T-Shirt,Rs.4199,Rs.2267,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25763342/2023/11/4/1ddb72cb-d6b3-4770-bbbd-6924e0ecf4791699083913329RARERABBITMenBrownPocketsSlimFitT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-lincos-polo-collar-slim-fit-cotton-t-shirt/25763342/buy,4.3,37
Polo Collar Cotton T-shirt,Rs.3299,Rs.2309,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318800/2024/5/3/4b2ab955-63d6-44f7-bded-2766b12ce0b31714702215130RARERABBITMenPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-hux-regular-fit-polo-collar-t-shirt/29318800/buy,4.5,53
Printed Round Neck Pure Cotton T-shirt,Rs.899,Rs.278,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11545192/2022/3/25/626b0419-cbb0-4200-8490-67e20a0021c51648208612203-Roadster-Men-Green--White-Printed-Round-Neck-Pure-Cotton-T-s-1.jpg",https://www.myntra.comtshirts/roadster/roadster-men-green--white-printed-round-neck-pure-cotton-t-shirt/11545192/buy,4.2,11.5k
Boys Graphic Printed T-shirt,Rs.1400,Rs.280,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23449218/2023/5/27/34f607d2-f6c9-49c5-90ef-142f1a31b4fb1685198216506GoogoGaagaBoysBlackPrintedHoodedAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/googo+gaaga/googo-gaaga-boys-graphic-printed-cotton-t-shirt/23449218/buy,4.5,1.1k
Boxy Solid T-shirt,Rs.799,Rs.319,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24341604/2023/9/27/28b5bd43-9735-4434-9dda-b3123b677e6b1695805007523-HERENOW-Women-Tshirts-6651695805007051-1.jpg",https://www.myntra.comtshirts/here%26now/herenow-drop-shoulder-sleeves-boxy-t-shirt/24341604/buy,4.1,303
Kids Bio Finish Cotton T-shirt,Rs.1499,Rs.329,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26214114/2023/12/3/b354e78b-5cc7-4171-abbb-ff5db1b3d6d71701547840896BAESDKidsWhiteBioFinishT-shirt1.jpg",https://www.myntra.comtshirts/baesd/baesd-kids-round-neck-bio-finish-pure-cotton-t-shirt/26214114/buy,4.3,46
Modern Edge Graphic T-shirt,Rs.699,Rs.399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29861410/2024/8/9/7707a2a1-7557-4820-800d-10a38ee46ee31723207955141-DressBerry-Modern-Edge-Butterfly-Graphic-T-shirt-19517232079-1.jpg",https://www.myntra.comtshirts/dressberry/dressberry-modern-edge-butterfly-graphic-t-shirt/29861410/buy,4.2,23
