Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Women Colourblocked Sneakers,Rs.5099,Rs.1019,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23004440/2023/5/4/f75e22f8-761e-414c-b3bb-3a32710e24661683184857973RedTapeWomenWhiteColourblockedPUSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-women-colourblocked-sneakers/23004440/buy,4.5,1.2k
Women Lightweight Sneakers,Rs.2999,Rs.1049,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23808144/2023/8/2/b57195b5-edfd-4d8c-a3c6-b7102d678f731690960103668-HRX-by-Hrithik-Roshan-Women-White--Beige-Lightweight-Comfort-11.jpg",https://www.myntra.comcasual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-white--beige-lightweight-comfort-insole-basics-sneakers/23808144/buy,4.3,1.5k
Men Running Shoes,Rs.2999,Rs.1109,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241852/2023/7/11/b7a58204-7a4e-4685-91c8-6bc457e917311689076824708-WROGN-Men-Woven-Design-Running-Shoes-9671689076824616-7.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-woven-design-running-shoes/22241852/buy,4,241
Men Gamescape Sneakers,Rs.4799,Rs.1119,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11261260/2023/4/21/94449955-d381-4728-b7fa-7be37754af211682057777632-HRX-by-Hrithik-Roshan-Men-Black-Gamescape-Sneakers-855168205-1.jpg",https://www.myntra.comcasual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-gamescape-sneakers/11261260/buy,3.8,742
Wedge Sandals with Buckles,Rs.2290,Rs.1145,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16330396/2021/12/2/e50d4801-bc52-42a1-9999-21ed8e306b651638440796761Heels1.jpg",https://www.myntra.comheels/metro/metro-black-wedge-sandals-with-buckles/16330396/buy,4.2,1.3k
Men Running Shoes,Rs.4999,Rs.1149,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28114928/2024/3/8/72c72518-1d9e-4d32-84ab-0b935ed1b0b61709907146110BxxyMenMeshHigh-TopRunningNon-MarkingShoes1.jpg",https://www.myntra.comsports-shoes/bxxy/bxxy-men-mesh-high-top-running-non-marking-shoes/28114928/buy,1.8,13
Men Running Shoes,Rs.1399,Rs.1189,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19319556/2023/5/11/f852a865-8276-499c-aaa3-60ed15c486651683800664454-Campus-Men-White-Mesh-Running-Marking-Shoes-9591683800664239-1.jpg",https://www.myntra.comsports-shoes/campus/campus-men-white-mesh-running-marking-shoes/19319556/buy,4.2,396
Men Colourblock Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22242024/2023/7/11/1cf68e04-747e-4a33-8167-69eceeffa0a81689077143309-WROGN-Men-Colourblocked--Woven-Design-Running-Shoes-74116890-7.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked--woven-design-running-shoes/22242024/buy,4.2,143
Men Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241876/2023/9/21/f5bb5c18-6233-47db-8479-be5205a3fea81695294768389WROGNMenColourblockedRunningShoes1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked-running-shoes/22241876/buy,3.8,141
Women Sandals,Rs.2599,Rs.1249,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8609423/2023/10/17/42e45dee-c695-4788-b350-ec96337e7c1e1697541682593MonrowWomenBlackSolidSandals1.jpg",https://www.myntra.comheels/monrow/monrow-women-black-solid-sandals/8609423/buy,4.3,2.3k
Men Woven Design Sneakers,Rs.4299,Rs.1289,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21652432/2023/2/9/90fc3d8d-dcaa-4d99-9b2d-95e8ecadb98e1675943510035-Jack--Jones-Men-Woven-Design-Mesh-Sneakers-3051675943509405-1.jpg",https://www.myntra.comcasual-shoes/jack+%26+jones/jack--jones-men-woven-design-mesh-sneakers/21652432/buy,3.6,54
Women Textured Loafers,Rs.5995,Rs.1299,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29814068/2024/5/28/10fd8449-1128-4f01-ba1d-c56d099ca5191716880795964AfroJackWomenBallerinasFlats1.jpg",https://www.myntra.comcasual-shoes/afrojack/afrojack-women-textured-round-toe-comfort-insole-loafers/29814068/buy,4.3,15
Men Walking Shoes,Rs.6799,Rs.1359,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20576332/2023/1/25/ba095322-5fea-4639-bcc8-6d3080e0fd261674627359062-Red-Tape-Men-White-Mesh-High-Top-Walking-Shoes-6331674627358-1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-men-white-mesh-high-top-walking-shoes/20576332/buy,4.2,16.7k
