Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Watches,Rs.12495,Rs.6122,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21670/2023/2/23/e75f393c-fc0d-4bde-9147-3458fea0f42e1677151124075FossilMenBlackDialChronographWatchCH26001.jpg",https://www.myntra.comwatches/fossil/fossil-men-black-dial-chronograph-watch-ch2600/21670/buy,4.5,866
Women Analogue Watch,Rs.3299,Rs.791,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2278228/2022/4/19/2451411c-8346-4b8e-b228-e60351d536161650342959173-DressBerry-Women-Mauve-Analogue-Watch-1341650342959089-7.jpg",https://www.myntra.comwatches/dressberry/dressberry-women-mauve-analogue-watch/2278228/buy,4.4,42.6k
Unisex Analogue Watch,Rs.995,Rs.696,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15229356/2023/10/10/5738892c-0366-4c1b-9749-06167ee19f1f1696929626013-Fastrack-Unisex-Watches-491696929625720-1.jpg",https://www.myntra.comwatches/fastrack/fastrack-unisex-analogue-watch-68012pp13/15229356/buy,4.4,57
Women Watch Gift Set,Rs.6950,Rs.3127,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25411348/2023/10/9/72fbe833-f379-417d-8bc3-4a322784ccc41696843780028WatchGiftSet1.jpg",https://www.myntra.comwatch-gift-set/french+connection/french-connection-women-watch-gift-set-fcw04gm/25411348/buy,4.7,19
Unisex Analogue Watch,Rs.3499,Rs.699,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13441944/2022/6/28/9eb5b2be-2c05-4d53-99b5-bedf064a66c41656395179777-JOKER--WITCH-Unisex-Black-Analogue-Watch-9691656395179688-5.jpg",https://www.myntra.comwatches/joker+%26+witch/joker--witch-unisex-black-analogue-watch/13441944/buy,4.3,813
Women MODERN SOP Watch,Rs.12495,Rs.6247,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10949972/2023/1/4/122f4307-5d7a-49e5-9a15-bf02ad270c861672823656355-Fossil-MODERN-SOP-Women-Rose-Gold-Analogue-Watch-BQ1561-7481-1.jpg",https://www.myntra.comwatches/fossil/fossil-modern-sop-women-rose-gold-analogue-watch-bq1561/10949972/buy,4.6,4.8k
Women Lily Watch Gift Set,Rs.6597,Rs.1319,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15101392/2021/8/11/d9166d5e-6378-4606-857d-4a4b872088201628655516246JOKERWITCHWomenGold-TonedWhiteLilyWatchGiftSetJWBS4081.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-gold-toned--white-lily-watch-gift-set-jwbs408/15101392/buy,4.2,580
Watch & 5 Pcs Bracelet Gift,Rs.6650,Rs.2394,https://assets.myntassets.com/No image found,https://www.myntra.comwatch-gift-set/daniel+klein/-daniel-klein-watch-with-5-pcs-bracelet-gift-set/30066973/buy,3.7,13
Women Shiny Luster Love Triangle Watch Gift Set,Rs.4999,Rs.999,https://assets.myntassets.com/No image found,https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-white--gold-toned-shiny-luster-love-triangle-watch-gift-set-jwlt322/15686984/buy,4.4,145
Kids Multi Function Watch,Rs.1499,Rs.449,https://assets.myntassets.com/No image found,https://www.myntra.comwatches/shocknshop/shocknshop-kids-dial--straps-digital-multi-function-watch-wch101-blue/25772580/buy,2,6
