,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL,Product URL
0,No title found,No MRP found,No discounted price found,No rating found,No rating count found,No image found,No URL found
1,Nautica Men's Navtech Colorblock Tee,"INR 2,095.89","INR 1,983.50",4.6 out of 5 stars,"4,676",https://m.media-amazon.com/images/I/81EpaYPq2HL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzYwMDg3OTE0NzIwMToxNzI1MjY4MzY3OnNwX2F0Zl9uZXh0OjMwMDEwMTE2MzY4MDMwMjo6MDo6&url=%2FNautica-Mens-Navtech-Colorblock-Small%2Fdp%2FB0846KTMHY%2Fref%3Dsr_1_49_sspa%3Fdib%3DeyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0%26dib_tag%3Dse%26keywords%3DT-shirt%26qid%3D1725268367%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",No MRP found,"INR 1,676.54",4.6 out of 5 stars,"295,670",https://m.media-amazon.com/images/I/61Nn7FcOqBL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzYwMDg3OTE0NzIwMToxNzI1MjY4MzY3OnNwX2F0Zl9uZXh0OjIwMDEzNDkyMjg1NTk5ODo6MDo6&url=%2FGildan-Multipack-charcoal-cardinal-Assorted%2Fdp%2FB07XVXSY7M%2Fref%3Dsr_1_50_sspa%3Fdib%3DeyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0%26dib_tag%3Dse%26keywords%3DT-shirt%26qid%3D1725268367%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
3,Hanes Men's Tall Man V-Neck T-Shirt (Pack of 3 or 5),No MRP found,"INR 4,191.77",4.5 out of 5 stars,"5,268",https://m.media-amazon.com/images/I/61U1Yq-3GuL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzYwMDg3OTE0NzIwMToxNzI1MjY4MzY3OnNwX2F0Zl9uZXh0OjMwMDE3NjIxMjg5MjQwMjo6MDo6&url=%2FHanes-V-Neck-T-Shirt-Black-X-Large%2Fdp%2FB09QQQSV2S%2Fref%3Dsr_1_51_sspa%3Fdib%3DeyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0%26dib_tag%3Dse%26keywords%3DT-shirt%26qid%3D1725268367%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
4,KLIEGOU Mens Hipster HipHop Tees - Fashion Print T-Shirts,No MRP found,"INR 2,012.02",4.4 out of 5 stars,"1,077",https://m.media-amazon.com/images/I/81oi90hgMbL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MzYwMDg3OTE0NzIwMToxNzI1MjY4MzY3OnNwX2F0Zl9uZXh0OjIwMDEzNDMwMTg3MTQ5ODo6MDo6&url=%2FKLIEGOU-Mens-Hipster-Hiphop-Tees%2Fdp%2FB0B3RBT8D4%2Fref%3Dsr_1_52_sspa%3Fdib%3DeyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0%26dib_tag%3Dse%26keywords%3DT-shirt%26qid%3D1725268367%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
5,Nautica Men's Solid Crew Neck Short-Sleeve Pocket T-Shirt,No MRP found,"INR 1,530.61",4.6 out of 5 stars,"13,380",https://m.media-amazon.com/images/I/71vZFqWN7VL._AC_UL320_.jpg,https://www.amazon.com/Nautica-Sleeve-Pocket-T-Shirt-XX-Large/dp/B07HR8C86D/ref=sr_1_53?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-53
6,"Champion Men'S Classic T-Shirt, Everyday Tee For Men, Comfortable Soft Men'S T-Shirt (Reg. Or Big & Tall)","INR 1,677.38","INR 1,005.59",4.5 out of 5 stars,"34,127",https://m.media-amazon.com/images/I/81PqX7YyLBL._AC_UL320_.jpg,https://www.amazon.com/Champion-Classic-Jersey-T-Shirt-Black/dp/B01NCIBIVY/ref=sr_1_54?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-54
7,Disney Lion King Hakuna Matata T-Shirt for Adults,No MRP found,"INR 1,843.44",4.5 out of 5 stars,"1,660",https://m.media-amazon.com/images/I/61p00diE9NL._AC_UL320_.jpg,https://www.amazon.com/Disney-Graphic-T-Shirt-Charcoal-Heather/dp/B073SW25HK/ref=sr_1_55?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-55
8,Hanes mens Comfortsoft Tagless Crewneck T-Shirt 4 Pack,No MRP found,"INR 2,281.24",4.2 out of 5 stars,"3,601",https://m.media-amazon.com/images/I/71xB2VNAF6L._AC_UL320_.jpg,https://www.amazon.com/byHanes-Hanes-ComfortSoft-T-Shirt-Assorted/dp/B079VPLRKP/ref=sr_1_56?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-56
9,INTO THE AM Mens T Shirt with Logo - Short Sleeve Crew Neck Soft Fitted Tees S - 4XL Fresh Classic Basic Tshirts,"INR 1,840.92","INR 1,657.25",4.5 out of 5 stars,"24,826",https://m.media-amazon.com/images/I/8137ACMsyRL._AC_UL320_.jpg,https://www.amazon.com/INTO-AM-Sleeve-T-Shirt-X-Large/dp/B088CXJHLR/ref=sr_1_57?dib=eyJ2IjoiMSJ9.0pEQuOuDkxZFa0Cu_4jO0sBqzrFqQHeXGtQvnkuI1Z_7JjZ3HGvUIIV9MCgHopLmw8pLj3HZFHqGNO9W9BP06xBK0h7taHJ7M-gjwfDOw5mJag4vDHelk01zY85gYYtkE-1J_mLya0ojSvgr_LAqi4i64qQaO1qmGtyun7G6AeqMn5yFe7PYf_5PIpC5G8g6-XwfCvAlye0V5BbGLJo1tYiT5jjg1rLGsLKu4L8PVb4GTkn9W2To4eERkldaU2SlLWdkekl4gb3dP5gGheFvjl4VMX0K9XZUSQcCwPNGl1s.3IBR1TQL-aunn-NXWtoKF8xijbchYIeyUryjazWKi-0&dib_tag=se&keywords=T-shirt&qid=1725268367&sr=8-57
