,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL
0,Men Celu Cargo Trouser,Rs.4999,Rs.2999,fl_progressive/assets/images/23855822/2023/7/3/59737f29-3269-404a-9abf-ea2c5c0765ef1688378331174RARERABBITMenBeigeSlimFitCargosTrousers1.jpg,https://www.myntra.comtrousers/rare+rabbit/rare-rabbit-men-celu-mid-rise-slim-fit-cotton-cargo-trouser/23855822/buy
1,Men Loose Fit Cargos Trousers,Rs.3998,Rs.1999,fl_progressive/assets/images/29950852/2024/6/12/4737175f-c267-4efe-9df6-8b2b61c736e01718186771537SnitchMenRelaxedLooseFitCargosTrousers1.jpg,https://www.myntra.comtrousers/snitch/snitch-men-relaxed-loose-fit-cargos-trousers/29950852/buy
2,Men Cotton Cargos Trousers,Rs.2099,Rs.629,fl_progressive/assets/images/25483192/2024/1/23/cfc2218f-026e-48b0-9753-5feb5d0580f01706010734823HIGHLANDERMenCottonCargosTrousers1.jpg,https://www.myntra.comtrousers/highlander/highlander-men-tapered-fit-cotton-cargos-trousers/25483192/buy
3,Men Mid-Rise Cargo Trousers,Rs.2099,Rs.608,fl_progressive/assets/images/25940300/2023/11/20/8e667631-a094-471d-bd3d-952f4438bc681700464216177HIGHLANDERMenOliveGreenCargosTrousers1.jpg,https://www.myntra.comtrousers/highlander/highlander-men-tapered-fit-pure-cotton-cargo-trousers/25940300/buy
4,Men Tapered Fit Cargos,Rs.3598,Rs.1799,fl_progressive/assets/images/25576446/2023/10/21/5a87f652-f28c-44d8-8b2b-71642dddd3691697866061123SnitchMenBrownSmartTaperedFitCargosTrousers1.jpg,https://www.myntra.comtrousers/snitch/snitch-men-smart-tapered-fit-cargos/25576446/buy
5,Men Slim Fit Cargo Joggers,Rs.2099,Rs.692,fl_progressive/assets/images/14829058/2022/11/24/a8a715bb-2ab0-4202-848c-164ddd5eb3011669287836046TheIndianGarageCoMenGreySlimFitCargoJoggers1.jpg,https://www.myntra.comtrousers/the+indian+garage+co/the-indian-garage-co-men-grey-slim-fit-cargo-joggers/14829058/buy
6,Men Cotton Cargos Trousers,Rs.2099,Rs.629,fl_progressive/assets/images/25483178/2024/1/23/f9cf1c78-326d-431c-a55e-894302fb9e0a1706010741972HIGHLANDERMenMid-RiseCottonCargosTrousers1.jpg,https://www.myntra.comtrousers/highlander/highlander-men-tapered-fit-cotton-cargos-trousers/25483178/buy
7,Men Cotton Cargos Trousers,Rs.3398,Rs.1699,fl_progressive/assets/images/25515224/2023/10/17/df328942-befb-41c8-a026-cf4f5ddcb6281697538947776SnitchMenBlackSmartLooseFitTrousers1.jpg,https://www.myntra.comtrousers/snitch/snitch-men-black-smart-loose-fit-cotton-cargos-trousers/25515224/buy
8,Men Tapered Fit Cargos Trousers,Rs.2949,Rs.999,fl_progressive/assets/images/17461980/2022/6/6/02f23d05-7e4f-475d-b96b-ef7a7884f5391654525851819DennisLingoMenBlackTaperedFitCargosTrousers1.jpg,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-black-tapered-fit-cargos-trousers/17461980/buy
9,Men Slim Fit Cargos Trousers,Rs.2399,Rs.767,fl_progressive/assets/images/20554184/2022/11/14/bc4f3b34-34df-42d7-9600-59e7975460c31668412288619-The-Indian-Garage-Co-Men-Trousers-6131668412287928-1.jpg,https://www.myntra.comtrousers/the+indian+garage+co/the-indian-garage-co-men-green-slim-fit-cotton-cargos-trousers/20554184/buy
10,CURON Men Cargos Trousers,Rs.3999,Rs.2319,fl_progressive/assets/images/28435964/2024/3/22/2014a736-97bc-49aa-9944-aa33486edec71711088541005RARERABBITMenComfortCargosTrousers1.jpg,https://www.myntra.comtrousers/rare+rabbit/rare-rabbit-men-curon-regular-fit-cargos-trousers/28435964/buy
11,Men Slim Fit Cargo Joggers,Rs.2099,Rs.566,No image found,https://www.myntra.comtrousers/the+indian+garage+co/the-indian-garage-co-men-rust-brown-solid-slim-fit-cargo-joggers/14829062/buy
12,Men Mid-Rise Cargo Trousers,Rs.2099,Rs.608,No image found,https://www.myntra.comtrousers/highlander/highlander-men-tapered-fit-mid-rise-pure-cotton-cargo-trousers/25940088/buy
13,Men Loose Fit Cargo Trousers,Rs.2998,Rs.1499,No image found,https://www.myntra.comtrousers/snitch/snitch-men-relaxed-loose-fit-cargo-trousers/29990545/buy
14,Men Regular Fit Cargos,Rs.2099,Rs.749,No image found,https://www.myntra.comtrousers/highlander/highlander-men-tapered-fit-plain-cargo-trousers/25483262/buy
15,Men Pure Cotton Cargo Joggers,Rs.2599,Rs.1247,No image found,https://www.myntra.comtrousers/roadster/the-roadster-lifestyle-co-men-pure-cotton-cargo-joggers/2291317/buy
16,Men Low-Rise Cargos Trousers,Rs.3598,Rs.1799,No image found,https://www.myntra.comtrousers/snitch/snitch-men-grey-loose-fit-low-rise-cotton-cargos-trousers/23473500/buy
17,Men Slim Fit Cargos Trousers,Rs.1949,Rs.701,No image found,https://www.myntra.comtrousers/highlander/highlander-men-beige-slim-fit-easy-wash-cargos-trousers/15705622/buy
18,Men Tapered Fit Cargos Trousers,Rs.2949,Rs.999,No image found,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-grey-tapered-fit-cotton-cargos-trousers/17462016/buy
19,Men Cotton Cargos Trousers,No MRP found,No discounted price found,No image found,https://www.myntra.comtrousers/john+watson/john-watson-men-cotton-comfort-cargos-trousers/28989956/buy
20,Tapered Fit Cotton Cargos Trousers,Rs.2949,Rs.999,No image found,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-grey-tapered-fit-cotton-cargos-trousers/20886454/buy
21,Men Tapered Fit Cargos Trousers,Rs.2949,Rs.999,No image found,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-grey-tapered-fit-cargos-trousers/17461988/buy
22,Mid Rise Cotton Cargos,Rs.2998,Rs.1079,No image found,https://www.myntra.comtrousers/snitch/snitch-grey-smart-mid-rise-cotton-cargos/24099392/buy
23,Men Tapered Fit Cargos,Rs.2949,Rs.999,No image found,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-khaki-tapered-fit-cargos/17461986/buy
24,Men Slim Fit Cargos,Rs.1499,Rs.719,No image found,https://www.myntra.comtrousers/hubberholme/hubberholme-men-navy-blue-slim-fit-solid-cargos/12895174/buy
25,Men Cargos Trousers,Rs.2199,Rs.2089,No image found,https://www.myntra.comtrousers/giysi/giysi-men-relaxed-cargos-trousers/29517708/buy
26,Men Slim Fit Cargos Trousers,Rs.2099,Rs.566,No image found,https://www.myntra.comtrousers/the+indian+garage+co/the-indian-garage-co-men-teal-blue-slim-fit-cargos-trousers/14829072/buy
27,Men Cargos Trousers,Rs.2199,Rs.681,No image found,https://www.myntra.comtrousers/highlander/highlander-men-black-easy-wash-cargos-trousers/18371418/buy
28,Men Cargos Trousers,Rs.2199,Rs.2089,No image found,https://www.myntra.comtrousers/giysi/giysi-men-relaxed-cargos-trousers/29517702/buy
29,Men Slim Fit Cargos Trousers,Rs.2399,Rs.767,No image found,https://www.myntra.comtrousers/the+indian+garage+co/the-indian-garage-co-men-khaki-slim-fit-cotton-cargos-trousers/20554208/buy
30,Men Cargos,Rs.2099,Rs.587,No image found,https://www.myntra.comtrousers/highlander/highlander-men-tapered-fit-cargo-trousers/25509576/buy
31,Men Cargos Mid-Rise Trousers,No MRP found,No discounted price found,No image found,https://www.myntra.comtrousers/red+flame/red-flame-men-stretchable-mid-rise-casual-cargo-trouser/27364598/buy
32,Men Mid Rise Cargos Trousers,Rs.2999,Rs.989,No image found,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-mid-rise-plain-casual-cargos-trousers/22520108/buy
33,Men Cargo Style Joggers,Rs.1999,Rs.539,No image found,https://www.myntra.comtrousers/highlander/highlander-men-cargo-style-joggers/26148258/buy
34,Cargos Trousers,No MRP found,No discounted price found,No image found,https://www.myntra.comtrousers/john+watson/john-watson-comfort-cargos-trousers/28989854/buy
35,Men Tapered Fit Cargos,Rs.2949,Rs.999,No image found,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-olive-green-tapered-fit-cotton-cargos/17461972/buy
36,Men Slim Fit Cargos,Rs.2999,Rs.899,No image found,https://www.myntra.comtrousers/harvard/harvard-men-classic-solid-slim-fit-cargos-/24153334/buy
37,Men Cargos Trousers,Rs.2199,Rs.2089,No image found,https://www.myntra.comtrousers/giysi/giysi-men-relaxed-cargos-trousers/29517706/buy
38,Men Slim Fit Cargos,No MRP found,No discounted price found,No image found,https://www.myntra.comtrousers/technosport/technosport-men-relaxed-slim-fit-wrinkle-free-cargos-/29537580/buy
39,Men Cargos Trousers,Rs.2999,Rs.1019,No image found,https://www.myntra.comtrousers/mast+%26+harbour/mast--harbour-men-smart-easy-wash-cargos-trousers/30148979/buy
40,Men Cotton Cargo Trousers,Rs.2699,Rs.1799,No image found,https://www.myntra.comtrousers/xyxx/xyxx-men-relaxed-mid-rise-cotton-cargo-trousers/25844210/buy
41,Men Slim Fit Cargos,Rs.1499,Rs.719,No image found,https://www.myntra.comtrousers/hubberholme/hubberholme-men-blue-slim-fit-solid-cargos/2389024/buy
42,Slim Fit Cargos Trousers,Rs.3099,Rs.991,No image found,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-flat-front-comfort-slim-fit-cargos-trousers/22241096/buy
43,Men Cargos Cotton Trousers,No MRP found,No discounted price found,No image found,https://www.myntra.comtrousers/john+watson/john-watson-men-comfort-mid-rise-cotton-cargos-trousers/28989936/buy
44,Men Cargos Trousers,Rs.3199,Rs.863,No image found,https://www.myntra.comtrousers/club+york/club-york-men-cargos-trousers/29770000/buy
45,Men Mid-Rise Cargos Trousers,Rs.1499,Rs.899,No image found,https://www.myntra.comtrousers/hubberholme/hubberholme-men-regular-fit-mid-rise-flat-front-cargos-trousers/30170467/buy
46,Men Cotton Cargos Trousers,No MRP found,No discounted price found,No image found,https://www.myntra.comtrousers/john+watson/john-watson-men-comfort-mid-rise-cotton-cargos-trousers/28989828/buy
47,Men Cotton Cargos Trousers,Rs.2949,Rs.999,No image found,https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-cotton-tapered-fit-cargos-trousers/21290090/buy
