,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
0,Men Textured Formal Oxfords,Rs.3499,Rs.1294,|23,No rating count found,fl_progressive/assets/images/23858000/2023/7/3/8497ea0a-dcd2-44c9-b764-b71dd321a6cc1688382528697FAUSTOMensBlackFormalOfficeWorkLace-UpDerbyShoes1.jpg
1,Solid Formal Leather Derbys,Rs.7199,Rs.2879,|89,No rating count found,fl_progressive/assets/images/19318248/2022/7/30/f0ef2c2f-87ec-4b89-94eb-b0de4f6ca3891659180021656MenBlackSolidLeatherFormalDerbys1.jpg
2,Unisex Back To School Shoes,Rs.3699,Rs.961,|155,No rating count found,fl_progressive/assets/images/29553912/2024/5/17/5f90bc0f-c248-4bff-8a88-54128a77c4a61715927218769HRXbyHrithikRoshanUnisexTexturedSneakers1.jpg
3,Men Running Shoes,Rs.3499,Rs.1469,|141,No rating count found,fl_progressive/assets/images/22241876/2023/9/21/f5bb5c18-6233-47db-8479-be5205a3fea81695294768389WROGNMenColourblockedRunningShoes1.jpg
4,Leather Formal Oxfords,Rs.6699,Rs.2679,|20,No rating count found,fl_progressive/assets/images/19683632/2022/8/27/a092cb43-e883-49d9-9cfc-41b44ff3b7a81661591531531TeakwoodLeathersMenBlackSolidLeatherFormalOxfords1.jpg
5,Unisex FlexFocus Running Shoes,Rs.5499,Rs.2749,|301,No rating count found,fl_progressive/assets/images/26027236/2023/11/29/333ab968-1630-4b0f-baef-6fff19a2c2ee1701257389462-Puma-Unisex-FlexFocus-Lite-Running-Shoes-6481701257389273-1.jpg
6,Unisex Badminton Indoor Shoes,Rs.4999,Rs.2149,|3.1k,No rating count found,fl_progressive/assets/images/25841290/2023/11/10/904965cc-764d-46d7-92c7-f20a3f5e98971699605661861PumaBadmintonSmashSprintUnisexIndoorShoes1.jpg
7,Men Leather Formal Derbys,Rs.3999,Rs.1399,|19,No rating count found,fl_progressive/assets/images/27120102/2024/6/24/a525c60e-b65f-42db-ae4e-7a7ee7ddbaea1719227034202FAUSTOMenTexturedLeatherFormalDerbys1.jpg
8,Men Memory Foam Running Shoes,Rs.2999,Rs.929,|34.8k,No rating count found,fl_progressive/assets/images/23707466/2023/6/21/ba5896b5-1f89-410b-93d5-70d6be55bd411687336002837HRXbyHrithikRoshanMenWhiteMeshRunningNon-MarkingShoes1.jpg
9,Men Leather Formal Derbys,No MRP found,No discounted price found,|150,No rating count found,fl_progressive/assets/images/12009816/2022/12/23/6ea216d3-84db-4a35-a00f-3dacb3e4551a1671793948330LibertyMenBlackSolidLeatherFormalDerbys1.jpg
10,Leather Formal Oxford Shoes,Rs.7599,Rs.3039,|18,No rating count found,fl_progressive/assets/images/19683634/2022/8/27/3861f04b-3c97-4c69-96ab-2598a9d5f1841661587410238TeakwoodLeathersMenBrownSolidLeatherFormalOxfordShoes1.jpg
11,Unisex Back To School Shoes,Rs.3699,Rs.999,|70,No rating count found,No image found
12,Unisex Sports Shoes,Rs.4999,Rs.2149,|3.1k,No rating count found,No image found
13,Men Textured Leather Formal Monks,Rs.11099,Rs.4439,|50,No rating count found,No image found
14,Men Zap-Run Running Shoes,Rs.4299,Rs.2149,|220,No rating count found,No image found
15,Men Forza Running Shoes,Rs.4499,Rs.1799,|4.4k,No rating count found,No image found
16,Men Chelsea Boots,Rs.4999,Rs.1999,|90,No rating count found,No image found
17,Men Cricket Classic Cat Shoes,No MRP found,No discounted price found,|17,No rating count found,No image found
18,Men Running Shoes,Rs.2999,Rs.1319,|241,No rating count found,No image found
19,Formal Slip-On Shoes,Rs.6699,Rs.2679,|30,No rating count found,No image found
20,Men Textured Running Shoes,Rs.3999,Rs.899,|23,No rating count found,No image found
21,Men Formal Penny Loafers,Rs.3265,Rs.750,|1.4k,No rating count found,No image found
22,Men Derbys Formal Derbys,Rs.3999,Rs.1919,No rating found,No rating count found,No image found
23,Men Memory Foam Running Shoes,Rs.2999,Rs.929,|34.8k,No rating count found,No image found
24,Unisex Back To School Shoes,Rs.3699,Rs.961,|50,No rating count found,No image found
25,Men Leather Formal Oxfords,Rs.6999,Rs.2999,|214,No rating count found,No image found
26,Men Mesh Running Shoes,Rs.2999,Rs.929,|34.8k,No rating count found,No image found
27,Men Colourblocked Sneakers,Rs.5399,Rs.1349,|16.5k,No rating count found,No image found
28,Men Perforations Leather Oxfords,Rs.10499,Rs.4199,|6,No rating count found,No image found
29,Unisex Sports Shoes,Rs.4999,Rs.2149,|3.1k,No rating count found,No image found
30,Men Walking Shoes,Rs.6499,Rs.1624,|1.1k,No rating count found,No image found
31,Men Solid Genuine Leather Formal Monks,Rs.8599,Rs.2579,|49,No rating count found,No image found
32,Men Running Shoes,Rs.3499,Rs.1469,|141,No rating count found,No image found
33,Men Woven Epik Comfort Running,Rs.5299,Rs.2649,|34,No rating count found,No image found
34,Men Leather Formal Derbys,Rs.3999,Rs.1399,|44,No rating count found,No image found
35,Men Round Toe Slip On Loafers,Rs.3795,Rs.999,|57,No rating count found,No image found
36,Men Lace-Up Walking Shoes,Rs.7199,Rs.1439,|1.2k,No rating count found,No image found
37,Men Formal Monks,Rs.8599,Rs.3439,|59,No rating count found,No image found
38,Men Running Sports Shoes,Rs.2999,Rs.929,|34.7k,No rating count found,No image found
39,Men Slip Resistant Sneakers,Rs.5399,Rs.1349,|16.5k,No rating count found,No image found
