Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Pure Cotton T-shirt,Rs.599,Rs.173,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2312468/2018/2/21/11519195992929-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-1.jpg",https://www.myntra.comtshirts/roadster/the-roadster-lifestyle-co-pure-cotton-t-shirt/2312468/buy,4.0,41.2k
Men Casca Regular Fit Polo,Rs.3499,Rs.1749,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23518072/2024/7/8/05a7a5be-61b9-45fe-8baa-e6ffae8f10ea1720415987872-RARE-RABBIT-Men-Casca-Polo-Collar-Cotton-Slim-Fit-T-Shirt-25-11.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-casca-polo-collar-cotton-slim-fit-t-shirt/23518072/buy,4.1,561
Men Casca Regular Fit Polo,Rs.3499,Rs.1749,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23518072/2024/7/8/05a7a5be-61b9-45fe-8baa-e6ffae8f10ea1720415987872-RARE-RABBIT-Men-Casca-Polo-Collar-Cotton-Slim-Fit-T-Shirt-25-11.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-casca-polo-collar-cotton-slim-fit-t-shirt/23518072/buy,4.1,561
Men Casca Regular Fit Polo,Rs.3499,Rs.1749,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23518072/2024/7/8/05a7a5be-61b9-45fe-8baa-e6ffae8f10ea1720415987872-RARE-RABBIT-Men-Casca-Polo-Collar-Cotton-Slim-Fit-T-Shirt-25-11.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-casca-polo-collar-cotton-slim-fit-t-shirt/23518072/buy,4.1,561
Men Casca Regular Fit Polo,Rs.3499,Rs.1749,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23518072/2024/7/8/05a7a5be-61b9-45fe-8baa-e6ffae8f10ea1720415987872-RARE-RABBIT-Men-Casca-Polo-Collar-Cotton-Slim-Fit-T-Shirt-25-11.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-casca-polo-collar-cotton-slim-fit-t-shirt/23518072/buy,4.1,561
Men Trex Regular Fit Polo,Rs.3699,Rs.1849,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318790/2024/5/3/3d586a36-3806-43c5-9190-14e1def0c08e1714702246393RARERABBITMenV-NeckPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-trex-polo-collar-short-sleeves-t-shirt/29318790/buy,4.3,23
Men Trex Regular Fit Polo,Rs.3699,Rs.1849,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318790/2024/5/3/3d586a36-3806-43c5-9190-14e1def0c08e1714702246393RARERABBITMenV-NeckPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-trex-polo-collar-short-sleeves-t-shirt/29318790/buy,4.3,23
Men Trex Regular Fit Polo,Rs.3699,Rs.1849,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318790/2024/5/3/3d586a36-3806-43c5-9190-14e1def0c08e1714702246393RARERABBITMenV-NeckPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-trex-polo-collar-short-sleeves-t-shirt/29318790/buy,4.3,23
Men Trex Regular Fit Polo,Rs.3699,Rs.1849,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318790/2024/5/3/3d586a36-3806-43c5-9190-14e1def0c08e1714702246393RARERABBITMenV-NeckPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-trex-polo-collar-short-sleeves-t-shirt/29318790/buy,4.3,23
Men Trex Regular Fit Polo,Rs.3699,Rs.2108,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318812/2024/5/3/20945531-732a-4be7-89c7-12e6366cd68a1714702249931RARERABBITMenV-NeckPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-trex-polo-collar-short-sleeves-regular-fit-t-shirt/29318812/buy,4.3,23
Men Trex Regular Fit Polo,Rs.3699,Rs.2108,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318812/2024/5/3/20945531-732a-4be7-89c7-12e6366cd68a1714702249931RARERABBITMenV-NeckPocketsT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-trex-polo-collar-short-sleeves-regular-fit-t-shirt/29318812/buy,4.3,23
