,Product Title,Product Price,Product Rating,Product Image URL
0,No title found,No price found,No rating found,https://m.media-amazon.com/images/G/01/Amazon_Music_Merch/2024_Campaigns/Sparkles/030824_USEN_ArtistMerch_Sparkle_D_LukeBryan_2000x200.jpg
1,No title found,No price found,No rating found,No image found
2,"Amazon Essentials Women's Classic-Fit Short-Sleeve V-Neck T-Shirt, Multipacks",$19.00,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61VXOrqsTyS._AC_UL320_.jpg
3,"Champion Men'S Tshirt, Classic Graphic Tshirt Soft And Comfortable T-Shirts For Men, Script Logo Reg. Or Big & Tall",$11.25,4.6 out of 5 stars,https://m.media-amazon.com/images/I/51xz0O7su-L._AC_UL320_.jpg
4,THE GYM PEOPLE Women's Casual Oversized T-Shirts Summer Crewneck Short Sleeve Workout Basic Tee Tops,$18.35,4.4 out of 5 stars,https://m.media-amazon.com/images/I/81geN2RQSHL._AC_UL320_.jpg
5,"Champion Men'S Sleeveless T-Shirt, Sport Muscle Tank, Moisture Wicking, Muscle T-Shirt For Men (Reg. Or Big & Tall)",$15.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71d4iBfee5L._AC_UL320_.jpg
6,"Hanes Men's T-Shirt, Beefy-T Heavyweight Cotton Crewneck Tee, 1 or 2 Pack, Available in Tall Sizes",No price found,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71zRMNf2uvL._AC_UL320_.jpg
7,"Hanes Men's Pocket Undershirt Pack, Cotton Crew Neck T-Shirt, Moisture Wicking Tee, Assorted 6-Pack",$21.98,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61NxWlAdrpL._AC_UL320_.jpg
8,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",$25.33,4.6 out of 5 stars,https://m.media-amazon.com/images/I/51wDsZxtTLL._AC_UL320_.jpg
9,Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt,$21.48,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71GX5QGOKsL._AC_UL320_.jpg
10,"Gildan Unisex-Adult Ultra Cotton T-Shirt, Style G2000, Multipack",$11.81,4.5 out of 5 stars,https://m.media-amazon.com/images/I/614rbIVRUJL._AC_UL320_.jpg
11,"Russell Athletic Men's Dri-Power Cotton Blend Short Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-4x",$6.82,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71F4P1t80EL._AC_UL320_.jpg
12,Amazon Essentials Women's Classic-Fit Long-Sleeve Crewneck T-Shirt (Available in Plus Size),$17.10,4.4 out of 5 stars,https://m.media-amazon.com/images/I/8134JMYp-5L._AC_UL320_.jpg
13,Tankaneo Womens Short Sleeve Cropped T-Shirts Summer Rolled Dolman Sleeve Crop Tops Casual Round Neck Solid Short Basic Tees,$19.99,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61NhHz5rG3L._AC_UL320_.jpg
14,Womens Tops Crewneck Raglan Summer T Shirts Casual Short Sleeve Side Split Tee Shirts,$14.99,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71UpiBgOSwL._AC_UL320_.jpg
15,Langwyqu Womens' Cap Sleeve Casual Loose Fit Basic Shirts Tank Tops,$18.98,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61tABZxhnDL._AC_UL320_.jpg
16,"Hanes Mens Essentials T-Shirt Pack, Crewneck Cotton T-Shirts For Men, 4 Or 6 Pack Available",$19.55,4.4 out of 5 stars,https://m.media-amazon.com/images/I/612OCczgZHL._AC_UL320_.jpg
17,"Champion Men'S Tshirt, Classic Graphic Tshirt Soft And Comfortable T-Shirts For Men, Script Logo Reg. Or Big & Tall",$9.99,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61ECvCbRZeL._AC_UL320_.jpg
18,"Fruit of the Loom Men's Eversoft Cotton T Shirts, Breathable & Moisture Wicking with Odor Control, Sizes S-4x",$16.40,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71CtspAOaEL._AC_UL320_.jpg
19,"Comfort Colors Adult Short Sleeve Tee, Style 1717",$10.82,4.6 out of 5 stars,https://m.media-amazon.com/images/I/71NIMYE7NVL._AC_UL320_.jpg
20,5 Pack Men's Workout Shirts Short Sleeve Dry Fit T Shirts UPF 50+ Sun Protection Athletic Gym Running Active Tee Tops,$32.99,3.8 out of 5 stars,https://m.media-amazon.com/images/I/81fXWGDn4zL._AC_UL320_.jpg
