,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
91,T-Shirt Swim Club: Stories from Being Fat in a World of Thin People,"INR 1,509.73",INR 0.00,4.8,176,https://m.media-amazon.com/images/I/915-92QDObL._AC_UL320_.jpg
123,T-Shirt Swim Club: Stories from Being Fat in a World of Thin People,"INR 1,509.73",INR 0.00,4.8,176,https://m.media-amazon.com/images/I/915-92QDObL._AC_UL320_.jpg
133,"This Is Not a T-Shirt: A Brand, a Culture, a Community - a Life in Streetwear","INR 1,257.27",INR 0.00,4.8,"1,081",https://m.media-amazon.com/images/I/710xlfI+PRL._AC_UL320_.jpg
164,"This Is Not a T-Shirt: A Brand, a Culture, a Community - a Life in Streetwear","INR 1,257.27",INR 0.00,4.8,"1,081",https://m.media-amazon.com/images/I/710xlfI+PRL._AC_UL320_.jpg
82,T-Shirt Entrepreneur,INR 331.30,INR 0.00,3.8,12,https://m.media-amazon.com/images/I/817lSgZ76LL._AC_UL320_.jpg
113,T-Shirt Entrepreneur,INR 331.30,INR 0.00,3.8,12,https://m.media-amazon.com/images/I/817lSgZ76LL._AC_UL320_.jpg
55,AUTOMET Shirts for Women Summer Spring Tops Short Sleeve Oversized T Shirts Fashion Basic Casual Tee Clothes 2024 Trendy,"INR 1,257.27","INR 1,005.65",4.4,"1,694",https://m.media-amazon.com/images/I/71Q02L8gVYL._AC_UL320_.jpg
175,AUTOMET Women's Long Sleeve Shirts Loose Fitted Crewneck Solid Color Basic Tops Casual Outfits,"INR 1,257.27","INR 1,005.65",4.3,50,https://m.media-amazon.com/images/I/71n5FkPTAjL._AC_UL320_.jpg
158,SOLY HUX Men's Color Graphic Letter Print Short Sleeve T Shirt Casual Summer Tee Tops,"INR 1,676.64","INR 1,005.65",4.2,466,https://m.media-amazon.com/images/I/61ISqR6YjfL._AC_UL320_.jpg
11,"Hanes Men’s T-Shirt Pack, Cool Dri Moisture-wicking Performance Tee, Performance Athletic T-Shirt, 2-pack","INR 2,348.47","INR 1,006.49",4.4,"18,511",https://m.media-amazon.com/images/I/61hxkBvj2fL._AC_UL320_.jpg
97,GAP Men's Washed Tee,"INR 1,257.27","INR 1,006.49",3.8,3,https://m.media-amazon.com/images/I/6115I2JZHOL._AC_UL320_.jpg
144,GAP Men's Washed Tee,"INR 1,257.27","INR 1,006.49",3.8,3,https://m.media-amazon.com/images/I/6115I2JZHOL._AC_UL320_.jpg
182,GAP Men's Washed Tee,"INR 1,257.27","INR 1,006.49",3.8,3,https://m.media-amazon.com/images/I/6115I2JZHOL._AC_UL320_.jpg
118,"Fruit of the Loom Men's Eversoft Cotton Long Sleeve T Shirts, Breathable & Moisture Wicking with Odor Control, Sizes S-4x","INR 1,634.70","INR 1,055.13",4.6,"1,172",https://m.media-amazon.com/images/I/61qvnD5qLWL._AC_UL320_.jpg
178,"The Travels of a T-Shirt in the Global Economy: An Economist Examines the Markets, Power, and Politics of World Trade. New Preface and Epilogue with Updates on Economic Issues and Main Characters","INR 1,929.10","INR 1,156.62",4.4,343,https://m.media-amazon.com/images/I/81wNBgtf4RL._AC_UL320_.jpg
