,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL,About This Item,Product Details,Store Name,Colors,Size Chart
0,Gildan Blank T-Shirt - Unisex Style 5000 Adult,INR522.32,"INR1,426.72",4.4 out of 5 stars,817 ratings,https://m.media-amazon.com/images/I/514d4RbZ90L._AC_SY445_.jpg,No about this item found,"100% preshrunk cotton; Ash Grey 99% cotton, 1% polyester; Antique Cherry Red and Sport Grey are 90% cotton and 10% polyester; Blackberry, Dark Heather, Heather Sapphire, Sunset, are 50% cotton, 50% poly; Lilac, Safety Green, Safety Orange, Safety Pink are 50% cotton, 50% polyester; double-needle stitching throughout; seamless rib at neck; feminine ?inch rib mid scoop neck; sideseamed with slightly tapered Missy fit; cap sleeves for comfort; taped shoulder-to-shoulder",Visit the Gildan Store,,SelectSmallMediumLargeX-LargeXX-Large3X-Large4X-Large5X-Large
1,Fruit of the Loom Boys' Cotton White T Shirt,INR922.87,"INR1,006.85",4.7 out of 5 stars,"63,812 ratings",https://m.media-amazon.com/images/I/51MnHNpgyfL._AC_SY445_.jpg,No about this item found,"Fruit of the Loom Crew, Toddler 5 pk-White Colors may vary. Let us pick for you.",Visit the Fruit of the Loom Store,,SelectX-SmallSmallMediumLargeLarge HuskyX-LargeX-Large Husky2-3T4-5T
2,"Champion Men'S Classic T-Shirt, Everyday Tee For Men, Comfortable Soft Men'S T-Shirt (Reg. Or Big & Tall)",INR755.77,No discounted price found,4.5 out of 5 stars,"34,084 ratings",https://m.media-amazon.com/images/I/51ymWaWO2mL._AC_SX342_.jpg,No about this item found,"Champion Men'S Classic T-Shirt, Everyday Tee For Men, Comfortable Soft Men'S T-Shirt (Reg. Or Big & Tall)",Visit the Champion Store,,SelectX-SmallSmallMediumLargeLarge TallX-LargeX-Large TallXX-LargeXX-Large BigXX-Large Tall3X-Large3X-Large Big3X-Large Tall4X-Large4X-Large Big4X-Large Tall5X-Large Big5X-Large Tall6X-Large Big
3,Real Essentials 4 Pack: Men's Dry-Fit UV Moisture Wicking UPF 50+ SPF Sun Protective Fishing Hiking Swim Long Sleeve Shirt,"INR2,938.25","INR2,098.51",4.4 out of 5 stars,"51,720 ratings",https://m.media-amazon.com/images/I/81+O6GnEKyL._AC_SX385_.jpg,No about this item found,No product details found,Visit the Real Essentials Store,,SelectSmallMediumLargeX-LargeXX-Large3X-Large
4,Nike Men's Park Short Sleeve T Shirt,"INR2,076.68","INR2,098.51",4.4 out of 5 stars,"2,884 ratings",https://m.media-amazon.com/images/I/51+TzewugCL._AC_SY445_.jpg,No about this item found,The Nike Dry Park VII Short Sleeve Jersey features features sweat-wicking fabric that helps keep you dry and comfortable for the game,Brand: Nike,,SelectSmallMediumLargeX-LargeXX-Large
5,SUNBS Womens 3 Pack T Shirts Basic Short Sleeve Tees Crewneck Fashion Tops Loose Fit Lightweight Casual Summer Clothes 2024,"INR2,434.41","INR 1,737.39",4.5 out of 5 stars,"1,481 ratings",https://m.media-amazon.com/images/I/81qbc0prOoL._AC_SX385_.jpg,No about this item found,No product details found,Brand: SUNBS,,SelectSmallMediumLargeX-LargeXX-Large3X-Large
6,"Gildan Unisex-Adult Softstyle Cvc Short Sleeve T-Shirt, Style G67000, Multipack",INR461.02,"INR 2,285.81",4.1 out of 5 stars,"1,328 ratings",https://m.media-amazon.com/images/I/51H2NOR3GGL._AC_SX385_.jpg,No about this item found,"Gildan Unisex-Adult Softstyle Cvc Short Sleeve T-Shirt, Style G67000, Multipack",Visit the Gildan Store,,SelectX-SmallSmallMediumLargeX-LargeXX-Large3X-Large
7,Nautica Men's Solid Crew Neck Short-Sleeve Pocket T-Shirt,"INR1,277.24","INR2,770.30",4.6 out of 5 stars,"13,360 ratings",https://m.media-amazon.com/images/I/71vZFqWN7VL._AC_SX342_.jpg,No about this item found,"Simply put, every guy needs a solid collection of pocket t-shirts in his collection. This cotton style from Nautica one ups its classic roots with a touch of stretch so you know it'll fit great and keep its shape for a long time to come.",Visit the Nautica Store,,SelectX-SmallSmallMediumLargeLarge Big TallX-LargeX-Large Big TallXX-LargeXX-Large Big Tall3X-Large3X-Large Big Tall4X-Large Big Tall5X-Large Big Tall1X2X2X Tall3X4X4X Tall5X5X Tall6X
8,Trendy Queen Womens Basic T-Shirts Scoop Neck Short Sleeve Crop Tops Cute Summer Tops Slim Fit Tees Y2k Clothing 2024,INR838.90,"INR1,195.79",4.4 out of 5 stars,"2,290 ratings",https://m.media-amazon.com/images/I/618nlIoxcAL._AC_SY445_.jpg,No about this item found,No product details found,Visit the Trendy Queen Store,,SelectXX-SmallX-SmallSmallMediumLargeX-LargeXX-Large3X-Large
9,Classic Men's Short Sleeve Cotton Undershirts | Crew Neck T Shirt - Multi & Bulk Wholesale Packs,"INR1,342.74","INR2,098.51",4.3 out of 5 stars,715 ratings,https://m.media-amazon.com/images/I/41Vq+CryfqL._AC_SX342_.jpg,No about this item found,EXCELLENT QUALITY AND VALUE. They are 100% Cotton lightweight t-shirts but not see-through. These are perfect undershirts .The neck fits great for under casual shirts . They are soft but not flimsy. They are just the perfect length.,Visit the Andrew Scott Store,,SelectSmallMediumLargeX-LargeXX-Large3X-Large Big4X-Large Big5X-Large Big6X-Large Big
10,"Hanes Men’s Tagless Ribbed Undershirt Tall, Various Pack Size Options","INR1,420.00","INR1,255.41",4.5 out of 5 stars,"7,874 ratings",https://m.media-amazon.com/images/I/41gI8BtEjQL._AC_SY445_.jpg,No about this item found,,Visit the Hanes Store,,SelectSmallMediumLargeLarge TallX-LargeX-Large TallXX-LargeXX-Large Tall3X-Large Tall4X-Large Tall5X-Large Tall6X-Large Tall
11,"Hanes Men's X-Temp Performance T-Shirt Pack, Cotton Blend Moisture-Wicking Tees for Men, 2-Pack",INR858.21,"INR1,650.09",4.3 out of 5 stars,"14,821 ratings",https://m.media-amazon.com/images/I/61ujBHjsvcL._AC_SX385_.jpg,No about this item found,"When it comes to the performance you want in a simple men’s tee, you can't do better than Hanes® X-Temp® crewneck t-shirts. Crafted from a cotton-rich blended fabric, these men’s t-shirts feature innovative X-Temp™ technology that's designed to keep you cool and dry while wicking moisture away from your skin. Boasting the softness of ring-spun cotton, these men’s crewneck tees feature double-needle stitching, a lay-flat ribbed crewneck, and robust shoulder-to-shoulder taping. Available in a convenient two-pack, you’ll learn to love the cool, classic comfort of these moisture-wicking t-shirts for men.",Visit the Hanes Store,,SelectSmallMediumLargeX-LargeXX-Large3X-Large2 count (Pack of 1)
