,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL,About This Item,Product Details,Store Name,Colors,Size Chart,Product URL
0,"Hanes Men’s T-Shirt Pack, Cool Dri Moisture-wicking Performance Tee, Performance Athletic T-Shirt, 2-pack",INR971.58,"INR1,006.85",4.4 out of 5 stars,"18,516 ratings",https://m.media-amazon.com/images/I/61hxkBvj2fL._AC_SX385_.jpg,No about this item found,"PERFORMANCE. STYLE. COMFORT.Light as a feather and loaded with superior performance features, this Hanes Sport™ men's t-shirt builds on our comfort heritage with a style that fits your life and sport. Crafted from an interlock jersey knit fabric, it features a contemporary fit with a ribbed, lay-flat collar - but it's the technology that sets this men's short-sleeve tee apart. Cool DRI™ technology helps to dry fabric faster for maximum comfort and boasts a UPF rating of 40+ to assist in protecting the skin against harmful UV rays. You'll stay cool and fresh no matter how hard you go, thanks to moisture-wicking fabric and advanced odor-protection technology. This comfortable men's performance t-shirt is available in assorted colors - including neon brights for enhanced visibility when you need it. Stock up now with this 2-pack so you can always keep a clean Hanes tee on hand.",Visit the Hanes Store,,SelectSmallMediumLargeX-LargeXX-Large3X-LargeXL (Pack of 2),https://www.amazon.com/Hanes-Mens-Sport-Cool-Performance/dp/B00KQFKT3C/ref=sr_1_49?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-49
1,"Russell Athletic Men's Dri-Power Cotton Blend Short Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-4x",INR708.74,"INR1,258.77",4.4 out of 5 stars,"1,578 ratings",https://m.media-amazon.com/images/I/71r5LBxyPiL._AC_SX385_.jpg,No about this item found,"The Russell Athletic Men’s Essential Tee delivers the comfort, style, and performance to fit your active lifestyle. This t-shirt features our signature Dri-Power moisture wicking technology, odor protection to keep the fabric fresh, and a UPF 30+ rating to protect you from harmful UV rays. This tee is a wardrobe essential, offering both the style and comfort of cotton with the benefits of performance.",Visit the Russell Athletic Store,,SelectSmallMediumLargeX-LargeXX-Large,https://www.amazon.com/Russell-Athletic-Essential-Vintage-Heather/dp/B07194CL8N/ref=sr_1_50?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-50
2,Hanes mens Nano Premium Cotton T-shirt (Pack of 2),INR855.70,"INR 1,667.86",4.3 out of 5 stars,"12,481 ratings",https://m.media-amazon.com/images/I/514iPSRKf9L._AC_SX385_.jpg,No about this item found,"Perfect is a high bar, but the updated Perfect-T offers the comfort and style you want for everyday wear. Our men's t-shirts are available in a convenient 2-pack to maximize your options. Made with 100% cotton, these men's short sleeve shirts are cooling and breezy, made to take on any activity. Fit for every day, this men's t-shirt pack can be worn as a top layer or as an undershirt for easy, versatile style. Featuring set-in sleeves and a ribbed crewneck, these men's comfortable t-shirts keep their shape, wash after wash. Easily removable tearaway neck label adds comfort, giving you an itch-free experience. Hanes® undershirts are finished with double-needle stitching on the sleeves and hem. Throw these men's undershirts in the washer on cold water wash and tumble dry low for easy laundering.",Visit the Hanes Store,,SelectSmallMediumLargeX-LargeXX-Large3X-Large,https://www.amazon.com/Hanes-Premium-Cotton-T-Shirt-Black/dp/B00KBZPZKY/ref=sr_1_51?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-51
3,"Jerzees Men's Dri-Power Cotton Blend Long Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-3x",INR822.95,"INR1,425.88",4.5 out of 5 stars,"60,121 ratings",https://m.media-amazon.com/images/I/71c7eRazT8S._AC_SX385_.jpg,No about this item found,"The Jerzees long sleeve t-shirt is made with dri-power technology that wicks away moisture to keep you cool and dry throughout your day. We also included a rib collar and cuffs for added durability, and a lay-flat collar for comfort. If you are looking for a versatile shirt that you can wear throughout the transitioning seasons, then look no further.",Visit the Jerzees Store,,SelectSmallMediumLargeX-LargeXX-Large3X-Large,https://www.amazon.com/Jerzees-Dri-Power-Moisture-Wicking-Protection/dp/B00T7TXS2W/ref=sr_1_52?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-52
4,1/5 Pack Workout Shirts for Men Athletic Running Gym Quick Dry Short Sleeve Performance Moisture Wicking T Shirt,"INR1,510.69",INR860.73,4.6 out of 5 stars,164 ratings,https://m.media-amazon.com/images/I/61GltY-BrXL._AC_SX342_.jpg,No about this item found,No product details found,Brand: HovSiyla,,SelectSmallMediumLargeX-LargeXX-Large,https://www.amazon.com/HovSiyla-Athletic-Performance-Moisture-Burgundy/dp/B0D266SMGD/ref=sr_1_53?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-53
5,Just My Size Women's Plus-Size Short Sleeve V-Neck Tee,INR839.74,INR940.51,4.1 out of 5 stars,"25,476 ratings",https://m.media-amazon.com/images/I/71R5dI3yZ6L._AC_SX385_.jpg,No about this item found,"Classic yet so much more – JMS Women’s V-Neck T-shirt is your go-to when you want the softness and comfort of plus size shirts designed to flatter your figure. Crafted from soft, ring-spun cotton, its 29” length forms a flattering, slimming silhouette while a shirttail hem adds a sporty touch. You’ll love the feminine look of a lightly-ribbed, wide overlapping V-neckline. Pair these t-shirts for women with your favorite jeans, leggings, shorts, or joggers. It’s a look that works every time. Wear as a standout top layer when warm weather comes calling or under a jacket or cardigan when it's time to chill.",Visit the JUST MY SIZE Store,,Select1X2X3X4X5X,https://www.amazon.com/Just-My-Size-Womens-Plus-Size/dp/B016OJCYKY/ref=sr_1_54?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-54
6,"Fruit of the Loom Recover Cotton T-Shirt Made with Sustainable, Low Impact Recycled Fiber",INR755.77,"INR2,770.30",4.6 out of 5 stars,331 ratings,https://m.media-amazon.com/images/I/71Ewn4+xp1L._AC_SY445_.jpg,No about this item found,"We are committed to a more Fruitful Future. In doing so we are big on turning things into other things! So, we partnered with Recover™ to create our Fruit of the Loom Recover™ Cotton T-shirt. This T-shirt is made with 20% Recover™ cotton, a high-quality, low-impact recycled fiber made from cotton textile waste. Recover™ cotton fiber production also uses less water compared to conventional cotton, so much that 1lb of Recover™ cotton saves up to approximately 114 showers or 6 years of drinking water*! This unisex cotton t-shirt provides more than just saving Earth – it’s made to last with double-needle stitching for extra re-enforcement. The shoulder-to-shoulder cover seam tape ensures your comfort. This sustainable t-shirt is a must-have for your drawer and as always, we provide the best fit, guaranteed! * Calculated using an LCA study verified by AITEX, Universitat de Valencia and UNESCO.",Visit the Fruit of the Loom Store,,SelectSmallMediumLargeX-LargeXX-Large,https://www.amazon.com/Fruit-Loom-Recover-Sustainable-Recycled/dp/B0B6Q7LSPF/ref=sr_1_55?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-55
7,Disney Lion King Hakuna Matata T-Shirt for Adults,"INR1,467.87","INR 1,737.39",4.5 out of 5 stars,"1,659 ratings",https://m.media-amazon.com/images/I/61p00diE9NL._AC_SX385_.jpg,No about this item found,Show everyone your love for the circle of life and bring back some nostalgic memories of your favorite childhood movie with this officially licensed Lion King graphic tee!,Visit the Disney Store,,SelectSmallMediumLargeX-LargeX-Large TallXX-Large3X-Large4X-Large5X-Large,https://www.amazon.com/Disney-Graphic-T-Shirt-Charcoal-Heather/dp/B073SW25HK/ref=sr_1_56?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-56
8,Women's Vintage Floral T Shirt Boho Wildflower Graphic Loose Tees Short Sleeve Casual Tops,"INR1,342.74","INR1,593.83",4.4 out of 5 stars,381 ratings,https://m.media-amazon.com/images/I/81kZaGI4KmL._AC_SX342_.jpg,No about this item found,,Visit the Oriental Pearl Store,,SelectSmallMediumLargeX-Large,https://www.amazon.com/Womens-Vintage-Wildflower-Graphic-A1-Dark/dp/B0CGL5WVKZ/ref=sr_1_57?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-57
9,Hanes Men’s Short Sleeve Graphic T-shirt Collection,INR835.54,"INR1,310.83",4.6 out of 5 stars,"67,935 ratings",https://m.media-amazon.com/images/I/81MHRfnVZvL._AC_SX385_.jpg,No about this item found,Hanes men's lightweight graphic tee is provide the fit and comfort you expect with stylish vintage cali-themed prints. Check out each of the graphic collections available from Hanes,Visit the Hanes Store,,SelectSmallMediumLargeX-LargeXX-Large3X-Large,https://www.amazon.com/Hanes-Graphic-Tee-Americana-Collection-X-Large/dp/B01EKB44O2/ref=sr_1_58?dib=eyJ2IjoiMSJ9.33_MaMm_2ljnT2N7I_JmINFB4bP9iBjWJfvcC6h4xOQrHADyoUNpcFXmCp1bjXe-e8AJXjmgxm1VJ6FTboLxA2fifq_MZShRCrIfAbMyvk-igNgjL2hHW8ISrZhLYe3KCEvNQzp2cGtr3TjCLLrlA4Mi_95QraY-dlMloRN9mMT__97OXRch1uTf0yZfqR2-Hbckn_0kqeemcQTIEpnj0g.nUsUj87LftHuzAZvsy_f_PVIFxiB4Bp3hPc0PCsqTVs&dib_tag=se&keywords=T-shirt&qid=1724911913&sr=8-58
