,Product Title,Product MRP,Discounted Price,Product Image URL
0,18K Gold-Plated Link Bracelet,Rs.2143,Rs.750,fl_progressive/assets/images/2024/AUGUST/26/NWp6TBbs_4ae931aeb6704ec9a6c6d40fbc89f73f.jpg
1,22K Gold Plated Cuff Bracelet,Rs.2800,Rs.980,fl_progressive/assets/images/2024/AUGUST/24/yWA4OOvQ_2f0af0383a6c4f39a1b50eb4df36c1a5.jpg
2,Women Link Bracelet,Rs.1490,Rs.715,fl_progressive/assets/images/20704392/2022/11/21/efb3bace-2762-4b51-9cd2-7b8b259915cf1669028064191JacketsMangoKidsGirlsJacketsMangoKidsBoysJacketsMangoKidsGir1.jpg
3,Gold-Plated Kada Bracelet,Rs.525,Rs.498,fl_progressive/assets/images/24526080/2023/10/18/f99a1649-e563-4c06-b63a-ee3d26e8e5291697610945264-MYKI-Women-Gold-Toned-Gold-Plated-Kada-Bracelet-695169761094-1.jpg
4,Bangle-Style Bracelet,Rs.1875,Rs.750,fl_progressive/assets/images/2024/AUGUST/24/K7ZE5GXR_361c8a7beeef47f3959d8e52fb5353f2.jpg
5,Men Set Of 3 Leather Bracelet,Rs.2199,Rs.373,fl_progressive/assets/images/26395822/2023/12/13/37ea5e65-4762-4ee3-914b-74b28689ad691702460220171MenBlack3-PackBracelets1.jpg
6,Women Bangle-Style Bracelet,Rs.1659,Rs.464,fl_progressive/assets/images/19834900/2022/9/8/b2f3f3dd-f7bc-4576-bc27-aabe2e2958841662633977010JewelsGalaxyWomenGoldBracelet1.jpg
7,Women Cubic Zirconia Handcrafted Gold-Plated Charm Bracelet,Rs.1858,Rs.650,fl_progressive/assets/images/2024/AUGUST/26/K0lsiaSq_b7479f801ad844419c606de3bcb96ee5.jpg
8,Unisex Gold Plated Bracelet,Rs.2099,Rs.587,fl_progressive/assets/images/28178240/2024/3/11/548bf0a6-c979-45d7-93af-0f07715e6fb51710148556785BR1101053G1.jpg
9,Unisex Kada Bracelet,No MRP found,No discounted price found,fl_progressive/assets/images/26452530/2023/12/16/a8541f9a-5560-4a15-83fe-9075e38522c01702704996832KARISHMAKREATIONSUnisexBlackKadaBracelet1.jpg
10,Men Waterproof Strap Bracelet,Rs.1572,Rs.550,fl_progressive/assets/images/2024/AUGUST/24/oVhIxD4F_ad8eb7164c8a464c888ff4bce364c625.jpg
11,Unisex Gold-Plated Bracelet,Rs.2199,Rs.499,No image found
12,Unisex Kada Bracelet,Rs.2000,Rs.600,No image found
13,Rhodium-Plated Bracelet,Rs.2283,Rs.799,No image found
14,Leather Wraparound Bracelet,Rs.2660,Rs.851,No image found
15,Unisex Bangle-Style Bracelet,Rs.1499,Rs.449,No image found
16,Men Stainless Steel Bracelet,Rs.1372,Rs.480,No image found
17,Men Silver-Plated Bracelet,Rs.2199,Rs.351,No image found
18,Men Brass Handcrafted Brass-Plated Cuff Bracelet,Rs.1273,Rs.483,No image found
19,22K Gold Plated Bracelet,Rs.1758,Rs.966,No image found
20,Gold-Plated Kada Bracelet,Rs.2000,Rs.450,No image found
21,Unisex Set Of 2 Kada Bracelets,No MRP found,No discounted price found,No image found
22,Women Studded Kada Bracelet,No MRP found,No discounted price found,No image found
23,Leather Wraparound Bracelet,Rs.1299,Rs.480,No image found
24,Set Of 4 Wraparound Bracelet,Rs.1319,Rs.395,No image found
25,Kundan Wraparound Bracelet,No MRP found,No discounted price found,No image found
26,Men Set of 2 Beaded Bracelets,Rs.999,Rs.279,No image found
27,Gold-Plated Bangle Bracelet,Rs.1129,Rs.338,No image found
28,Women Brass Cubic Zirconia Handcrafted Rhodium-Plated Link Bracelet,Rs.2283,Rs.799,No image found
29,Unisex Brass Bracelet,Rs.799,Rs.419,No image found
30,Women Brass Cubic Zirconia Rose Gold-Plated Kada Bracelet,Rs.1995,Rs.399,No image found
31,Gold-Plated Charm Bracelet,Rs.2498,Rs.999,No image found
32,Unisex Silver-Plated Bracelet,Rs.2000,Rs.350,No image found
33,Unisex Set of 2 Beads Bracelet,Rs.1998,Rs.459,No image found
34,22K Gold-Plated Cuff Bracelet,Rs.3572,Rs.1250,No image found
35,Women Link Bracelet,Rs.1490,Rs.715,No image found
36,Gold Plated Bangle Bracelet,Rs.2659,Rs.505,No image found
37,Women Cuff Bracelet,No MRP found,No discounted price found,No image found
38,Set Of 2 Beaded Bracelet,Rs.2000,Rs.350,No image found
39,Men Wraparound Bracelet,Rs.999,Rs.399,No image found
40,Women Kundan Studded Armlet,No MRP found,No discounted price found,No image found
41,Gold-Plated Kada Bracelet,No MRP found,No discounted price found,No image found
42,Men Leather Cuff Bracelet,Rs.325,Rs.308,No image found
43,Gold-Plated Link Bracelet,Rs.2283,Rs.799,No image found
44,Men Bracelet,Rs.1125,Rs.607,No image found
45,Women Set of 2 Kada Bracelets,Rs.2495,Rs.548,No image found
46,Kundan Studded Armlet,No MRP found,No discounted price found,No image found
47,Gold-Plated Kada Bracelet,Rs.1499,Rs.547,No image found
