,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
5,"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey","INR 13,323.09","INR 12,661.50",3.7,678,https://m.media-amazon.com/images/I/71bphKmt0DL._AC_UY218_.jpg
16,"ASUS Chromebook CM14 Laptop, 14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey","INR 23,477.44","INR 14,925.48",4.3,"1,044",https://m.media-amazon.com/images/I/616aCuRtnpL._AC_UY218_.jpg
2,"SGIN 15.6 Inch Laptops, Laptop Computer with 4GB RAM 128GB SSD, Expandable 1TB, Celeron Quad-Core Processor(Up to 2.6GHz), 5G WiFi, Type-C, Mini HDMI, Webcam, USB 3.2(Silver)","INR 33,874.97","INR 15,930.85",5.0,1,https://m.media-amazon.com/images/I/71dlFMo9WtL._AC_UY218_.jpg
3,"jumper Laptop, 4GB DDR4 RAM 128GB SSD, Office 365 1-Year Subscription, 5205U Processor, 15.6 Inch HD Display, 38Wh Battery, Dual Stereo Speakers, Type-C, USB3.0, Numeric Keypad.","INR 31,862.54","INR 16,769.36",4.0,58,https://m.media-amazon.com/images/I/6194G+5e3RL._AC_UY218_.jpg
18,"Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue","INR 25,154.46","INR 18,925.17",4.4,389,https://m.media-amazon.com/images/I/61KlKRdsQ7L._AC_UY218_.jpg
6,"ASUS Vivobook 15.6” FHD Laptop, AMD Ryzen 3 3250U, 8GB RAM, 128GB SSD, Windows 11 Home, Transparent Silver, M515DA-WS33","INR 27,669.99","INR 22,555.92",4.0,166,https://m.media-amazon.com/images/I/61FYc36J93L._AC_UY218_.jpg
46,"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947","INR 25,154.46","INR 23,841.35",4.2,74,https://m.media-amazon.com/images/I/71wKJVtV-+L._AC_UY218_.jpg
10,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 256GB Storage (128GB eMMC + 128GB USB Card), Intel UHD Graphics, HD Camera, Fast Charge, 1 Year Office 365, Win 11 S, Gold","INR 33,456.55","INR 25,070.61",4.4,4 capacities4 capacities,https://m.media-amazon.com/images/I/81w81VfhiZL._AC_UY218_.jpg
21,"Morostron Touchscreen Notebook Laptop, 15.6"" HD, All-Metal Body，N5095 Quad-core 2.9 GHz Processor, 16GB DDR4 1TB SSD，Fingerprint and Backlit Keyboard,FHD 1920 * 1080 IPS,WiFi,Windows 11 Home","INR 30,185.52","INR 26,831.48",3.5,2 capacities2 capacities,https://m.media-amazon.com/images/I/71S7pkVK8GL._AC_UY218_.jpg
44,"LENOVO IdeaPad 3i Laptop, 15.6"" HD Touchscreen Display, Intel Core i3-1115G4 Processor, 12GB DDR4 RAM, 256GB PCIe SSD, Bluetooth, Webcam, Wi-Fi 6, HDMI, Windows 11 Home, Grey","INR 50,226.75","INR 27,833.50",4.2,6 capacities6 capacities,https://m.media-amazon.com/images/I/61eFMUYS+HL._AC_UY218_.jpg
20,"ACEMAGIC Laptop Computer Powered by Intel N95 Processor, 16GB DDR4 RAM 512GB SSD Laptop with 15.6 inch FHD, WiFi, BT5.0, Type_C, Business Home PC","INR 75,465.06","INR 30,185.52",4.9,18,https://m.media-amazon.com/images/I/71ekMQLXobL._AC_UY218_.jpg
29,"HP 14 HD Portable Laptop Computer Students Business, Quad-Core Intel Pentium N5030 Processor, 16GB RAM, 1TB SSD, HDMI, Win 11 S w/GM Accessories","INR 32,701.05","INR 31,023.19",4.3,149,https://m.media-amazon.com/images/I/71nqr9Sbv5L._AC_UY218_.jpg
38,"ACEMAGIC Laptop Computer 16 inch FHD Display, 16GB RAM 512GB ROM with Intel 12th Gen Alder Lake N97(4C/4T, Up to 3.6GHz) Support WiFi, BT5.0, 1MP Webcam, 3*USB3.2, Type-C","INR 117,390.56","INR 31,860.03",4.2,21,https://m.media-amazon.com/images/I/71Ng44BXaGL._AC_UY218_.jpg
9,"ACEMAGIC 16 inch Laptop Computer Powered by N97 Processor,16GB DDR4 RAM 512GB SSD,FHD 1920 * 1200P,WiFi,BT5.0,Type_C,38Wh Battery","INR 117,390.56","INR 33,539.56",5.0,3,https://m.media-amazon.com/images/I/71PM2NljzoL._AC_UY218_.jpg
39,"HP 17 Flagship Laptop, Intel Core i3-1215U, 17.3"" Full HD Laptop, Windows 11, 16GB RAM, 512GB SSD, Anti-Glare Panel, Fast Charge, HD Camera, Camera Shutter, HDMI, WiFi, USB-A&C","INR 45,614.11","INR 37,732.11",4.8,7,https://m.media-amazon.com/images/I/71cVV2JRScL._AC_UY218_.jpg
22,"Laptop Computer, 15.6"" FHD IPS Display,AMD Ryzen7 5700U Octa-Core Processor,16GB LPDDR4,1TB PCIe SSD, Fingerprint Reader, Backlit Keyboard, Webcam, Wi-Fi 6, Windows 11 Pro, Metal Shell, Grey","INR 50,309.76","INR 38,235.22",4.3,6,https://m.media-amazon.com/images/I/71JvrKUXwJL._AC_UY218_.jpg
31,"ACEMAGIC Gaming Laptop,Laptop with AMD Ryzen 7 5700U Processor(8C/16T, Up to 4.3GHz), 16.1-inch FHD Display, 16GB RAM 512GB ROM Laptop Computer Support WiFi 6, 53Wh Battery, with Backlit Keyboard","INR 134,160.76","INR 41,924.66",4.2,88,https://m.media-amazon.com/images/I/71GIeP+IraL._AC_UY218_.jpg
12,"ASUS Vivobook 16” WUXGA Laptop, Intel Core i5-1235U, Intel Iris Xe Graphics, 16GB Memory, 512GB SSD, Cool Silver, F1605ZA-AS56",INR 669.97,"INR 44,356.34",3.7,2 capacities2 capacities,https://m.media-amazon.com/images/I/61IRywqLYzL._AC_UY218_.jpg
1,"Lenovo ‎Ideapad 3i ‎15.6"" Touchscreen Laptop Computer, ‎Windows 11 Home 40GB RAM 1TB SSD, Intel i3-1115G4, FHD ‎1920x1080 Display, Microsoft Office Lifetime License, Plusera Earphone, Arctic Grey","INR 56,179.33","INR 50,309.76",4.5,3 capacities3 capacities,https://m.media-amazon.com/images/I/61LSOzLQlnL._AC_UY218_.jpg
32,"MSI Thin 15 15.6” 144Hz FHD Gaming Laptop: Intel Core i7-12650H, NVIDIA Geforce RTX 4050, 16GB DDR5, 512GB NVMe SSD, Cooler Boost 5, Win 11: Black B12VE-2023US","INR 75,465.06","INR 63,725.92",4.3,794,https://m.media-amazon.com/images/I/71Fr-EEsp6L._AC_UY218_.jpg
47,"MSI Raider GE76 Gaming Laptop: Intel Core i9-12900H, GeForce RTX 3060, 17.3"" 144Hz FHD Display,16GB DDR5, 1TB NVMe SSD, Thunderbolt 4, Cooler Boost 5, Win 11 Home: Titanium Blue 12UE-871","INR 134,077.75","INR 93,912.28",4.4,5 capacities5 capacities,https://m.media-amazon.com/images/I/71Ki7Jjys9L._AC_UY218_.jpg
