Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Women Colourblocked Sneakers,Rs.5099,Rs.1019,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23004440/2023/5/4/f75e22f8-761e-414c-b3bb-3a32710e24661683184857973RedTapeWomenWhiteColourblockedPUSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-women-colourblocked-sneakers/23004440/buy,4.5,1.2k
Men Round Toe Slip On Loafers,Rs.3795,Rs.1099,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28489280/2024/3/23/2869a5d9-b37f-4ecd-bbaf-70bbc0738e721711190266084InvictusMenBlackFauxLeatherFormalSlipOnLoafers1.jpg",https://www.myntra.comformal-shoes/invictus/invictus-men-round-toe-faux-leather-formal-slip-on-loafers/28489280/buy,4.4,57
Women Running Shoes,Rs.3999,Rs.1119,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30032630/2024/6/24/0d7a0c0a-d98a-4cb6-8dfa-118b453506171719251151247WomenOnionPinkSportsRunningShoes1.jpg",https://www.myntra.comsports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-mesh-running-non-marking-shoes/30032630/buy,4.3,75
Men Gamescape Sneakers,Rs.4799,Rs.1119,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11261260/2023/4/21/94449955-d381-4728-b7fa-7be37754af211682057777632-HRX-by-Hrithik-Roshan-Men-Black-Gamescape-Sneakers-855168205-1.jpg",https://www.myntra.comcasual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-gamescape-sneakers/11261260/buy,3.8,742
Men Colourblock Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22242024/2023/7/11/1cf68e04-747e-4a33-8167-69eceeffa0a81689077143309-WROGN-Men-Colourblocked--Woven-Design-Running-Shoes-74116890-7.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked--woven-design-running-shoes/22242024/buy,4.2,143
Men Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241876/2023/9/21/f5bb5c18-6233-47db-8479-be5205a3fea81695294768389WROGNMenColourblockedRunningShoes1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked-running-shoes/22241876/buy,3.8,141
Men Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241878/2023/9/21/d13ac513-d215-4e7a-b792-5ccfecffae791695294772983WROGNMenColourblockedRunningShoes1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked-running-shoes/22241878/buy,3.8,141
Men Woven Design Sneakers,Rs.4299,Rs.1289,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21652432/2023/2/9/90fc3d8d-dcaa-4d99-9b2d-95e8ecadb98e1675943510035-Jack--Jones-Men-Woven-Design-Mesh-Sneakers-3051675943509405-1.jpg",https://www.myntra.comcasual-shoes/jack+%26+jones/jack--jones-men-woven-design-mesh-sneakers/21652432/buy,3.6,54
Women Walking Shoes,Rs.6599,Rs.1319,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24781728/2023/9/2/0137c352-6f0b-428d-9eb1-b0682cc54acb1693658782714RedTapeCasualSneakerShoesForWomenWhereFashionMeetsComfort1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-women-walking-shoes/24781728/buy,4.5,307
Embellished Comfort Mules,Rs.2290,Rs.1374,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16505744/2023/11/27/ee97bfc2-8b60-4e89-b531-ad0cfbfda8961701084573006-Metro-Grey-Embellished-Comfort-Mules-8731701084572901-7.jpg",https://www.myntra.comheels/metro/metro-grey-embellished-comfort-mules/16505744/buy,4.2,1.1k
