Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL,Product URL
Crocs Unisex-Adult Classic Clogs,"INR 4,196.91","INR 3,767.90",4.8 out of 5 stars,"589,076",https://m.media-amazon.com/images/I/81LPwvQLXJL._AC_UL320_.jpg,https://www.amazon.com/Crocs-Unisex-Classic-Black-Women/dp/B0014C2NBC/ref=sr_1_3?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-3
New Balance Men's 608 V5 Casual Comfort Cross Trainer,"INR 6,295.79","INR 5,876.01",4.6 out of 5 stars,"79,353",https://m.media-amazon.com/images/I/61Ht6pj0JiL._AC_UL320_.jpg,https://www.amazon.com/New-Balance-Casual-Comfort-Trainer/dp/B07B421VFF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-4
Reebok Men's BB4500 Hi 2 Sneaker,"INR 5,876.85","INR 3,291.04",4.5 out of 5 stars,"19,453",https://m.media-amazon.com/images/I/71ZdYTjbYIL._AC_UL320_.jpg,https://www.amazon.com/Reebok-Royal-BB4500H2-Walking-Black/dp/B07B517S7Y/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-5
Skechers Men's Cessnock Food Service Shoe,"INR 5,872.65","INR 4,214.54",4.5 out of 5 stars,"27,514",https://m.media-amazon.com/images/I/71k4rWgqrHL._AC_UL320_.jpg,https://www.amazon.com/Skechers-Mens-Cessnock-Shoe-Black/dp/B07FBJST2L/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-7
Skechers Women's D'Lites Fresh Start Memory Foam Lace-up Sneaker Fashion,"INR 6,212.67","INR 3,775.46",4.6 out of 5 stars,"20,434",https://m.media-amazon.com/images/I/51+3J2SqJRL._AC_UL320_.jpg,https://www.amazon.com/Skechers-Womens-DLites-Lace-up-Sneaker/dp/B014GNK1M8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-9
PUMA Men's Rebound Layup Sneaker,"INR 5,876.85","INR 3,819.95",4.5 out of 5 stars,"2,864",https://m.media-amazon.com/images/I/61xMnRnZVYL._AC_UL320_.jpg,https://www.amazon.com/PUMA-Rebound-Layup-Black-White/dp/B07GQY3BJ6/ref=sr_1_13?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-13
adidas Men's Grand Court 2.0,"INR 5,876.85","INR 5,456.24",4.7 out of 5 stars,"4,302",https://m.media-amazon.com/images/I/61WCGhLlXmL._AC_UL320_.jpg,https://www.amazon.com/adidas-Grand-Court-Tennis-White/dp/B09DXVJRDL/ref=sr_1_14?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-14
Brooks Men’s Revel 6 Neutral Running Shoe,"INR 8,395.50","INR 6,712.20",4.6 out of 5 stars,"1,135",https://m.media-amazon.com/images/I/71smGwUbAvL._AC_UL320_.jpg,https://www.amazon.com/Brooks-Mens-Revel-Neutral-Running/dp/B0BHKKCPW9/ref=sr_1_15?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-15
Skechers Men's Afterburn M. Fit,"INR 6,212.67","INR 5,298.40",4.4 out of 5 stars,"80,189",https://m.media-amazon.com/images/I/81y20ceCWsL._AC_UL320_.jpg,https://www.amazon.com/Skechers-Afterburn-fashion-sneakers-X-Wide/dp/B00FZN1KWE/ref=sr_1_16?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-16
Skechers Men's GOrun Consistent Sneaker,"INR 5,205.21","INR 3,777.14",4.5 out of 5 stars,"16,101",https://m.media-amazon.com/images/I/71EA4iED5zL._AC_UL320_.jpg,https://www.amazon.com/Go-Run-Consistent-Performance-Running/dp/B07YQNVKZP/ref=sr_1_18?dib=eyJ2IjoiMSJ9.8mRVZL4_10hbusz42tH7enW5TxrcQak8C7jjq9wOsZQilgpDbqf-mCd8KWUNjP6Q6ZyOYYp1fs6Gc74kG9KB1cG0YeEQjVXnEz8ffnQTVVlVWPb1_vj_WXdDYhMfZlOKxfcm7f0MaxJl_Me33EVoGrGBEpy8RspL59RWxL7cwyEVxLBzN6xyUgGCe8BtFprkImR7kbGuDg9DmVMf1mP1bfX1deodqlNhuhZrGFMMN6IsOhLWIl2ivZxJvskEhZZBeHH04OrSBQR1itN1XsyDvqVz6PqBZpwGTnMhgpGAiOY.VHYdt07k5a46R0eCxGXvg_XySFmNciEEFaiw5wx6TwM&dib_tag=se&keywords=shoes&qid=1725389899&sr=8-18
