Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Polo Collar T-shirt,Rs.1899,Rs.1424,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26905014/2024/1/13/0b1cf56b-eb7c-40a7-9d75-6ffad93eae211705087588692USPoloAssnWomenWomenBlackPoloCollarAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-polo-collar-t-shirt/26905014/buy,4.7,110
Polo Collar T-Shirt,Rs.1299,Rs.974,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23321744/2023/5/22/945b5a70-120c-4c36-bc2d-8a54b20055821684736866647USPoloAssnWomenWomenBlackPoloCollarAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-polo-collar-t-shirt/23321744/buy,4.6,147
Polo Collar T-Shirt,Rs.1499,Rs.1124,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23321746/2024/7/18/37525811-0faf-4aa4-a76a-5f58eb8d4ce31721281709323-US-Polo-Assn-Women-Polo-Collar-T-Shirt-4541721281709247-11.jpg",https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-polo-collar-t-shirt/23321746/buy,4.5,143
Women Polo Collar T-shirt,Rs.1699,Rs.1274,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24392806/2023/8/8/f62bbc59-f222-4321-884b-8f748eb1c4af1691439431972USPoloAssnWomenWomenGreenPoloCollarExtendedSleevesLooseT-shi1.jpg",https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-polo-collar-t-shirt/24392806/buy,4,84
Pure Cotton Slim Fit T-shirt,Rs.1799,Rs.1259,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23082596/2023/5/8/04f32a4b-4563-4c4d-b132-55a0c93ac5401683553454286USPoloAssnMenBluePoloCollarAppliqueSlimFitT-shirt1.jpg",https://www.myntra.comtshirts/u.s.+polo+assn./us-polo-assn-contrast-placket-solid-polo-shirt/23082596/buy,4.2,196
Polo Collar T-shirt,Rs.1449,Rs.1144,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26905022/2024/7/18/ceae5704-ae44-42d9-8f76-c7e145ab486b1721282275718-US-Polo-Assn-Women-Polo-Collar-T-shirt-9461721282275660-7.jpg",https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-polo-collar-t-shirt/26905022/buy,4.6,87
Men Polo Collar T-shirt,Rs.899,Rs.809,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15478580/2024/9/13/675d93f2-680b-4d99-bc1e-20cce2f68b741726235522824-Classic-Polo-Men-Purple-Polo-Collar-T-shirt-4261726235522399-1.jpg",https://www.myntra.comtshirts/classic+polo/classic-polo-men-purple-polo-collar-t-shirt/15478580/buy,4.5,62
Pack of 3 Printed T-shirt,Rs.2485,Rs.571,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16178214/2023/12/1/0fd075eb-ff9d-4d86-89ea-7033a25598de1701416641188-YK-Disney-Girls-Pack-of-3-Printed-Cotton-T-shirt-41617014166-1.jpg",https://www.myntra.comtshirts/yk+disney/yk-disney-girls-pack-of-3-printed-cotton-t-shirt/16178214/buy,4.2,2.7k
Girls Pure Cotton T-shirt,Rs.899,Rs.215,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21817240/2023/2/13/6e03c25b-c036-4670-8107-895cb075bfa81676284499440-YK-Girls-Printed-Drop-Shoulder-Pure-Cotton-T-shirt-664167628-11.jpg",https://www.myntra.comtshirts/yk/yk-girls-typography-printed-drop-shoulder-pure-cotton-t-shirt/21817240/buy,4.2,607
Typography Printed T-shirt,Rs.1099,Rs.494,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27040536/2024/1/25/49b4cbe2-e421-46fe-a735-9301a7b67cd21706183186668-Women-White-Graphic-Printed-Round-Neck-Boxy-Drop-Shoulder-Te-1.jpg",https://www.myntra.comtshirts/kook+n+keech/kook-n-keech-typography-printed-drop-shoulder-sleeves-t-shirt/27040536/buy,4.2,223
Typography Printed T-shirt,Rs.799,Rs.343,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27259888/2024/4/2/8c9c556a-289b-49b9-b0c0-89349993ab9e1712057165571UnitedColorsofBenettonGirlsTypographyPrintedT-shirt1.jpg",https://www.myntra.comtshirts/united+colors+of+benetton/united-colors-of-benetton-girls-typography-printed-t-shirt/27259888/buy,4.4,23
Printed Cotton T-shirt,Rs.1099,Rs.435,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25556790/2023/10/19/89dbe1ba-466c-43e3-886b-cdd76be93c5f1697729326034BewakoofWomenBlueMandarinCollarIndigoPocketsT-shirt1.jpg",https://www.myntra.comtshirts/bewakoof/bewakoof-tom-and-jerry-printed-round-neck-cotton-relaxed-fit-t-shirt/25556790/buy,4.6,119
Polo Collar Cotton T-shirt,Rs.799,Rs.719,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26373288/2024/9/13/438a4677-e160-4805-8bbf-dbd6751cab9a1726236966361-Classic-Polo-Collar-Cotton-Casual-T-shirt-5231726236965929-1.jpg",https://www.myntra.comtshirts/classic+polo/classic-polo-collar-cotton-casual-t-shirt/26373288/buy,4.4,61
Colourblocked Pure Cotton,Rs.699,Rs.279,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13622286/2024/2/19/a0794667-e541-4526-958d-6c9536a0009b1708340067741RoadsterMenGreenWhiteColourblockedRoundNeckPureCottonT-shirt1.jpg",https://www.myntra.comtshirts/roadster/roadster-men-green--white-colourblocked-round-neck-pure-cotton-t-shirt/13622286/buy,4.3,7.9k
