,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
0,No title found,No MRP found,No discounted price found,No rating found,No rating count found,No image found
1,Cars 1 - 3 Box - Walt Disney 3 Movie Bundling Blu-ray,No MRP found,"INR 3,187.97",4.8 out of 5 stars,"2,041",https://m.media-amazon.com/images/I/81+VQh4JwRL._AC_UL320_.jpg
2,"2pcs Car Scratch Repair Paste Upgraded Car Scratch Repair Paste Polishing Wax, 120ML Car Scratch Remover Set with Wipe & Sponge for Slight Scratches",INR 90.63,"INR 1,090.07",5.0 out of 5 stars,2,https://m.media-amazon.com/images/I/71PgIJ8HhML._AC_UL320_.jpg
3,"Automotive Oil Film Cleaning Brush, 2024 New Glass Oil Film Remover for Car, All in One Wipe On Oil Film Remover, Hydrophobic Glass Coating for Windshield (Brush+3pcRefill Solution)","INR 1,257.90","INR 1,257.90",No rating found,No rating count found,https://m.media-amazon.com/images/I/61BGmT5O2mL._AC_UL320_.jpg
4,"OTTOCAST Car TV Mate Built-in Wireless CarPlay Adapter - Fire TV Stick Converter for Car - Compatible with Set Top Box, Switch, etc - HDMI to USB Port Converter for The OEM Factory CarPlay Car","INR 9,146.84","INR 5,790.20",3.6 out of 5 stars,7,https://m.media-amazon.com/images/I/613BjbZ9ixL._AC_UL320_.jpg
5,"Spider Remote Control Car RC Drift Car, 2.4GHz 1:24 Scale 4WD 15KM/H High Speed RC Cars with LED Lights Racing and Drifting Tire, Gifts Toy Car for Boys Kids 4-7 8-12","INR 2,264.89","INR 1,677.48",5.0 out of 5 stars,14,https://m.media-amazon.com/images/I/81GiQLV5nXL._AC_UL320_.jpg
6,"Portable Apple Carplay Screen for Car,9 Inch Wireless Car Stereo with Apple Carplay & Android Auto,with 1080p Backup Camera,GPS Navigation,Bluetooth,Screen for All Vehicles",No MRP found,"INR 10,908.24",5.0 out of 5 stars,4,https://m.media-amazon.com/images/I/71pIXlWz5aL._AC_UL320_.jpg
7,"Anker USB-C Car Charger, 67W 3-Port Compact Fast Charger, 535 Car Adapter with PIQ 3.0 for iPhone 15/15 Plus/15 Pro/15 Pro Max, Galaxy S23, MacBook Pro, iPad Air, and More (USB-C to C Cable Included)",No MRP found,"INR 3,355.80",4.7 out of 5 stars,"1,848",https://m.media-amazon.com/images/I/61TsOEhJ9nL._AC_UL320_.jpg
8,Cars 3 (Theatrical),No MRP found,INR 318.04,4.7 out of 5 stars,"4,870",https://m.media-amazon.com/images/I/91pkMV0aHOL._AC_UL320_.jpg
9,Car Parking Multiplayer,No MRP found,INR 0.00,3.0 out of 5 stars,2,https://m.media-amazon.com/images/I/81EeQ6oqnWL._AC_UL320_.png
