,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
45,The Car,"INR 1,256.36","INR 1,081.07",4.7,"3,850",https://m.media-amazon.com/images/I/61kVMIhgpnL._AC_UL320_.jpg
21,"HYPER GO H14BM 1/14 Brushless RC Cars for Adults Fast 50 mph, RC Trucks 4wd Offroad Waterproof, Electric Powered High Speed RC Car, Scary Fast Extreme RC Truggy with 3S Battery for Snow Sand","INR 16,772.96","INR 14,256.89",4.2,628,https://m.media-amazon.com/images/I/813X1J3SLcL._AC_UL320_.jpg
24,"【Upgraded】 SUPERONE Retractable Car Charger 4 in 1, Fast Car Phone Charger with Cord 2.6ft, USB C and Apple Car Charger Adapter, Compatible with iPhone 15/15 Pro Max/14/13/12/11, Galaxy, Pixel","INR 11,643.53","INR 2,095.89",4.5,"1,355",https://m.media-amazon.com/images/I/61+F2Q2HxSL._AC_UL320_.jpg
42,Drive My Car (The Criterion Collection) [Blu-ray],"INR 3,350.57","INR 2,347.49",4.3,"1,130",https://m.media-amazon.com/images/I/71myn0zvjdL._AC_UL320_.jpg
1,"2024 Ultimate Car Phone Mount【80+LBS Strongest Suction & Military-Grade】【Patent & Safety Certs】 Cell Phone Holder Truck Stand for Dashboard Windshield Vent for iPhone 15 Pro Max 14 13 Samsung, Black","INR 3,353.92","INR 3,186.18",4.4,"4,355",https://m.media-amazon.com/images/I/71YYLbxKZbL._AC_UL320_.jpg
31,"RC Cars, 2.4 GHz Fast Stunt RC Car, 4WD 360° Rotating RC Trucks with lights and music, High Speed Off Road Stunt Truck, upright walking cars, Remote Control Car Toy for 6-12 Boys and Girls(RED)","INR 4,192.61","INR 3,773.27",4.6,7,https://m.media-amazon.com/images/I/81yYOp+3zxL._AC_UL320_.jpg
39,"Remote Control Car, RC Stunt Car Toys for Ages 6-12, 2.4GHz 4WD RC Car for Kids Gift, 360° Rotating Monster Truck Toys for Girls RC Truck Toy Cars for Boys","INR 4,192.61","INR 3,857.14",4.9,16,https://m.media-amazon.com/images/I/81Y-ySu+5LL._AC_UL320_.jpg
35,Used Cars,INR 837.85,INR 419.34,4.7,"3,535",https://m.media-amazon.com/images/I/91-4jyjEo6L._AC_UL320_.jpg
16,"Tire Inflator Portable Air Compressor 150PSI Cordless Air Pump for Car, Motorcycle, Bicycle Tires, Balls, Auto Air Compressor with Digital Pressure Gauge, Emergency LED Light","INR 8,386.06","INR 5,869.99",5.0,14,https://m.media-amazon.com/images/I/71qq6rcUWAL._AC_UL320_.jpg
20,"OXILAM Handheld Vacuum Cordless, 4 in 1 Car Vacuum Portable Cordless with 14000Pa Strong Suction, Multi-Nozzles Cordless Vacuum Cleaner Hand Held Mini Vacuum Cleaners for Home, Pet, Car, Office","INR 7,547.37","INR 5,869.99",4.7,14,https://m.media-amazon.com/images/I/71k+AkUNDXL._AC_UL320_.jpg
