Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Relaxed Fit Cargo Trousers,Rs.2999,Rs.1049,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30085059/2024/7/1/20b117a1-471a-4173-a044-fac2f2979bae1719830110032TheRoadsterLifestyleCoRelaxedFitCottonCargoTrousers1.jpg",https://www.myntra.comtrousers/roadster/the-roadster-lifestyle-co-relaxed-fit-cotton-cargo-trousers/30085059/buy,3.8,51
Men Mid-Rise Cargos,Rs.2599,Rs.1065,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22838702/2023/4/20/4a70b162-4d47-425b-82a4-1cefcfdefe991681997893572MenBlueSolidCargoTrousers1.jpg",https://www.myntra.comtrousers/high+star/high-star-men-mid-rise-cargos/22838702/buy,3.8,786
Men Mid-Rise Cargos Trousers,Rs.1499,Rs.1199,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30170462/2024/7/10/04463aad-3347-40a1-8ab9-0035a9c7d9861720584542993HubberholmeMenCargosTrousers1.jpg",https://www.myntra.comtrousers/hubberholme/hubberholme-men-regular-fit-mid-rise-cargos-trousers/30170462/buy,3.4,10
Pure Cotton Cargo Trouser,Rs.3199,Rs.1247,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29872810/2024/6/1/d39d169e-7560-4a1c-9173-0f6985ef87181717245452963TheRoadsterLifestyleCoMenPureCottonCargoTrouser1.jpg",https://www.myntra.comtrousers/roadster/the-roadster-lifestyle-co-men-pure-cotton-cargo-trouser/29872810/buy,3.7,38
Oversized Cargo Pants,Rs.2599,Rs.1299,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30062679/2024/6/28/e3423f0b-6a64-46f7-8d55-e7115eb12eb41719561933132BewakoofWomenLooseFitHigh-RiseCargosTrousers1.jpg",https://www.myntra.comtrousers/bewakoof/bewakoof-women-oversized-cargo-parachute-pants/30062679/buy,3.9,14
Pure Cotton Cargo,Rs.2899,Rs.1304,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23903172/2023/8/18/b62faea0-dca5-45e6-99f7-821a21efae3a1692350318817-Mens-Overdyed-Trouser-with-Snap-button--Baggy-Pocket-2051692-1.jpg",https://www.myntra.comtrousers/roadster/the-roadster-life-co-men-mid-rise-pure-cotton-cargo-trouser/23903172/buy,4,4.1k
Pure Cotton Cargos,Rs.2899,Rs.1333,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25393048/2023/10/25/144c3afd-37cc-4d27-b113-6a2d2df1b8b11698216980075-Mens-Overdyed-Trouser-with-Snap-button--Baggy-Pocket-2116982-1.jpg",https://www.myntra.comtrousers/roadster/roadster-men-solid-pure-cotton-cargos/25393048/buy,4,4.1k
Women Parachute Fit Cargos,Rs.3399,Rs.1399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28328464/2024/3/28/b1a35f5d-dc89-4788-8958-a6a95df05bcc1711614143676-Women-High-Rise-Parachute-Fit-Cargo-Trouser-461711614143191-1.jpg",https://www.myntra.comtrousers/roadster/roadster-women-parachute-fit-high-rise-cargos/28328464/buy,4.1,335
Women Cargos Trousers,Rs.3399,Rs.1399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28328434/2024/4/1/99109529-e7c3-44dd-a3ce-74127eec998b1711967769268-Women-High-Rise-Parachute-Fit-Cargo-Trouser-1891711967768727-1.jpg",https://www.myntra.comtrousers/roadster/roadster-women-solid-parachute-fit-high-rise-cargos-trousers/28328434/buy,4.1,340
Men Cotton Cargos Trousers,Rs.2599,Rs.1399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26339564/2023/12/9/acf736db-a801-4f5a-aa09-4ee3f15c73021702104509981BeneKleedMenBeigeRelaxedTrousers1.jpg",https://www.myntra.comtrousers/bene+kleed/bene-kleed-men-relaxed-fit-cargo-trousers-with-contrast-stitch/26339564/buy,3.9,3.5k
Men Cargos Trousers,Rs.3699,Rs.1399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29099086/2024/4/22/11f92886-2732-43d4-a05d-b5c87d8438141713762510019DennisLingoMenStraightFitCargosTrousers1.jpg",https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-straight-fit-cargos-trousers/29099086/buy,3.8,141
High-Rise Denim Cargo Trousers,Rs.2999,Rs.1409,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23669300/2023/6/19/39e0e1c2-ea01-4634-ba88-4b65b0e280bf1687150897591NextOneWomenBlackSmartLooseFitHigh-RiseEasyWashTrousers1.jpg",https://www.myntra.comtrousers/next+one/next-one-women-smart-loose-fit-high-rise-easy-wash-denim-cargo-trousers/23669300/buy,4.2,74
Men Cotton Cargo Trousers,Rs.2949,Rs.1445,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28425066/2024/3/21/396e9d4c-a5bb-4c04-8b33-10764d88395e1711022492923BewakoofMenJoggersTrousers1.jpg",https://www.myntra.comtrousers/bewakoof/bewakoof-men-cotton-cargo-trousers/28425066/buy,4.3,95
Women Straight Fit Cargos,Rs.3599,Rs.1499,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28328448/2024/4/1/0b2178e7-f8d2-4c6c-9c46-b3c532ae1f321711967793718-Women-Straight-Fit-Cotton-Cargo-Trouser-2921711967793131-1.jpg",https://www.myntra.comtrousers/roadster/roadster-women-straight-fit-solid-cargos-trousers/28328448/buy,4,267
Women Straight Fit Cargos,Rs.3599,Rs.1499,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28328452/2024/3/28/ba02c37c-ece1-4d1d-af00-0cbf8175f9961711614097405-Women-Straight-Fit-Cotton-Cargo-Trouser-2121711614096748-1.jpg",https://www.myntra.comtrousers/roadster/roadster-women-straight-fit-solid-cargos-trousers/28328452/buy,4,268
Men Cotton Cargos Trousers,Rs.3398,Rs.1699,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25515224/2023/10/17/df328942-befb-41c8-a026-cf4f5ddcb6281697538947776SnitchMenBlackSmartLooseFitTrousers1.jpg",https://www.myntra.comtrousers/snitch/snitch-men-black-smart-loose-fit-cotton-cargos-trousers/25515224/buy,4.2,221
Men Cotton Cargos Trouser,Rs.2990,Rs.1943,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21814040/2023/2/2/f8cd0533-25c1-48a5-a865-e4e49afb5ec11675337445577ThePantProjectMenGreenCamouflagePrintedTailoredSlimFitWrinkl1.jpg",https://www.myntra.comtrousers/the+pant+project/the-pant-project-men-camouflage-printed-cotton-slim-fit-wrinkle-free-cargos-trouser-/21814040/buy,4.9,15
Men Slim Fit Cargos Trousers,Rs.2990,Rs.1943,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21814028/2023/2/2/0989c42c-1d32-4045-898a-42b4dfc95f771675337195296ThePantProjectMenNavyBlueTailoredSlimFitWrinkleFreeJoggersTr1.jpg",https://www.myntra.comtrousers/the+pant+project/the-pant-project-men-cotton-tailored-slim-fit-wrinkle-free-cargos-trousers/21814028/buy,3.9,14
Men Cotton Cargos Trousers,Rs.3199,Rs.2239,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23476156/2023/5/30/9a7f16b3-42e2-4d4f-9d2c-c60a4a7545e41685445692543t-baseMenKhakiCargosTrousers1.jpg",https://www.myntra.comtrousers/t-base/t-base-men-mid-rise-cotton-cargos-trousers/23476156/buy,4.2,16
Men Slim Fit Cargos Trousers,Rs.2899,Rs.579,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20449288/2022/10/31/47fe546c-8555-492d-bfd2-46ed26aef0141667199534601-The-Indian-Garage-Co-Men-Trousers-7681667199534007-1.jpg",https://www.myntra.comtrousers/the+indian+garage+co/the-indian-garage-co-men-charcoal-grey-slim-fit-cargos-trousers/20449288/buy,4,4.4k
Cargo Style Trousers,Rs.1899,Rs.699,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29760152/2024/7/10/86d3577f-7424-4c51-996f-53c47932aa631720614356986-DressBerry-Women-Trousers-2631720614356107-1.jpg",https://www.myntra.comtrousers/dressberry/dressberry-women-cargo-style-trousers/29760152/buy,3.8,13
Men Slim Fit Cargos Trousers,Rs.1949,Rs.701,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15705622/2021/10/2/1938ddc6-3cf5-4c17-b082-ae81501ed19f1633180339167HIGHLANDERMenBeigeSlimFitEasyWashCargosTrousers1.jpg",https://www.myntra.comtrousers/highlander/highlander-men-beige-slim-fit-easy-wash-cargos-trousers/15705622/buy,4,10.6k
Women Plain Baggy Fit Cargos,Rs.2299,Rs.712,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26758568/2024/1/3/2dab063d-f03b-46a4-beb6-0302a8475c361704262527029RoadsterWomenBaggyFitParachuteJoggers1.jpg",https://www.myntra.comtrousers/roadster/the-roadster-lifestyle-co-women-grey-mid-rise-plain-baggy-fit-cargos/26758568/buy,4,404
Women Baggy Parachute Trouser,Rs.2299,Rs.735,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25031082/2023/9/16/9e2b6a35-ab9b-4f81-89aa-fd2910974d171694857123433TrackPants1.jpg",https://www.myntra.comtrousers/roadster/the-roadster-lifestyle-co-women-solid-baggy-fit-parachute-trouser/25031082/buy,4,11.3k
Women Straight Fit Trousers,Rs.2199,Rs.769,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29247734/2024/4/29/18865449-ad22-4ae0-a7c2-9eeaffcc2be21714388113233SASSAFRASWomenStraightFitTrousers4.jpg",https://www.myntra.comtrousers/sassafras/sassafras-women-straight-fit-mid-rise-cotton-cargos-trousers/29247734/buy,3.9,409
Men Cargos Trousers,Rs.2599,Rs.779,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24567412/2023/8/21/dc8c86ca-14ca-4e29-b5f3-072bc658ff751692592053216UrbanoFashionMenGreyCargosTrousers1.jpg",https://www.myntra.comtrousers/urbano+fashion/urbano-fashion-men-mid-rise-cargos-trousers/24567412/buy,4.1,221
Loose Fit Cargos Trousers,Rs.1500,Rs.825,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30206724/2024/7/13/6a18810d-cda1-45b1-b230-4f8f068678d51720861669346TABADTODWomenRelaxedLooseFitEasyWashTrousers1.jpg",https://www.myntra.comtrousers/tabadtod/tabadtod-women-relaxed-loose-fit-easy-wash-cargos-trousers/30206724/buy,3,5
Boys Cotton Cargo Trousers,Rs.2199,Rs.835,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28010388/2024/3/4/6b4acae0-fb89-4e4e-9b84-835a793b1a371709530282867TrackPants1.jpg",https://www.myntra.comtrousers/yu+by+pantaloons/yu-by-pantaloons-boys-mid-rise-cotton-cargo-trousers/28010388/buy,4.5,10
Men Regular Fit Cargos,Rs.2799,Rs.867,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12919402/2021/5/7/5bd0a7df-e295-4374-9148-3d6c2ee037931620389850803-Roadster-Men-Trousers-4281620389849587-1.jpg",https://www.myntra.comtrousers/roadster/roadster-men-olive-green-regular-fit-solid-cargos/12919402/buy,4.1,1.3k
Men Cargos,Rs.2499,Rs.899,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11160544/2020/6/16/162ba82c-cc31-4a01-bddd-8891337f5b121592309008475-Roadster-Men-Trousers-7741592309005896-1.jpg",https://www.myntra.comtrousers/roadster/roadster-men-black-cargos/11160544/buy,3.9,1.3k
Men Straight Fit Trousers,Rs.3499,Rs.979,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29303790/2024/5/3/48578df8-fdb0-4875-8ea8-10cb455976f31714718841871FreeformbyHighStarMenRelaxedStraightLegStraightFitCargosTrou1.jpg",https://www.myntra.comtrousers/freeform+by+high+star/freeform-by-high-star-men-relaxed-straight-leg-straight-fit-cotton-cargos-trousers/29303790/buy,4.2,10
Women High-Rise Cargos,Rs.2299,Rs.988,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25003314/2023/9/15/ef77e942-82f7-4056-bfc1-05ab23135c681694763812700SASSAFRASWomenBlackHigh-RiseTrousers1.jpg",https://www.myntra.comtrousers/sassafras/sassafras-women-plain-flat-front-high-rise-cargos/25003314/buy,4.2,1.8k
Men Cotton Cargo Joggers,Rs.2999,Rs.989,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28949722/2024/4/16/2b5d5e35-e3e3-4e4f-ba34-0631811cd22b1713256076539ReslagMenCargosTrousers1.jpg",https://www.myntra.comtrousers/reslag/reslag-men-mid-rise-cotton-cargo-joggers/28949722/buy,4.2,95
Men Cotton Joggers Trousers,Rs.3999,Rs.999,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24561236/2023/8/19/b314bf49-f98b-4e8c-81ad-257b0cdc28a11692447617330ReslagMenSilver-TonedCargosTrousers1.jpg",https://www.myntra.comtrousers/reslag/reslag-men-mid-rise-cotton-joggers-trousers/24561236/buy,4,5.5k
Men Tapered Fit Cargos Trousers,Rs.2949,Rs.999,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17462016/2022/6/6/22c289cb-fbb4-4ed1-b0f9-ffb722a4548d1654525799824DennisLingoMenGreyTaperedFitCottonCargosTrousers1.jpg",https://www.myntra.comtrousers/dennis+lingo/dennis-lingo-men-grey-tapered-fit-cotton-cargos-trousers/17462016/buy,4,17.6k
Men Cotton Cargos,Rs.3999,Rs.999,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26821724/2024/1/8/d1777bdc-db67-4450-babb-151d0ab067bc1704682310780ReslagMenSilver-TonedCargosTrousers1.jpg",https://www.myntra.comtrousers/reslag/reslag-men-cotton-cargos-/26821724/buy,4,1.5k
