Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Men Analogue Watch,Rs.3999,Rs.1599,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13036806/2023/2/23/c74c3aed-d828-4adb-9271-8e1268d242ca1677154725672-WROGN-Men-Black-Analogue-Watch-WRG00046C-3521677154725322-3.jpg",https://www.myntra.comwatches/wrogn/wrogn-men-black-analogue-watch-wrg00046c/13036806/buy,4.4,1.4k
Poze Women Leather Watch,Rs.1675,Rs.1172,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28207570/2024/4/10/fcfc3cd2-a48c-4b42-86ac-0f4fd508604f1712739703501SonataWomenPozeDialLeatherStrapsAnalogueWatchSP80052WL02W1.jpg",https://www.myntra.comwatches/sonata/sonata-poze-women-dial--leather-straps-analogue-watch-sp80052wl02w/28207570/buy,4.7,80
Women Watch Bracelet Gift Set,Rs.4799,Rs.959,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23311542/2023/5/22/828cd616-e44f-42c6-b6ed-36da8865ae6c1684739418986PsalmWatchBraceletSet5.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-psalm-watch-bracelet-gift-set-jwbs898/23311542/buy,4.1,141
Unisex His and Her Watches,Rs.5495,Rs.1099,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29822078/2024/5/30/06c7bf70-efc0-4ffc-afa7-666d33de7ba01717057724409WhiteDialColourSilverTonedStrapColour1.jpg",https://www.myntra.comwatches/mast+%26+harbour/mast--harbour-unisex-stainless-steel-straps-analogue-his-and-her-watches-hobmhn-245pr-wh/29822078/buy,4.1,7
Women Analogue Watch,Rs.3299,Rs.1154,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2278228/2022/4/19/2451411c-8346-4b8e-b228-e60351d536161650342959173-DressBerry-Women-Mauve-Analogue-Watch-1341650342959089-7.jpg",https://www.myntra.comwatches/dressberry/dressberry-women-mauve-analogue-watch/2278228/buy,4.4,43k
Poze Women Analouge Watch,Rs.2275,Rs.1592,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28207488/2024/3/13/6a6f4508-7269-43c8-9410-19e08d0af9611710310695131SonataWomenEmbellishedDialBraceletStyleStrapsAnalogueWatchSP1.jpg",https://www.myntra.comwatches/sonata/sonata-poze-women-embellished-bracelet-style-straps-analogue-watch-sp80054kd02w/28207488/buy,4.5,92
Women Shiny Luster Love Triangle Watch Gift Set,Rs.4999,Rs.999,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15686984/2021/9/30/d4292984-bc4a-4dbd-8492-fc493a936f341632942455138ShinyLusterLoveTriangle1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-white--gold-toned-shiny-luster-love-triangle-watch-gift-set-jwlt322/15686984/buy,4.3,152
Poze Women Analouge Watch,Rs.1575,Rs.1102,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28207536/2024/4/10/59a45362-558c-41a4-93b1-4d53a44af1161712739674520SonataWomenPozeBraceletStyleStrapsAnalogueWatchSP80024WM01W1.jpg",https://www.myntra.comwatches/sonata/sonata-poze-women-bracelet-style-straps-analogue-watch-sp80024wm01w/28207536/buy,4.4,71
Watches,Rs.1295,Rs.1036,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/289662/2022/6/20/3e514892-c364-4d37-ac5e-f670e792c7281655726447992-Timex-Women-White-Analogue-Watch---B303-6531655726447771-1.jpg",https://www.myntra.comwatches/timex/timex-women-white-analogue-watch---b303/289662/buy,4.3,336
Women Watch Gift Set,Rs.7099,Rs.1277,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23802310/2023/6/29/9e9fd08a-bb96-419e-ad9f-488ccdd4650f1688015976024RosegoldChampagneLoveTriangle1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-love-triangle-watch-gift-set/23802310/buy,4.4,167
