Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Women Analogue Watch,Rs.3299,Rs.857,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2278228/2022/4/19/2451411c-8346-4b8e-b228-e60351d536161650342959173-DressBerry-Women-Mauve-Analogue-Watch-1341650342959089-7.jpg",https://www.myntra.comwatches/dressberry/dressberry-women-mauve-analogue-watch/2278228/buy,4.4,42.7k
Watch Pro 2,Rs.5999,Rs.4999,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30141373/2024/7/9/8b220f56-0313-47ab-9c7a-5aff8b22769c1720504675649-Watch-Pro-2-3131720504675576-1.jpg",https://www.myntra.comsmart-watches/cmf+by+nothing/cmf-by-nothing-watch-pro-2/30141373/buy,4.4,169
Watch & 5 Pcs Bracelet Gift,Rs.6650,Rs.2394,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30066973/2024/7/4/6d2bce87-392a-4878-9514-5b24a03ea6aa1720070042813-Daniel-Klein-Watch-With-5-Pcs-Bracelet-Gift-Set-605172007004-1.jpg",https://www.myntra.comwatch-gift-set/daniel+klein/-daniel-klein-watch-with-5-pcs-bracelet-gift-set/30066973/buy,3.7,13
Women Watch Gift Set,Rs.8896,Rs.1601,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23376594/2023/5/24/40693af9-89a7-472b-ad18-e2be9fc30f961684932874776OrionLoveStack1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-watch-gift-set-jwls561/23376594/buy,4.3,38
Women Watch Gift Set,Rs.6950,Rs.3127,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25411348/2023/10/9/72fbe833-f379-417d-8bc3-4a322784ccc41696843780028WatchGiftSet1.jpg",https://www.myntra.comwatch-gift-set/french+connection/french-connection-women-watch-gift-set-fcw04gm/25411348/buy,4.7,19
Men Analogue Watch,Rs.1695,Rs.779,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23137910/2023/6/26/bb459a9c-5994-40a2-93c2-2883c715bba21687765278261TimexMenAnalogueWatchTW00ZR3611.jpg",https://www.myntra.comwatches/timex/timex-men-analogue-watch-tw00zr361/23137910/buy,4.4,668
Women Analogue Watch,Rs.7390,Rs.3695,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7186208/2023/6/23/117bd00d-187a-4e3c-9440-7e683ebae35a1687491058782-GIORDANO-Women-Black-Analogue-Watch-A2083-44-684168749105871-11.jpg",https://www.myntra.comwatches/giordano/giordano-women-black-analogue-watch-a2083-44/7186208/buy,4.5,420
"Hive 1.39"" Display Smart Watch",Rs.6499,Rs.1699,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26542656/2024/1/4/127db599-c3fd-45fe-a72d-bd5e1c45a7511704365027576-pebble-Hive-139-HD-Octa-Display-Smart-Watch-With-BT-Calling--1.jpg",https://www.myntra.comsmart-watches/pebble/pebble-hive-139-hd-octa-display-smart-watch-with-bt-calling--diy-watch-face/26542656/buy,3.9,83
Women Analogue Watch Gift Set,Rs.6650,Rs.2499,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26245590/2024/1/18/9ebeca1b-d518-4ed6-a932-d7deae0c09c61705577837965-Daniel-Klein-Women-Stone-Studded-Bracelet--Analogue-Watch-Gi-1.jpg",https://www.myntra.comwatch-gift-set/daniel+klein/daniel-klein-women-stone-studded-bracelet--analogue-watch-gift-set/26245590/buy,4.4,31
Women Analogue Watch,Rs.14495,Rs.10146,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15149286/2023/2/23/2c07303a-2eeb-4b72-a6d1-7b0fd238f7611677148030638FossilWomenRoseGold-TonedEmbellishedAnalogueWatchBQ33771.jpg",https://www.myntra.comwatches/fossil/fossil-women-rose-gold-toned-embellished-analogue-watch-bq3377/15149286/buy,4.4,643
Watch Pro,Rs.5999,Rs.4499,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25208120/2023/9/26/0a21665f-e7f2-401a-ae47-4903cf1c5ebe1695720756900-CMF-by-Nothing-Watch-Pro-8711695720756698-1.jpg",https://www.myntra.comsmart-watches/cmf+by+nothing/cmf-by-nothing-watch-pro/25208120/buy,4.2,1.3k
