Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Boys Polo Collar Applique T-shirt,Rs.899,Rs.404,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28909728/2024/4/13/88474668-2363-48ab-8e90-5a281f81652d1712994659555AllenSollyJuniorBoysPoloCollarAppliqueT-shirt3.jpg",https://www.myntra.comtshirts/allen+solly+junior/allen-solly-junior-boys-polo-collar-applique-t-shirt/28909728/buy,4.6,74
Girls Printed Cotton T-shirt,Rs.499,Rs.399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23568902/2023/6/8/1b2031cc-7b4b-42f5-abbc-3e29c7c4c1ea1686223825530BEAWARAKidsRedPrintedV-NeckMonochromeAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/be+awara/be-awara-infant-girls-typography-printed-cotton-t-shirt/23568902/buy,4.5,942
Kids Colourblocked T-shirt,Rs.1499,Rs.599,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21807134/2023/5/17/de60bace-a1fc-4a1a-8c48-b23547af44c11684303189268MarksSpencerKidsMonochromeT-shirt1.jpg",https://www.myntra.comtshirts/marks+%26+spencer/marks--spencer-kids-monochrome-t-shirt/21807134/buy,4.2,18
Boys Polo Collar T-shirt,Rs.799,Rs.359,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29953967/2024/6/13/15283fc8-7150-4ef4-a429-5b0c8c90f65f1718271040169AllenSollyJuniorBoysPoloCollarPocketsT-shirt1.jpg",https://www.myntra.comtshirts/allen+solly+junior/allen-solly-junior-boys-self-design-polo-collar-t-shirt/29953967/buy,4.5,64
Cotton Lounge T-shirt,Rs.649,Rs.311,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28526204/2024/3/27/611250df-055a-48bf-8700-4ff5dfdc3b3d1711512160515PepeJeansMensAthleisuresolidcottonSleevelessMuscleT-shirt1.jpg",https://www.myntra.comlounge-tshirts/pepe+jeans/pepe-jeans-cotton-sleeveless-lounge-t-shirt/28526204/buy,4.1,669
Men Lightweight Lounge T-shirt,Rs.699,Rs.489,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22492582/2023/11/20/86bf98e2-9274-4255-9e57-57c94ad4cfda1700479552970USPoloAssnMenEmbroideredLogoPureCottonLightweightLoungeT-shi1.jpg",https://www.myntra.comlounge-tshirts/u.s.+polo+assn./us-polo-assn-men-embroidered-logo-pure-cotton-lightweight-lounge-t-shirt/22492582/buy,4.2,6.8k
Boys Pack Of 3 Cotton T-shirt,Rs.3897,Rs.599,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22204272/2023/5/2/e4df577a-6725-43de-bac3-3c8280c24fb61683017842296-HELLCAT-Boys-Blue-Typography-3-Printed-T-shirt-5116830178418-1.jpg",https://www.myntra.comtshirts/hellcat/hellcat-boys-pack-of-3-printed-cotton-t-shirt/22204272/buy,4.1,3.6k
Round Neck Printed T-shirt,Rs.999,Rs.209,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29981641/2024/6/17/20e51985-0089-4bde-8e45-1a8f79e887a11718628478023GoogoGaagaBoysPocketsT-shirt1.jpg",https://www.myntra.comtshirts/googo+gaaga/googo-gaaga-boys-round-neck-conversational-printed-t-shirt/29981641/buy,4,123
Women Typography Printed Pure Cotton T-shirt,Rs.799,Rs.271,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15313286/2022/3/31/16939cad-83b2-46aa-804d-be9d2de31cf31648711389296-HERENOW-Women-Black-Typography-Printed-Pure-Cotton-T-shirt-2-1.jpg",https://www.myntra.comtshirts/here%26now/herenow-women-black-typography-printed-pure-cotton-t-shirt/15313286/buy,4.3,6.5k
Printed Cotton T-shirt,Rs.1499,Rs.704,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24357700/2023/8/5/07a5b0c0-58d1-4939-aeb5-5b8bd3cf39961691231422609CrazymonkUnisexLavenderPrintedPocketsT-shirt1.jpg",https://www.myntra.comtshirts/crazymonk/crazymonk-unisex-anime-printed-oversized-t-shirt/24357700/buy,4.4,579
