Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Men Entre-2 Slim Fit T-Shirt,Rs.1499,Rs.1049,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20909216/2022/11/25/e43ca168-3aea-4af6-82e2-f79b7390ce961669347431496RARERABBITMenNavyBlueV-NeckRawEdgeSlimFitT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-entre-2-regular-fit-cotton-v-neck-t-shirt/20909216/buy,4.1,105
Men Rabbit-5 Slim Fit T-Shirt,Rs.1299,Rs.1091,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24039830/2023/7/15/968bc23f-0580-4900-ad25-b695fc0464ea1689428615225RARERABBITMenPinkSlimFitT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-rings-4-slim-fit-solid-polo-collar-t-shirt/24039830/buy,4.4,196
Men Printed Cotton T-shirt,Rs.1799,Rs.1169,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21511282/2023/12/18/84ed3262-79e0-4e51-83cf-d736aef668a31702897406562RARERABBITMenPrintedSlimFitCottonT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-jitter-printed-slim-fit-cotton-t-shirt/21511282/buy,4.3,135
Slim Fit Cotton T-Shirt,Rs.2599,Rs.1299,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/lee/lee-striped-polo-collar-slim-fit-cotton-t-shirt/24609642/buy,4.3,26
Women Solid T-Shirt,Rs.1649,Rs.1302,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30170216/2024/7/9/6784ac3a-5891-4f5e-9a72-83749b321d8c1720519007626USPoloAssnWomenWomenPoloCollarPocketsT-shirt1.jpg",https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-solid-polo-collar-cotton-t-shirt/30170216/buy,4.3,18
Women Printed Polo T-Shirt,Rs.1699,Rs.1325,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-brand-logo-printed-polo-collar-cotton-t-shirt/30386063/buy,4.6,9
Pure Cotton Slim Fit T-shirt,Rs.1599,Rs.1439,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26315924/2024/3/7/b4d19cf7-675d-4a85-8e8b-2ffccb8f008c1709812354300-Levis-Men-Tshirts-4311709812353877-1.jpg",https://www.myntra.comtshirts/levis/levis-brand-logo-printed-pure-cotton-slim-fit-t-shirt/26315924/buy,4.4,130
Men Barrie Slim Fit Polo,Rs.3499,Rs.1679,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-barrie-band-collar-slim-fit-cotton-t-shirt/23669078/buy,4,134
Men Barrie Slim Fit Polo,Rs.3499,Rs.1679,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23669078/2023/12/13/38c6b41b-2fff-42d7-837b-670f759943931702443059484RARERABBITBandCollarSlimFitCottonT-Shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-barrie-band-collar-slim-fit-cotton-t-shirt/23669078/buy,4,134
Men Divide Regular Fit Polo,Rs.3499,Rs.1714,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-divide-polo-collar-slim-fit-cotton-t-shirt/23669104/buy,4.1,1.5k
Pure Cotton T-shirt,Rs.599,Rs.173,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/roadster/the-roadster-lifestyle-co-pure-cotton-t-shirt/2312468/buy,4,41.2k
