Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Women Solid Sweatshirt,Rs.1299,Rs.454,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/5829327/2018/9/6/24a5803c-8f86-456d-b534-dbc443642abc1536218261331-Roadster-Women-Sweatshirts-9281536218261057-1.jpg",https://www.myntra.comsweatshirts/roadster/roadster-women-coral-pink-solid-hooded-sweatshirt/5829327/buy,4.2,72.9k
Men Hooded Sweatshirt,Rs.1599,Rs.319,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24016812/2023/7/24/a8bdd3d7-a1a2-44b9-be0c-06e4fe6bb5071690193525697-Kook-N-Keech-Men-Sweatshirts-1361690193525385-1.jpg",https://www.myntra.comsweatshirts/kook+n+keech/kook-n-keech-men-solid-hooded-sweatshirt/24016812/buy,4.3,4.3k
Hooded Sweatshirt,Rs.1999,Rs.1399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31199263/2024/10/21/f393d3e1-d830-42d6-b5c5-d749a42754701729490046442-Womens-Melange-Blue-Jacket-Inside-Cozy-Black--White-Full-Fur-1.jpg",https://www.myntra.comsweatshirts/adbucks/adbucks-solid-hooded-sweatshirt/31199263/buy,4,41
Solid Hooded Sweatshirt,Rs.1499,Rs.709,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11955498/2020/11/25/1df72f70-4780-49f2-bf50-45342feaa2da1606277364763-Roadster-Men-Sweatshirts-6891606277363343-1.jpg",https://www.myntra.comsweatshirts/roadster/roadster-men-green-solid-hooded-sweatshirt/11955498/buy,4,153
Unisex Kids Printed Sweatshirt,Rs.1999,Rs.599,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/5/AaVbT9Tc_26d51c7af8634e84ae60e985e76fe262.jpg",https://www.myntra.comsweatshirts/tabadtod/tabadtod-unisex-kids-typography-printed-dry-fit-hooded-sweatshirt/30832769/buy,2.8,38
Kids Cotton Sweatshirt,Rs.899,Rs.499,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26291546/2023/12/7/001893ee-fc1f-4d1f-a458-f2360a50478e1701929300135arielUnisexKidsBluePrintedHoodedSweatshirt1.jpg",https://www.myntra.comsweatshirts/ariel/ariel-kids-graphic-printed-hooded-cotton-sweatshirt/26291546/buy,4.2,210
Relaxed Fit Hooded Sweatshirt,Rs.1499,Rs.554,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29704466/2024/11/23/fa4af3f8-cbfd-4b76-80ea-07860e26bae71732362702638-Roadster-Men-Sweatshirts-4891732362702084-1.jpg",https://www.myntra.comsweatshirts/roadster/the-roadster-lifestyle-co-relaxed-fit-printed-hooded-sweatshirt/29704466/buy,4.2,5
Women Hooded Top,Rs.1299,Rs.1169,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/12/31/368872ee-f566-4b1e-862e-126fc290e2d61577743600977-1.jpg",https://www.myntra.comsweatshirts/h%26m/hm-women-black-hooded-top/11257750/buy,4.4,4.1k
Women Solid Sweatshirt,Rs.1499,Rs.644,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2163822/2017/12/4/11512371395914-Roadster-Women-Grey-Solid-Hooded-Sweatshirt-7181512371395777-1.jpg",https://www.myntra.comsweatshirts/roadster/roadster-women-grey-solid-hooded-sweatshirt/2163822/buy,4.2,1.7k
Women Solid Sweatshirt,Rs.1799,Rs.611,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9478071/2019/9/23/9b781820-fd85-4a9c-9ef8-1f7819eb3b921569216559360-Roadster-Women-Red-Solid-Hooded-Sweatshirt-5121569216557897-1.jpg",https://www.myntra.comsweatshirts/roadster/the-roadster-lifestyle-co-women-red-solid-hooded-sweatshirt/9478071/buy,4.1,2.9k
Loose Fit Hoodie,Rs.1499,Rs.1349,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/4/vF5Pomni_51899f4bf83b45aaa089fa9fc2540790.jpg",https://www.myntra.comsweatshirts/h%26m/hm-men-loose-fit-hoodie/31213776/buy,4.1,151
Unisex Kids Printed Sweatshirt,Rs.1999,Rs.499,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/5/zfeERY0f_b461dc6f6f894f168a29f5e86a936914.jpg",https://www.myntra.comsweatshirts/tabadtod/tabadtod-unisex-kids-graphic-printed-dry-fit-hooded-sweatshirt/30832790/buy,2.8,94
Women Sweatshirt,Rs.1249,Rs.312,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16100946/2024/10/25/f0017eda-26be-424e-b5b6-01512a5236ce1729856876621-Tokyo-Talkies-Women-Black-Hooded-Sweatshirt-2701729856876192-1.jpg",https://www.myntra.comsweatshirts/tokyo+talkies/tokyo-talkies-women-black-hooded-sweatshirt/16100946/buy,4.2,2.2k
Printed Hoodie,Rs.1499,Rs.1349,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/12/QthR4oev_2ed518a878924ba492195018ea9224c4.jpg",https://www.myntra.comsweatshirts/h%26m/-hm-printed-hoodie/31605146/buy,4.5,59
Girls Hooded Sweatshirt,Rs.1899,Rs.493,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22824456/2023/8/14/2396f251-f081-45ca-8e6c-ae7aec5389501692010472468-HERENOW-Girls-Sweatshirts-6831692010472096-1.jpg",https://www.myntra.comsweatshirts/here%26now/herenow-girls-printed-hooded-pure-cotton-sweatshirt/22824456/buy,4.2,148
Colourblocked Sweatshirt,Rs.1699,Rs.611,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29705330/2024/11/23/d6475c9b-67de-4e0b-b1be-5535b682a7fa1732354868440-Roadster-The-Lifestyle-Co-Colourblocked-Hooded-Sweatshirt-88-1.jpg",https://www.myntra.comsweatshirts/roadster/roadster-the-lifestyle-co-colourblocked-hooded-sweatshirt/29705330/buy,4.1,27
Boys  Printed Sweatshirt,Rs.1639,Rs.393,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24685896/2023/10/17/72e6dd66-2790-408a-a185-b7fcb5cc41451697519591234-BUMZEE-Boys-Graphic-Printed-Hooded-Cotton-Sweatshirt-7001697-1.jpg",https://www.myntra.comsweatshirts/bumzee/bumzee-boys-graphic-printed-hooded-cotton-sweatshirt/24685896/buy,4.2,53
Women Hooded Sweatshirt,Rs.1499,Rs.269,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20503502/2024/10/25/cea864a7-f18f-4f67-ab23-21363aadc8651729857141625-Tokyo-Talkies-Women-Grey-Hooded-Sweatshirt-7071729857141011-1.jpg",https://www.myntra.comsweatshirts/tokyo+talkies/tokyo-talkies-women-grey-hooded-sweatshirt/20503502/buy,4.2,2.6k
