,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL,Product URL
0,No title found,No MRP found,No discounted price found,No rating found,No rating count found,https://m.media-amazon.com/images/G/01/Amazon_Music_Merch/2024_Campaigns/Sparkles/030824_USEN_ArtistMerch_Sparkle_D_LukeBryan_2000x200.jpg,No URL found
1,No title found,No MRP found,No discounted price found,No rating found,No rating count found,No image found,No URL found
2,"Amazon Essentials Women's Classic-Fit Short-Sleeve Scoop Neck T-Shirt (Available in Plus Size), Pack of 2",No MRP found,$21.80,4.4 out of 5 stars,"5,901",https://m.media-amazon.com/images/I/810ohhuDMqL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5NjgwMDQ1NDU1MjI4NzY6MTcyNTIxNDE1MzpzcF9hdGY6MjAwMDI3MTY1MTI3NzIxOjowOjo&url=%2FAmazon-Essentials-Classic-Fit-Short-Sleeve-Scoopneck%2Fdp%2FB07YLDMZ9Q%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.mvcqarphNb1SG7vyqdxLCxRbNCcfekdq3dwDQ3AHGqGT5gbZOODCFLucjYsnJZDzeycBR7xHLeQ938K1yIz4pddS1BYnsKwUsdjfXHypA4cRf14spB7CRKwqYhnX7xKwOFp7BfIujmkRvuvjakaLX4JEZkDuJsjbILkGQcgKouCfykPqtKQguBSxt6yuBVUoz4KHr9iLUcvMu6V478zowSGaO1sMeHSZjSxD_gTWX_oTG1RbD4rN8Pga2Nk3NXphVBIjRFofWBBuTLv_BZ1KE6n-p8FxkyxnR3gwMrAFSRs.8hHZC95AGj2jWYohbwovtTv1ZYpniNz0mXIXR24HJN4%26dib_tag%3Dse%26keywords%3DT-shirt%26qid%3D1725214153%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,BINTEHGS Oversized Grunge Vintage t Shirts for Women Short Sleeve Cotton Casual Baggy Tees Teens Trendy Crew Neck Loose Tops,$27.99,$19.79,4.3 out of 5 stars,607,https://m.media-amazon.com/images/I/710qfP6fPyL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5NjgwMDQ1NDU1MjI4NzY6MTcyNTIxNDE1MzpzcF9hdGY6MzAwMDM2OTEyOTU4MTAyOjowOjo&url=%2FBINTEHGS-Oversized-Grunge-Vintage-Tops%25EF%25BC%2588Coffee%2Fdp%2FB0BS6F7SHY%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.mvcqarphNb1SG7vyqdxLCxRbNCcfekdq3dwDQ3AHGqGT5gbZOODCFLucjYsnJZDzeycBR7xHLeQ938K1yIz4pddS1BYnsKwUsdjfXHypA4cRf14spB7CRKwqYhnX7xKwOFp7BfIujmkRvuvjakaLX4JEZkDuJsjbILkGQcgKouCfykPqtKQguBSxt6yuBVUoz4KHr9iLUcvMu6V478zowSGaO1sMeHSZjSxD_gTWX_oTG1RbD4rN8Pga2Nk3NXphVBIjRFofWBBuTLv_BZ1KE6n-p8FxkyxnR3gwMrAFSRs.8hHZC95AGj2jWYohbwovtTv1ZYpniNz0mXIXR24HJN4%26dib_tag%3Dse%26keywords%3DT-shirt%26qid%3D1725214153%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
4,Abardsion Women's Casual Basic Going Out Crop Tops Slim Fit Short Sleeve Crew Neck Tight T Shirts,$23.99,$14.99,4.3 out of 5 stars,"3,915",https://m.media-amazon.com/images/I/51mzmsI+zlL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5NjgwMDQ1NDU1MjI4NzY6MTcyNTIxNDE1MzpzcF9hdGY6MzAwMTgxMTc3MDMwNTAyOjowOjo&url=%2FWomens-Casual-Basic-Sleeve-Shirts%2Fdp%2FB0BWRHPVBM%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.mvcqarphNb1SG7vyqdxLCxRbNCcfekdq3dwDQ3AHGqGT5gbZOODCFLucjYsnJZDzeycBR7xHLeQ938K1yIz4pddS1BYnsKwUsdjfXHypA4cRf14spB7CRKwqYhnX7xKwOFp7BfIujmkRvuvjakaLX4JEZkDuJsjbILkGQcgKouCfykPqtKQguBSxt6yuBVUoz4KHr9iLUcvMu6V478zowSGaO1sMeHSZjSxD_gTWX_oTG1RbD4rN8Pga2Nk3NXphVBIjRFofWBBuTLv_BZ1KE6n-p8FxkyxnR3gwMrAFSRs.8hHZC95AGj2jWYohbwovtTv1ZYpniNz0mXIXR24HJN4%26dib_tag%3Dse%26keywords%3DT-shirt%26qid%3D1725214153%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
5,Sherosa Womens T Shirts Short Sleeve Crew Neck Shirts Basic Tee Tops Blouse,$33.99,$19.99,4.3 out of 5 stars,"1,375",https://m.media-amazon.com/images/I/71-pY06IvQL._AC_UL320_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo5NjgwMDQ1NDU1MjI4NzY6MTcyNTIxNDE1MzpzcF9hdGY6MzAwMTIzOTU4Nzk2OTAyOjowOjo&url=%2FSherosa-Womens-T-Shirts-Sleeve-Crewneck%2Fdp%2FB09PQQHJY7%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.mvcqarphNb1SG7vyqdxLCxRbNCcfekdq3dwDQ3AHGqGT5gbZOODCFLucjYsnJZDzeycBR7xHLeQ938K1yIz4pddS1BYnsKwUsdjfXHypA4cRf14spB7CRKwqYhnX7xKwOFp7BfIujmkRvuvjakaLX4JEZkDuJsjbILkGQcgKouCfykPqtKQguBSxt6yuBVUoz4KHr9iLUcvMu6V478zowSGaO1sMeHSZjSxD_gTWX_oTG1RbD4rN8Pga2Nk3NXphVBIjRFofWBBuTLv_BZ1KE6n-p8FxkyxnR3gwMrAFSRs.8hHZC95AGj2jWYohbwovtTv1ZYpniNz0mXIXR24HJN4%26dib_tag%3Dse%26keywords%3DT-shirt%26qid%3D1725214153%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
6,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",No MRP found,$21.97,4.6 out of 5 stars,"295,668",https://m.media-amazon.com/images/I/51wDsZxtTLL._AC_UL320_.jpg,https://www.amazon.com/Gildan-T-Shirt-Multipack-Black-Large/dp/B07JDFPQTC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mvcqarphNb1SG7vyqdxLCxRbNCcfekdq3dwDQ3AHGqGT5gbZOODCFLucjYsnJZDzeycBR7xHLeQ938K1yIz4pddS1BYnsKwUsdjfXHypA4cRf14spB7CRKwqYhnX7xKwOFp7BfIujmkRvuvjakaLX4JEZkDuJsjbILkGQcgKouCfykPqtKQguBSxt6yuBVUoz4KHr9iLUcvMu6V478zowSGaO1sMeHSZjSxD_gTWX_oTG1RbD4rN8Pga2Nk3NXphVBIjRFofWBBuTLv_BZ1KE6n-p8FxkyxnR3gwMrAFSRs.8hHZC95AGj2jWYohbwovtTv1ZYpniNz0mXIXR24HJN4&dib_tag=se&keywords=T-shirt&qid=1725214153&sr=8-5
7,"Hanes Men's T-Shirt, Beefy-T Heavyweight Cotton Crewneck Tee, 1 or 2 Pack, Available in Tall Sizes",No MRP found,No discounted price found,4.5 out of 5 stars,"64,790",https://m.media-amazon.com/images/I/71zRMNf2uvL._AC_UL320_.jpg,https://www.amazon.com/Hanes-Short-Sleeve-Beefy-T-Shirt-Black/dp/B00NOY3JOS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.mvcqarphNb1SG7vyqdxLCxRbNCcfekdq3dwDQ3AHGqGT5gbZOODCFLucjYsnJZDzeycBR7xHLeQ938K1yIz4pddS1BYnsKwUsdjfXHypA4cRf14spB7CRKwqYhnX7xKwOFp7BfIujmkRvuvjakaLX4JEZkDuJsjbILkGQcgKouCfykPqtKQguBSxt6yuBVUoz4KHr9iLUcvMu6V478zowSGaO1sMeHSZjSxD_gTWX_oTG1RbD4rN8Pga2Nk3NXphVBIjRFofWBBuTLv_BZ1KE6n-p8FxkyxnR3gwMrAFSRs.8hHZC95AGj2jWYohbwovtTv1ZYpniNz0mXIXR24HJN4&dib_tag=se&keywords=T-shirt&qid=1725214153&sr=8-6
8,"Hanes Men's Pocket Undershirt Pack, Cotton Crew Neck T-Shirt, Moisture Wicking Tee, Assorted 6-Pack",No MRP found,$21.98,4.4 out of 5 stars,"26,273",https://m.media-amazon.com/images/I/61NxWlAdrpL._AC_UL320_.jpg,https://www.amazon.com/Hanes-Comfortsoft-Tagless-Underwear-Assorted/dp/B086KXNGKY/ref=sr_1_7?dib=eyJ2IjoiMSJ9.mvcqarphNb1SG7vyqdxLCxRbNCcfekdq3dwDQ3AHGqGT5gbZOODCFLucjYsnJZDzeycBR7xHLeQ938K1yIz4pddS1BYnsKwUsdjfXHypA4cRf14spB7CRKwqYhnX7xKwOFp7BfIujmkRvuvjakaLX4JEZkDuJsjbILkGQcgKouCfykPqtKQguBSxt6yuBVUoz4KHr9iLUcvMu6V478zowSGaO1sMeHSZjSxD_gTWX_oTG1RbD4rN8Pga2Nk3NXphVBIjRFofWBBuTLv_BZ1KE6n-p8FxkyxnR3gwMrAFSRs.8hHZC95AGj2jWYohbwovtTv1ZYpniNz0mXIXR24HJN4&dib_tag=se&keywords=T-shirt&qid=1725214153&sr=8-7
9,INTO THE AM Mens T Shirt with Logo - Short Sleeve Crew Neck Soft Fitted Tees S - 4XL Fresh Classic Basic Tshirts,No MRP found,$24.95,4.5 out of 5 stars,"24,827",https://m.media-amazon.com/images/I/71gbFNdPsML._AC_UL640_QL65_.jpg,https://www.amazon.comhttps://aax-us-iad.amazon.com/x/c/JDY8Nme8m2m0T_xdoVMbVoYAAAGRrsbcLAEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDIh67F/https://www.amazon.com/INTO-AM-Short-Sleeve-T-Shirt/dp/B083JPBQ2L/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c%3Aamzn1.sym.5cde1a09-4942-4242-87c5-e66d2d3b6a3c&cv_ct_cx=T-shirt&dib=eyJ2IjoiMSJ9.J5MTUssT1XNHQFVlOvwi-Q.Dw-4h3J-_SwRmauiRpviQuaY2Y8QkPvU7RTKdoGIPFQ&dib_tag=se&keywords=T-shirt&pd_rd_i=B083JPBQ2L&pd_rd_r=c6c9305e-3f30-4801-b3a3-f7291eecaa8c&pd_rd_w=pyR6g&pd_rd_wg=SvBXD&pf_rd_p=5cde1a09-4942-4242-87c5-e66d2d3b6a3c&pf_rd_r=HVYK6Q7SAK1M4K2Y3S5K&qid=1725214153&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776
