,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
20,AUTOMET Shirts for Women Summer Spring Tops Short Sleeve Oversized T Shirts Fashion Basic Casual Tee Clothes 2024 Trendy,"INR 1,257.20","INR 1,005.59",4.4,"1,729",https://m.media-amazon.com/images/I/71Q02L8gVYL._AC_UL320_.jpg
26,"Champion Men'S Muscle T-Shirt, Sleeveless, Muscle Tank, Classic Muscle Tee Top For Men (Reg. Or Big & Tall)","INR 1,677.38","INR 1,006.43",4.5,"21,948",https://m.media-amazon.com/images/I/71vXb8bYUwL._AC_UL320_.jpg
5,"Hanes Men’s T-Shirt Pack, Cool Dri Moisture-wicking Performance Tee, Performance Athletic T-Shirt, 2-pack","INR 2,348.33","INR 1,006.43",4.4,"18,524",https://m.media-amazon.com/images/I/61hxkBvj2fL._AC_UL320_.jpg
25,"Gildan Women's Heavy Cotton V-Neck T-Shirt, 2-Pack","INR 1,131.39","INR 1,012.30",4.2,"8,464",https://m.media-amazon.com/images/I/71lsnhajKoL._AC_UL320_.jpg
23,AUTOMET Womens Tops Casual Dressy Basic T Shirts Loose Fit Crewneck Cap Sleeve Tee Summer Outfits 2024,"INR 1,508.80","INR 1,257.20",4.4,673,https://m.media-amazon.com/images/I/71w37pvtncL._AC_UL320_.jpg
31,ANRABESS Women's Oversized T Shirts Short Sleeve Crewneck Summer Tops Casual Loose Basic Tee Shirts 2024 Trendy Clothes,"INR 1,676.54","INR 1,257.20",4.2,"1,472",https://m.media-amazon.com/images/I/71fbe+ghZ6L._AC_UL320_.jpg
28,"Champion Men'S Tshirt, Sport Tee, Moisture Wicking, Anti Odor, Athletic T-Shirt For Men Reg. Or Big & Tall","INR 2,096.72","INR 1,258.04",4.5,"1,150",https://m.media-amazon.com/images/I/51UYDsogA0L._AC_UL320_.jpg
41,"Champion Men'S Tshirt, Sport Tee, Moisture Wicking, Anti Odor, Athletic T-Shirt For Men Reg. Or Big & Tall","INR 2,096.72","INR 1,258.04",4.5,"1,150",https://m.media-amazon.com/images/I/51UYDsogA0L._AC_UL320_.jpg
16,Women's Vintage Floral T Shirt Boho Wildflower Graphic Loose Tees Short Sleeve Casual Tops,"INR 1,760.41","INR 1,341.07",4.4,398,https://m.media-amazon.com/images/I/81kZaGI4KmL._AC_UL320_.jpg
27,"Champion Men'S Tshirt, Classic Long Sleeve Tshirt Comfortable, Soft T-Shirt For Men Reg. Or Big & Tall","INR 2,516.07","INR 1,367.06",4.6,"25,903",https://m.media-amazon.com/images/I/71fyUmYrkhL._AC_UL320_.jpg
6,Lucky Brand Mens Venice Burnout Vee Neck Tee,"INR 2,474.14","INR 1,438.35",4.5,"5,204",https://m.media-amazon.com/images/I/81JQn+bjwHL._AC_UL320_.jpg
17,Dickies Men's Short Sleeve Performance Cooling Tee,"INR 1,928.15","INR 1,525.58",4.5,"8,369",https://m.media-amazon.com/images/I/51lVnbraCsS._AC_UL320_.jpg
44,BINTEHGS Oversized Grunge Vintage t Shirts for Women Short Sleeve Cotton Casual Baggy Tees Teens Trendy Crew Neck Loose Tops,"INR 2,347.49","INR 1,659.77",4.3,607,https://m.media-amazon.com/images/I/710qfP6fPyL._AC_UL320_.jpg
47,GAP Men's Crew Neck T-Shirt (3-Pack),"INR 3,102.31","INR 1,886.21",4.3,215,https://m.media-amazon.com/images/I/51XBt-MdzwL._AC_UL320_.jpg
37,COOFANDY Men's Casual Henley Shirt Short Sleeve Band Collar Linen Shirt Summer Beach Hippie T-Shirts,"INR 2,766.84","INR 2,515.23",4.0,443,https://m.media-amazon.com/images/I/81aos5p7lxL._AC_UL320_.jpg
2,Men's Long Sleeve Merino Wool T-Shirt | Thermal Base Layer for Cold | Lightweight Underwear + Laundry Bag,"INR 3,270.05","INR 3,102.31",4.1,7,https://m.media-amazon.com/images/I/71sxsp2eyPL._AC_UL320_.jpg
24,GAP Men's Everyday Soft Crewneck T-Shirt Tee,"INR 1,676.54",INR 503.21,4.5,"1,161",https://m.media-amazon.com/images/I/61B4x2vWz-L._AC_UL320_.jpg
18,"Russell Athletic Men's Dri-Power Cotton Blend Short Sleeve Tees, Moisture Wicking, Odor Protection, UPF 30+, Sizes S-4x",INR 921.72,INR 707.85,4.4,"1,591",https://m.media-amazon.com/images/I/71r5LBxyPiL._AC_UL320_.jpg
40,"Hanes Women's Perfect-t V-neck T-shirt, Ring-spun Cotton Short Sleeve Tee for Women","INR 1,174.17",INR 738.89,4.2,"18,008",https://m.media-amazon.com/images/I/511dmUbNxoL._AC_UL320_.jpg
10,"Fruit of the Loom Recover Cotton T-Shirt Made with Sustainable, Low Impact Recycled Fiber","INR 1,258.04",INR 754.82,4.6,333,https://m.media-amazon.com/images/I/71Ewn4+xp1L._AC_UL320_.jpg
13,AUTOMET Womens Long Sleeve Round Neck Shirts Basic Tee Fall Tops Outfits Clothes 2024,"INR 2,263.62",INR 837.85,4.3,"5,349",https://m.media-amazon.com/images/I/71wWjUx8zdL._AC_UL320_.jpg
7,Just My Size Women's Plus-Size Short Sleeve V-Neck Tee,"INR 1,006.43",INR 838.69,4.1,"25,495",https://m.media-amazon.com/images/I/71R5dI3yZ6L._AC_UL320_.jpg
42,"Comfort Colors Adult Short Sleeve Pocket Tee, Style G6030","INR 1,257.20",INR 868.04,4.5,"7,531",https://m.media-amazon.com/images/I/61DJX+ggI0L._AC_UL320_.jpg
12,"Gildan Unisex-Adult Ultra Cotton T-Shirt With Pocket, Style G2300, 2-Pack","INR 1,213.58",INR 903.27,4.5,"9,976",https://m.media-amazon.com/images/I/71Yn2wh2E0L._AC_UL320_.jpg
