Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Women Colourblocked Sneakers,Rs.5099,Rs.1019,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23004440/2023/5/4/f75e22f8-761e-414c-b3bb-3a32710e24661683184857973RedTapeWomenWhiteColourblockedPUSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-women-colourblocked-sneakers/23004440/buy,4.5,1.2k
Pointed Toe Kitten Pumps,Rs.1995,Rs.1037,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27051504/2024/1/19/459e7cf1-0a5d-4752-93ac-88f399ee85dc1705660942334JMLooksBlackKittenPumpswithBows1.jpg",https://www.myntra.comheels/jm+looks/jm-looks-pointed-toe-kitten-pumps/27051504/buy,4,173
Men Walking Shoes,Rs.3999,Rs.1039,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27949690/2024/2/29/c557bb13-19e7-497d-8e27-2f48061963071709206383874SportsShoes1.jpg",https://www.myntra.comsports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-textile-walking-shoes/27949690/buy,3.9,31
Men Round Toe Slip On Loafers,Rs.3795,Rs.1099,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28489280/2024/3/23/2869a5d9-b37f-4ecd-bbaf-70bbc0738e721711190266084InvictusMenBlackFauxLeatherFormalSlipOnLoafers1.jpg",https://www.myntra.comformal-shoes/invictus/invictus-men-round-toe-faux-leather-formal-slip-on-loafers/28489280/buy,4.4,57
Bow Detailed Stiletto Heels,Rs.2999,Rs.1099,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29503372/2024/5/14/9d285f64-bbd1-46aa-b2a0-ae48982dd5071715672537115DressBerryPartyBlockMules6.jpg",https://www.myntra.comheels/dressberry/dressberry-cream-coloured-bow-detailed-stiletto-heels--/29503372/buy,3.6,335
Women Running Shoes,Rs.1899,Rs.1101,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16807286/2022/7/21/18fc967b-8b82-4cae-a8d7-685593052e4e1658381288430-Campus-Women-Off-White-Mesh-Running-Shoes-5541658381288133-1.jpg",https://www.myntra.comsports-shoes/campus/campus-women-off-white-mesh-running-shoes/16807286/buy,4.3,1.9k
Men Club Culture White Sneaker,Rs.4799,Rs.1103,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/kM4tgghY_4cda431fa34e42a085aa3c9b43ae9e93.jpg",https://www.myntra.comcasual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-club-culture-white-sneakers/30448308/buy,4.2,5
Women Mesh Running Shoes,Rs.1699,Rs.1104,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22022796/2023/9/21/47b99718-3f97-4a70-a1f5-2e0171a0cd141695287826796-Campus-Women-GABBIE-Mesh-Running-Shoes-1741695287826688-6.jpg",https://www.myntra.comsports-shoes/campus/campus-women-gabbie-mesh-running-shoes/22022796/buy,4.4,150
Women Running Shoes,Rs.3999,Rs.1119,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30032630/2024/6/24/0d7a0c0a-d98a-4cb6-8dfa-118b453506171719251151247WomenOnionPinkSportsRunningShoes1.jpg",https://www.myntra.comsports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-mesh-running-non-marking-shoes/30032630/buy,4.3,75
Men Running Shoes,Rs.1699,Rs.1119,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14336932/2023/9/14/e6cd795e-e1a8-40e0-b991-4cc1a71606551694673097536-Campus-Men-Navy-Blue-Running-Shoes-9601694673097229-1.jpg",https://www.myntra.comsports-shoes/campus/campus-men-navy-blue-running-shoes/14336932/buy,4.2,6.2k
Women Mesh Running Shoes,Rs.3999,Rs.1119,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28136778/2024/3/8/f9ebb0ad-dfe2-46af-b84f-50d60a5f98eb1709897517415HRXwomenLaceupRunningshoesOnionPink1.jpg",https://www.myntra.comsports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-mesh-running-shoes/28136778/buy,4,222
Men Gamescape Sneakers,Rs.4799,Rs.1119,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11261260/2023/4/21/94449955-d381-4728-b7fa-7be37754af211682057777632-HRX-by-Hrithik-Roshan-Men-Black-Gamescape-Sneakers-855168205-1.jpg",https://www.myntra.comcasual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-gamescape-sneakers/11261260/buy,3.8,742
Women Colourblocked Sneakers,Rs.5699,Rs.1139,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24592640/2023/8/22/cae1fcc3-dd64-4a22-9149-2319259d2b061692705475268RedTapeWomenWhiteColourblockedPUSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-women-colourblocked-lace-up-sneakers/24592640/buy,4.4,2.9k
Men Colourblock Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22242024/2023/7/11/1cf68e04-747e-4a33-8167-69eceeffa0a81689077143309-WROGN-Men-Colourblocked--Woven-Design-Running-Shoes-74116890-7.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked--woven-design-running-shoes/22242024/buy,4.2,143
