Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Men Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241876/2023/9/21/f5bb5c18-6233-47db-8479-be5205a3fea81695294768389WROGNMenColourblockedRunningShoes1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked-running-shoes/22241876/buy,3.8,141
Kids Velcro School Shoes,Rs.799,Rs.623,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26219086/2023/12/4/b90e3edc-c0d7-4605-919a-af4497e0c3ca1701686292094LibertyUnisexKidsBlackTexturedSneakers1.jpg",https://www.myntra.comcasual-shoes/liberty/liberty-kids-velcro-school-shoes-/26219086/buy,4.3,1.5k
Kids Velcro School Shoes,Rs.799,Rs.623,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26219078/2023/12/4/24990c62-5bb9-4ccf-93c4-13383018b6ee1701666048129LibertyUnisexKidsWhiteTexturedSneakers1.jpg",https://www.myntra.comcasual-shoes/liberty/liberty-kids-velcro-school-shoes-/26219078/buy,4.3,1.5k
Men Walking Shoes,Rs.6499,Rs.1624,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29996643/2024/6/19/4e36366f-1820-47b5-9558-2767bac4b9941718801552326RedTapeMenMeshRunningNon-MarkingShoes1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-men-walking-shoes/29996643/buy,4.4,1.2k
Women Mesh Running Shoes,Rs.1099,Rs.824,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24371340/2023/8/7/08f6f7d4-f467-4c21-86cb-95f3c7d55f021691382984780SparxWomenSportsShoes1.jpg",https://www.myntra.comsports-shoes/sparx/sparx-women-mesh-running-shoes/24371340/buy,4.5,66
Men Running Shoes,Rs.3499,Rs.1224,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241878/2023/9/21/d13ac513-d215-4e7a-b792-5ccfecffae791695294772983WROGNMenColourblockedRunningShoes1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked-running-shoes/22241878/buy,3.8,141
Women Walking Shoes,Rs.5999,Rs.1199,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19321098/2022/7/30/913a43c9-6ede-4da1-ad71-ba9bc390ec571659203636913SportsShoes1.jpg",https://www.myntra.comsports-shoes/red+tape/redtape-women-black-walking-shoes/19321098/buy,4.4,1.4k
Women Walking Shoes,Rs.6599,Rs.1319,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24781728/2023/9/2/0137c352-6f0b-428d-9eb1-b0682cc54acb1693658782714RedTapeCasualSneakerShoesForWomenWhereFashionMeetsComfort1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-women-walking-shoes/24781728/buy,4.5,315
Women Textured Running Shoes,Rs.5099,Rs.764,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22103494/2023/7/12/8994f13e-4129-4c66-8aae-6734520753e21689166226672-DressBerry-Women-Textured-Running-Shoes-1211689166226268-1.jpg",https://www.myntra.comsports-shoes/dressberry/dressberry-women-textured-running-shoes/22103494/buy,4.1,49
Women Square Toe Block heels,Rs.1998,Rs.799,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20468800/2022/10/20/0edbdd7c-5a6c-4ccd-a5d6-bf5a41105b7d1666216791813TokyoTalkiesWhiteStripedBlockPumps1.jpg",https://www.myntra.comheels/tokyo+talkies/tokyo-talkies-women-white-square-toe-block-heels-/20468800/buy,4,1.9k
Men 520 Running Shoes,Rs.4999,Rs.2749,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29534344/2024/5/30/76260728-d3d0-427d-bb37-6eb30d1cd0241717062037868-New-Balance-520-Running-Shoes-3931717062037519-1.jpg",https://www.myntra.comsports-shoes/new+balance/new-balance-men-woven-design-520-running-shoes/29534344/buy,3.8,28
Men Formal Slip-On Shoes,Rs.2770,Rs.747,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27527014/2024/2/12/d1d9d7aa-f847-4363-b4e8-5f970effc0f11707714563049HERENOWMenFormalShoes1.jpg",https://www.myntra.comformal-shoes/here%26now/herenow-men-formal-slip-on-shoes/27527014/buy,3.1,240
Women Embellished Ballerinas,Rs.1199,Rs.803,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22225268/2023/3/4/39def1e3-4878-4ced-8933-8cd96c48cf411677930177217ForeverGlambyPantaloonsWomenOliveGreenBallerinasFlats1.jpg",https://www.myntra.comflats/forever+glam+by+pantaloons/forever-glam-by-pantaloons-women-square-toe-embellished-ballerinas/22225268/buy,3.9,136
Men Memory Foam Running Shoes,Rs.2999,Rs.929,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23484790/2023/5/31/14fc49d0-6ce3-4410-9e8c-147f57c539d91685518426707HRXbyHrithikRoshanMenWhiteMeshRunningNon-MarkingShoes1.jpg",https://www.myntra.comsports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-white-and-blue-memory-foam-technology-running-shoes/23484790/buy,4.2,35k
Men Mesh Walking Shoes,Rs.6699,Rs.1674,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28464428/2024/3/23/51597c05-cc1e-4e92-87c1-ffbde5a17e231711191813949SportsShoes1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-flow--men-mesh-walking-shoes/28464428/buy,4.3,670
Men Slip Resistant Sneakers,Rs.5399,Rs.1349,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23869882/2023/7/4/bf58b931-1da6-467b-a3e5-133d1118dbcd1688469529787RedTapeMenWhiteWovenDesignSneakers1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-men-perforated-slip-resistant-lace-up-sneakers/23869882/buy,4.4,16.7k
