,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
8,"ASUS Vivobook S 15 Laptop; Copilot+ PC, 15.6” 3K 120Hz OLED Display, Qualcomm Snapdragon X Elite X1E-78-100 12-Core Processor, 16GB RAM, 1TB SSD, Windows 11 Home, Cool Silver, S5507QAD-PS96","$1,299.99","$1,019.99",4.0,101,https://m.media-amazon.com/images/I/71oaZyun9jL._AC_UY218_.jpg
18,"MSI Creator M14 14” 2.8K Display Creator Laptop: Intel Core i7-13620H, NVIDIA Geforce RTX 4050, 16GB DDR5, 1TB NVMe SSD, Cooler Boost, Win 11: Black A13VE-083US",$21.25,"$1,199.99",4.4,72,https://m.media-amazon.com/images/I/71FeeN65YcL._AC_UY218_.jpg
35,"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",$158.89,$151.00,3.7,678,https://m.media-amazon.com/images/I/71bphKmt0DL._AC_UY218_.jpg
38,"Lenovo IdeaPad 1 Student Laptop, 14"" HD Display Intel Celeron N4020, 4GB RAM, 128GB eMMC,Long Battery Life-Up to 11 Hours, Wi-Fi 6, Windows 11 Home Business Laptop",$3.49,$171.97,4.4,28,https://m.media-amazon.com/images/I/61aN75y1FHL._AC_UY218_.jpg
6,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$209.99,$183.00,3.9,"1,632",https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg
10,"SGIN 15.6 Inch Laptops, Laptop Computer with 4GB RAM 128GB SSD, Expandable 1TB, Celeron Quad-Core Processor(Up to 2.6GHz), 5G WiFi, Type-C, Mini HDMI, Webcam, USB 3.2(Silver)",$403.99,$189.99,5.0,1,https://m.media-amazon.com/images/I/71dlFMo9WtL._AC_UY218_.jpg
30,"SGIN 15.6 Inch Laptops, Laptop Computer with 4GB RAM 128GB SSD, Expandable 1TB, Celeron Quad-Core Processor(Up to 2.6GHz), 5G WiFi, Type-C, Mini HDMI, Webcam, USB 3.2(Silver)",$403.99,$189.99,5.0,1,https://m.media-amazon.com/images/I/71dlFMo9WtL._AC_UY218_.jpg
32,"jumper Laptop, 4GB DDR4 RAM 128GB SSD, Office 365 1-Year Subscription, 5205U Processor, 15.6 Inch HD Display, 38Wh Battery, Dual Stereo Speakers, Type-C, USB3.0, Numeric Keypad.",$379.99,$199.99,4.0,58,https://m.media-amazon.com/images/I/6194G+5e3RL._AC_UY218_.jpg
12,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",$4.18,$216.70,4.1,3 capacities3 capacities,https://m.media-amazon.com/images/I/61IpRGnny7L._AC_UY218_.jpg
13,"2024 New Laptop Computer, 8GB DDR4 RAM 256GB SSD, Intel Celeron J4005 Processor Up to 2.7GHz, 14 Inch HD Display, Thin & Portable Notebook PC with Webcam/WiFi/Bluetooth",$5.05,$218.00,4.2,26,https://m.media-amazon.com/images/I/61XQfFa84dL._AC_UY218_.jpg
5,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$4.82,$249.99,4.1,"1,739",https://m.media-amazon.com/images/I/711OHeRmEaL._AC_UY218_.jpg
36,"ASUS Vivobook 15.6” FHD Laptop, AMD Ryzen 3 3250U, 8GB RAM, 128GB SSD, Windows 11 Home, Transparent Silver, M515DA-WS33",$329.99,$269.00,4.0,166,https://m.media-amazon.com/images/I/61FYc36J93L._AC_UY218_.jpg
39,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 256GB Storage (128GB eMMC + 128GB USB Card), Intel UHD Graphics, HD Camera, Fast Charge, 1 Year Office 365, Win 11 S, Gold",$399.00,$298.99,4.4,4 capacities4 capacities,https://m.media-amazon.com/images/I/81w81VfhiZL._AC_UY218_.jpg
14,"ACEMAGIC Laptop Computer, Traditional Laptop Computer(Up to 3.4GHz), 16GB DDR4 512GB SSD, 15.6 inch 1080P FHD Laptop,Windows 11 Laptop with Metal Shell,WiFi, BT5.0, Speaker","$1,199.99",$299.99,4.6,2 capacities2 capacities,https://m.media-amazon.com/images/I/71LSGdmSK8L._AC_UY218_.jpg
4,"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",$329.99,$304.99,4.4,385,https://m.media-amazon.com/images/I/51h3oOo7XnL._AC_UY218_.jpg
40,"jumper 16 Inch Laptop, 16GB RAM 512GB SSD, Quad-Core Celeron N5095, FHD IPS 1920x1200 Screen, Windows 11 Laptops Computer with Four Stereo Speakers, Numeric Keypad, USB3.0, 5G WiFi, Webcam.",$599.99,$329.99,4.1,7,https://m.media-amazon.com/images/I/81rslkP7ykL._AC_UY218_.jpg
20,"HP Newest 15.6"" Multitasking Slim Laptop, 16GB RAM, 256GB Storage (128GB SSD Onboard and 128GB External Drive), Free Office 365 1-Year, Intel 4-core Processor, Up to 11 hrs Long Battery, Windows 11",$4.37,$349.85,3.5,3 capacities3 capacities,https://m.media-amazon.com/images/I/71J+mLXNfOL._AC_UY218_.jpg
34,"ACEMAGIC 16 inch Laptop Computer Powered by N97 Processor,16GB DDR4 RAM 512GB SSD,FHD 1920 * 1200P,WiFi,BT5.0,Type_C,38Wh Battery",$228.57,$399.99,5.0,3,https://m.media-amazon.com/images/I/71PM2NljzoL._AC_UY218_.jpg
43,"jumper Laptop, 16 Inch FHD IPS 1200p Screen, Quad Core CPU, 4GB LPDDR4 RAM 128GB ROM, Office 365 1-Year Subscription, Windows 11 Computer with Numeric Keypad, 4 Stereo Speakers, WiFi.",$210.52,$399.99,5.0,2,https://m.media-amazon.com/images/I/81Dr+87AZGL._AC_UY218_.jpg
37,"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",$7.02,$420.95,4.2,4 capacities4 capacities,https://m.media-amazon.com/images/I/71aTEZOda0L._AC_UY218_.jpg
2,"Acer Aspire 5 15 Slim Laptop | 15.6"" FHD 1920x1080 IPS Touch | Intel Core i5-13420H | Intel UHD Graphics | 16GB LPDDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | Protective Sleeve| A515-58PT-50UJ",$7.17,$449.99,4.1,762,https://m.media-amazon.com/images/I/71RkN3WRIBL._AC_UY218_.jpg
