Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Men Clarkin Sneakers,Rs.2999,Rs.1349,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10339033/2023/8/28/cddbcb00-a90c-43a9-8c63-d69dbaa0b2bb1693219412898-US-Polo-Assn-Men-White-Clarkin-Sneakers-6251693219412794-6.jpg",https://www.myntra.comcasual-shoes/u.s.+polo+assn./us-polo-assn-men-white-clarkin-sneakers/10339033/buy,4.2,49.8k
Men Woven Design Running Shoes,Rs.1799,Rs.899,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241980/2023/7/12/98c1f2dc-bf9a-4717-8cdf-5ac86a8ae0ed1689157405963-WROGN-Men-Woven-Design-Running-Shoes-1101689157405560-1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-woven-design-running-shoes/22241980/buy,4.1,122
Leather Formal Derbys,Rs.7599,Rs.1519,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27685222/2024/10/4/99076bee-6d76-44db-935d-d972c3f8ed161728032329902-Red-Tape-Men-Leather-Formal-Derbys-6621728032329443-1.jpg",https://www.myntra.comformal-shoes/red+tape/red-tape-men-leather-formal-derbys/27685222/buy,4.4,227
Men Running Shoes,Rs.3499,Rs.1189,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241878/2023/9/21/d13ac513-d215-4e7a-b792-5ccfecffae791695294772983WROGNMenColourblockedRunningShoes1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-colourblocked-running-shoes/22241878/buy,3.9,160
Men Round Toe Sneakers,Rs.5899,Rs.1179,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29996642/2024/9/26/7d5d9e15-0a2d-4083-bbd1-5fb2a8a2ef9d1727355167796-Red-Tape-Men-Colourblocked-Round-Toe-Memory-Foam-Sneakers-45-1.jpg",https://www.myntra.comcasual-shoes/red+tape/red-tape-men-colourblocked-round-toe-memory-foam-sneakers/29996642/buy,4.5,459
Men Textured Walking Shoes,Rs.6499,Rs.1299,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29268738/2024/10/4/9c133355-55cf-492a-9ca4-272ddea2d5fe1728032352194-Red-Tape-Men-Textured-Lace-Up-Walking-Shoes-7121728032351776-1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-men-textured-lace-up-walking-shoes/29268738/buy,4.4,1.6k
Quest 5  Road Running Shoes,Rs.6295,Rs.3147,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29870704/2024/6/1/0877394a-06dc-4f25-ac9b-9ee3a3f581041717218623138NikeQuest5MensRoadRunningShoes1.jpg",https://www.myntra.comsports-shoes/nike/nike-quest-5-mens-lace-ups-road-running-shoes/29870704/buy,4.5,263
Men Woven Design Running Shoes,Rs.2299,Rs.1149,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22242040/2023/7/12/4d2a39d1-8c7d-4685-a827-7b483b11c65c1689157420228-WROGN-Men-Woven-Design-Running-Shoes-2631689157419850-1.jpg",https://www.myntra.comsports-shoes/wrogn/wrogn-men-woven-design-running-shoes/22242040/buy,4.3,133
Men Quest 3 Road Running Shoes,Rs.7195,Rs.3957,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25055736/2023/9/30/58ac0298-76de-432e-99e3-2108251170d31696095927547NikeMenTexturedRoadRunningSportsShoes1.jpg",https://www.myntra.comsports-shoes/nike/nike-men-quest-3-textured-road-running-sports-shoes/25055736/buy,4.4,1.3k
Men Walking Shoes,Rs.7399,Rs.1479,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29996639/2024/10/4/feb7a001-bfaf-40e0-b475-6727ec5fb0751728032560114-Red-Tape-Men-Walking-Shoes-7981728032559758-1.jpg",https://www.myntra.comsports-shoes/red+tape/red-tape-men-walking-shoes/29996639/buy,4.1,92
