,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
0,Boys Waffled Polo Shirt,No MRP found,No discounted price found,fl_progressive/assets/images/2024/AUGUST/3/bzizcZCZ_11dd1ca32d8549ecbe538e4379de45b4.jpg,https://www.myntra.comtshirts/h%26m/-hm-boys-waffled-polo-shirt/30460268/buy,No rating found,No rating count found
1,Boys 5 Pcs Cotton T-Shirts,No MRP found,No discounted price found,fl_progressive/assets/images/30154566/2024/7/9/0f0123c3-74ab-46d4-bcc7-757cbb3e62931720488127978HMBoysPackOf5CottonT-Shirts1.jpg,https://www.myntra.comtshirts/h%26m/hm-boys-pack-of-5-cotton-t-shirts/30154566/buy,4.4,|18
2,Unisex Bio Finish Applique T-shirt,No MRP found,No discounted price found,fl_progressive/assets/images/2024/AUGUST/14/FHnS45f7_e3f6a4b655d341cd898d73a38d57e642.jpg,https://www.myntra.comtshirts/bollywoo.ooo/bollywooooo-unisex-drop-shoulder-sleeves-bio-finish-applique-t-shirt/30587091/buy,No rating found,No rating count found
3,Round Neck Lounge T-shirt,Rs.1049,Rs.629,fl_progressive/assets/images/30220006/2024/7/15/f14f9566-2086-4f70-8d42-a8047f87865b1721036600192LoungeTshirts1.jpg,https://www.myntra.comlounge-tshirts/kanvin/kanvin-women-printed-round-neck-short-sleeves-cotton-above-knee-lounge-t-shirt/30220006/buy,No rating found,No rating count found
4,Boys Textured-Knit T-Shirt,No MRP found,No discounted price found,fl_progressive/assets/images/30154506/2024/7/8/6907f3f2-6735-4ce0-8642-94a924119d351720459516830HMBoysTextured-KnitT-Shirt1.jpg,https://www.myntra.comtshirts/h%26m/hm-boys-textured-knit-t-shirt/30154506/buy,4,|7
5,Kids Colourblocked T-shirt,Rs.1499,Rs.599,fl_progressive/assets/images/21807134/2023/5/17/de60bace-a1fc-4a1a-8c48-b23547af44c11684303189268MarksSpencerKidsMonochromeT-shirt1.jpg,https://www.myntra.comtshirts/marks+%26+spencer/marks--spencer-kids-monochrome-t-shirt/21807134/buy,4.2,|17
6,Unisex Luffy Gear T-shirt,Rs.1499,Rs.704,fl_progressive/assets/images/24635498/2023/9/6/4b3a4803-42a0-41f7-827e-30be521745be1693979647861-Crazymonk-Unisex-Black-Printed-Applique-T-shirt-171693979647-3.jpg,https://www.myntra.comtshirts/crazymonk/crazymonk-unisex-luffy-gear-5-anime-printed-cotton-oversized-t-shirt/24635498/buy,4.4,|143
7,Pure Cotton T-shirt,Rs.1999,Rs.1099,fl_progressive/assets/images/23010574/2023/5/4/59c3b9e8-47b3-4e39-afa5-46211501d14f1683145934212TrendyolMenV-NeckPocketsT-shirt1.jpg,https://www.myntra.comtshirts/trendyol/trendyol-drop-shoulder-pure-cotton-t-shirt/23010574/buy,3.5,|42
8,Cotton Lounge T-shirt,Rs.649,Rs.369,fl_progressive/assets/images/28526204/2024/3/27/611250df-055a-48bf-8700-4ff5dfdc3b3d1711512160515PepeJeansMensAthleisuresolidcottonSleevelessMuscleT-shirt1.jpg,https://www.myntra.comlounge-tshirts/pepe+jeans/pepe-jeans-cotton-sleeveless-lounge-t-shirt/28526204/buy,4.1,|431
9,Kids Printed Cotton T-Shirt,Rs.1499,Rs.899,fl_progressive/assets/images/28053964/2024/3/5/907ebbef-3219-495d-8d97-1433d452aff71709652292837ClassicsPrintedYouthT-shirt1.jpg,https://www.myntra.comtshirts/puma/puma-kids-classics-printed-cotton-t-shirt/28053964/buy,4.9,|7
10,Women Cropped T-shirt,No MRP found,No discounted price found,fl_progressive/assets/images/27427684/2024/4/5/85843e16-46fc-48a6-b6a3-0ac4bc34bb231712302443696HMShortSleevesCroppedT-shirt1.jpg,https://www.myntra.comtshirts/h%26m/hm-women-cropped-t-shirt/27427684/buy,4.2,|2.5k
11,Kids Printed T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/nap+chief/nap-chief-kids-pack-of-3-typography-printed-t-shirt/29933136/buy,No rating found,No rating count found
12,Pure Cotton T-shirt,Rs.599,Rs.173,No image found,https://www.myntra.comtshirts/roadster/the-roadster-lifestyle-co-pure-cotton-t-shirt/2312468/buy,4,|41.2k
13,Men Cotton Polo Collar T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/marks+%26+spencer/marks--spencer-men-navy-blue-pure-cotton-polo-collar-t-shirt/19433356/buy,4.3,|162
14,Cotton Oversized T-Shirt,Rs.1299,Rs.402,No image found,https://www.myntra.comtshirts/dillinger/dillinger-women-blue-printed-pure-cotton-loose-graphic-oversized-t-shirt/17132720/buy,4.5,|7.3k
15,Boys Pack Of 3 Cotton T-shirt,Rs.3897,Rs.467,No image found,https://www.myntra.comtshirts/hellcat/hellcat-boys-pack-of-3-printed-cotton-t-shirt/22204272/buy,4.1,|3.4k
16,Women High Neck Cotton T-shirt,Rs.1499,Rs.824,No image found,https://www.myntra.comtshirts/trendyol/trendyol-women-high-neck-drop-shoulder-sleeves-cotton-t-shirt/21510058/buy,4,|135
17,Printed Cotton Lounge T-Shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comlounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-geometric-printed-pure-cotton-lounge-t-shirt/27329038/buy,4.6,|81
18,Kids Typography Printed Applique T-shirt,Rs.499,Rs.399,No image found,https://www.myntra.comtshirts/be+awara/be-awara-kids-pink-typography-printed-applique-t-shirt/18744938/buy,4.5,|834
19,Polo Collar Cotton T-shirt,Rs.799,Rs.719,No image found,https://www.myntra.comtshirts/classic+polo/classic-polo-collar-cotton-casual-t-shirt/26373288/buy,4.4,|55
20,Women Typography Printed Loose T-shirt,Rs.1299,Rs.480,No image found,https://www.myntra.comtshirts/dillinger/dillinger-women-red--beige-typography-printed-pure-cotton-loose-t-shirt/17692896/buy,4.1,|3.2k
21,Women Solid Lounge T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comlounge-tshirts/jockey/jockey-cotton-rich-solid-curved-hem-styled-tank-top/17857186/buy,4.5,|581
22,Boys Waffled Polo Shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/h%26m/-hm-boys-waffled-polo-shirt/30460267/buy,No rating found,No rating count found
23,Oversized Fit Cotton T-shirt,Rs.1499,Rs.499,No image found,https://www.myntra.comtshirts/bewakoof/bewakoof-graphic-printed-drop-shoulder-sleeves-oversized-fit-cotton-t-shirt/22581018/buy,4.4,|558
24,Printed Lounge T-shirt,Rs.1049,Rs.629,No image found,https://www.myntra.comlounge-tshirts/kanvin/kanvin-printed-drop-shoulder-lounge-t-shirt/30219989/buy,No rating found,No rating count found
25,Men Gamor Regular Fit Polo,Rs.3499,Rs.1749,No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-gamor-polo-collar-short-sleeves-t-shirt/29318802/buy,4.2,|62
26,Women Printed Lounge T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comlounge-tshirts/van+heusen/van-heusen-women-printed-v-neck-short-sleeve-lounge-t-shirt/15286570/buy,4.2,|94
27,Slim Fit T-shirt,Rs.999,Rs.599,No image found,https://www.myntra.comtshirts/alcis/alcis-slim-fit-running-t-shirt/30065656/buy,No rating found,No rating count found
28,Solid Mandarin Collar T-shirt,Rs.1199,Rs.527,No image found,https://www.myntra.comtshirts/campus+sutra/campus-sutra-women-turquoise-blue-solid-mandarin-collar-t-shirt/6940825/buy,4,|759
29,Fitted T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/h%26m/hm-fitted-t-shirt/30154474/buy,3.5,|20
30,Boys Pack of 5 Printed T-shirt,Rs.1400,Rs.630,No image found,https://www.myntra.comtshirts/googo+gaaga/googo-gaaga-boys-pack-of-5-typography-printed-t-shirt/27634242/buy,4.3,|41
31,Men T-shirt,Rs.2499,Rs.999,No image found,https://www.myntra.comtshirts/marks+%26+spencer/marks--spencer-men-t-shirt/21306674/buy,4,|38
32,Boys Printed Oversized Tshirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/veirdo/veirdo-boys-printed-round-neck-pure-cotton-oversized-tshirt/30222779/buy,4.3,|32
33,Pure Cotton Oversized T-shirt,Rs.1399,Rs.699,No image found,https://www.myntra.comtshirts/bewakoof/bewakoof-disney-the-lion-king-printed-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/27125190/buy,4.9,|8
34,Striped Cotton T-shirt,Rs.2599,Rs.1689,No image found,https://www.myntra.comtshirts/the+bear+house/the-bear-house-men-striped-regular-fit-cotton-polo-collar-t-shirt/28120392/buy,4.5,|84
35,Harry Potter Sequinned T-shirt,Rs.550,Rs.451,No image found,https://www.myntra.comtshirts/nap+chief/nap-chief-kids-reversible-black-harry-potter-sequinned-round-neck-t-shirt/13980360/buy,4.6,|706
36,Printed Cotton Lounge Tshirt,No MRP found,No discounted price found,No image found,https://www.myntra.comlounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-typography-printed-pure-cotton-lounge-tshirt/29327196/buy,4.8,|5
37,Pure Cotton Oversized T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/h%26m/hm-pure-cotton-oversized-t-shirt/28419042/buy,4.2,|316
38,Women Printed T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-brand-logo-printed-t-shirt/28890622/buy,4.3,|401
39,Printed Round Neck T-shirt,Rs.899,Rs.314,No image found,https://www.myntra.comtshirts/mast+%26+harbour/mast--harbour-women-white--blue-printed-round-neck-t-shirt/11185036/buy,4.2,|1.6k
40,Motif Detail Cotton T-shirt,Rs.799,Rs.599,No image found,https://www.myntra.comtshirts/h%26m/hm-boys-motif-detail-cotton-t-shirt/28468408/buy,4.6,|58
41,COOLMAX Fitted Top,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/h%26m/-hm-coolmax-fitted-top/30064848/buy,3.9,|21
42,Printed Oversized T-shirt,Rs.1499,Rs.389,No image found,https://www.myntra.comtshirts/hellcat/hellcat-graphic-printed-round-neck-oversized-t-shirt/28965270/buy,3.8,|188
43,Double Cool Slim Fit T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/technosport/technosport-ss24-geometric-printed-raglan-sleeves-double-cool-slim-fit-t-shirt/29243814/buy,4.3,|189
44,Printed Lounge T-shirt,Rs.1049,Rs.629,No image found,https://www.myntra.comlounge-tshirts/kanvin/kanvin-printed-cotton-lounge-t-shirt/30220004/buy,No rating found,No rating count found
45,Lounge T-shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comlounge-tshirts/enamor/enamor-women-black-slim-fit-crew-round-neck-t-shirt/5661654/buy,4.4,|242
46,Printed Pure Cotton T-Shirt,No MRP found,No discounted price found,No image found,https://www.myntra.comtshirts/h%26m/-hm-printed-pure-cotton-t-shirt/30245617/buy,4.1,|147
47,Typography Printed T-shirt,Rs.1099,Rs.516,No image found,https://www.myntra.comtshirts/kook+n+keech/kook-n-keech-typography-printed-drop-shoulder-sleeves-pure-cotton-longline-t-shirt/23958962/buy,4.3,|6.8k
