,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL,About This Item,Product Details,Store Name,Colors,Size Chart
0,"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling, Cloud Grey",$329.99,$304.99,4.4 out of 5 stars,378 ratings,https://m.media-amazon.com/images/I/51h3oOo7XnL._AC_SY450_.jpg,"About this itemMULTITASKING MASTER - The IdeaPad 1 is a thin and compact laptop that offers responsive performance and anticipates your every need for effortless on-the-go multitaskingMORE EXPANSIVE DISPLAY - Indulge in a better binging experience by immersing yourself in your favorite shows with a borderless display for more screen while listening to clear, rich audio from two Dolby Audio speakersPERFORMANCE ON THE GO - Zip along while multitasking across several tabs, the new AMD Ryzen 5 5500U processor built on UMA architecture delivers punchy mobile performance with a 20W thermal design pointLIGHTEST PART OF YOUR DAY - Weighing just 3.5 lbs, the effortlessly cool cloud grey laptop is lighter than your water bottle and just as essentialSOLID SECURITY - Keep your home life private and be seen only when you want to be with the 720p camera that comes with a physical privacy shutterPRODUCTIVITY WITH NO LIMITS - No Wi-Fi? No worries, with 512GB storage, 12 hours of battery life, and rapid charge you can access and edit your files offline, anywhere and still have space for all your family's needsA SMARTER WAY TO LEARN - Flip to Start turns on your IdeaPad 1 immediately upon opening the lid, so you can hop on that urgent video call and let your ideas be heard thanks to Smart Noise Cancelling minimizing background noiseEQUIPPED FOR WORK AND PLAY - Ready to connect to your world with 2 USB ports, USB-C port, HDMI port, SD card reader, and a combination headphone/mic jackSIZE UNPACKED (D x H x W) - 360 x 236 x 17.9 mm or 14.17 x 9.29 x 0.70 inchesINCLUDED ITEMS - Computer, Charger, User GuideShow more","Combine value with a master multitasker in the Lenovo IdeaPad 1’s brand new and ultra-efficient AMD Ryzen™ 5 5500U Processor. Packed in a thin and compact 17.9mm chassis that weighs just 3.5 lbs, it goes where you do. Get the most out of your 15.6"" device with 87% Active Area Ratio for more screen and Dolby Audio speakers, along with up to 12 hours of battery life and rapid charge. Great for video calls, the 720p camera comes with a privacy shutter to keep out spying eyes, as well as Smart Noise Cancelling to eliminate background noise. This portable multitasker allows for a better binging experience anytime, anywhere.",Visit the Lenovo Store,No color information found,No size chart found
1,"SGIN 15.6 Inch Laptops, Laptop Computer with 4GB RAM 128GB SSD, Expandable 1TB, Celeron Quad-Core Processor(Up to 2.6GHz), 5G WiFi, Type-C, Mini HDMI, Webcam, USB 3.2(Silver)",$189.99,$189.99,5.0 out of 5 stars,8 ratings,https://m.media-amazon.com/images/I/71dlFMo9WtL._AC_SX355_.jpg,"About this itemEFFICIENT PERFORMANCE: Equipped with 4GB high-speed DDR4 memory, 128GB SSD storage and faster, smoother and energy-efficient performance, this laptop can easily handle complex tasks. Supports the extension of the TF card of 1TB.Powerful configuration: Equipped with the Quad-Core processor, turbo frequency up to 2.6 GHz. With a 15.6 inch screen, the colours of the 15.6 inch laptop are fuller, more vibrant and simple, the details are clear and reliable and the viewing angle is wide. Create exceptional visual effects.LIGHTWEIGHT AND ADVANCED - The slim case weighs only 1.63 kg and is only 2 cm thick so you can carry it all day without any problems. Equipped with a 5000 mWh lithium-ion battery, long battery life. It has a long battery life and reliable performance. It is the perfect choice for you if you want to enjoy your lifestyle on the go.Multifunctional interface: fast connection with Bluetooth 4.2 and fast WiFi via dual band WiFi, equipped with Type Cx1, Mini HDMI x1, headphone jack 3.5 mm x1, USB 3.2 x2, microSD slot x1. The many multi-function ports of the laptop meet the requirements of life and work.Worry-free customer service: from date of purchase, we have a 365 day warranty service. If you have any questions, please feel free to contact us. We will reply you within 12 hours to help you solve the problem.›See more product details",No product details found,Visit the SGIN Store,No color information found,No size chart found
2,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",$249.99,$249.99,4.1 out of 5 stars,"1,723 ratings",https://m.media-amazon.com/images/I/711OHeRmEaL._AC_SX355_.jpg,"About this item【14"" HD Display】14.0-inch diagonal, HD (1366 x 768), micro-edge, BrightView. With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups【Processor & Graphics】Intel Celeron N4120, 4 Cores & 4 Threads, 1.10 GHz Base Frequency, Up to 2.60 GHz Burst Frequency, 4 MB Cahce, Intel UHD Graphics 600, Handle multitasking reliably with the perfect combination of performance, power consumption, and value【RAM & Storage】8GB high-bandwidth DDR4 Memory (2400 MHz), Adequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once. 64GB high-speed eMMC Storage for your office and webinar needs【Ports】1 x USB 3.1 Type-C ports, 2 x USB 3.1 Type-A ports, 1 x HDMI, 1 x Headphone/Microphone Combo Jack, and there's a microSD slot【Windows 11 Home in S mode】You may switch to regular windows 11: Press ""Start button"" bottom left of the screen; Select ""Settings"" icon above ""power"" icon;Select ""Activation"", then Go to Store; Select Get option under ""Switch out of S mode""; Hit Install. (If you also see an ""Upgrade your edition of Windows"" section, be careful not to click the ""Go to the Store"" link that appears there.)›See more product details","Switching out of S mode in Windows 11Windows 11 in S mode is designed for security and performance, exclusively running apps from the Microsoft Store. If you want to install an app that isn't available in the Microsoft Store, you'll need to switch out of S mode1. On your PC running Windows 11 in S mode, open Settings > System > Activation.2. In the Switch to Windows 11 Pro section, select Go to the Store. (If you also see an ""Upgrade your edition of Windows"" section, be careful not to click the ""Go to the Store"" link that appears there.)3. On the Switch out of S mode (or similar) page that appears in the Microsoft Store, select the Get button. After you see a confirmation message on the page, you'll be able to install apps from outside of the Microsoft Store.HP 14 inch Laptop for Business and Student:Sleek design: Easily take this thin and light PC from room to room or on the roadDual array microphones: With two microphones and advanced noise reduction software, you'll always sound crystal clear when you video chat or recordDisplay: 14.0-inch diagonal, HD (1366 x 768), micro-edge, BrightViewProcessor: Intel Celeron N4120, 4 Cores & 4 ThreadsMemory: 8GB DDR4Storage: 64GB eMMC+128GB Micro SDGraphics: Intel UHD Graphics 600Operating System: Windows 11 Home in S modeHP Fast Charge: Go from 0 to 50% charge in approximately 45 minutesBattery Life: Up to 11 hours and 30 minutes (video playback); Up to 9 hours (wireless streaming)Webcam: HP True Vision 720p HD camera with integrated dual array digital microphonesConnectivity: 802.11a/b/g/n/ac (2x2)(19a) Wi-Fi and Bluetooth comboDimensions: 12.76 x 8.86 x 0.71 inchesWeight: 3.24 lbs",Visit the HP Store,,No size chart found
3,"ASUS 2024 Vivobook Go 11.6” HD Laptop, Intel Celeron N4500, Intel Graphics, 4GB, 128GB, Windows 11 Home in S Mode, Star Black, L210KA-ES04",$229.99,$169.99,4.1 out of 5 stars,692 ratings,https://m.media-amazon.com/images/I/51xxONbwsvL._AC_SY355_.jpg,"About this itemWindows 11 Home in S Mode All the power of Windows 10 with enhanced security and performance with a redesigned look — complete with new tools, sounds, and apps exclusively from Microsoft. Every detail has been considered, coming together to bring you a refreshing experience on your PC.11.6"" HD display The 11.6"" 1366 x 768 60Hz display brings visuals to life with 200 nits peak brightness.Intel Celeron N4500 processor The newest Intel Celeron processors offer amazing video conferencing abilities, faster wireless connectivity, improved overall application and graphics performance, and long battery life. Experience unmatched balance of performance, experience, and value for education and entry level computing.Intel Graphics Intel Graphics provides basic to moderate graphical performance for a variety of computing tasks, including multimedia playback, web browsing, and light gaming.4GB memory 4GB DDR4 of memory to run apps, tabs, and everything else you need.›See more product details",The ASUS Vivobook Go 12 is designed for on-the-go productivity and performance. This compact and lightweight 11.6 inch laptop is powered by the latest Intel® Celeron® processor and Intel® Graphics. Experience full security and performance with eMMC storage and Windows 11 Home in S mode.,Visit the ASUS Store,No color information found,No size chart found
4,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$183.99,$183.99,3.9 out of 5 stars,"1,627 ratings",https://m.media-amazon.com/images/I/815uX7wkOZS._AC_SX466_.jpg,"About this itemREADY FOR ANYWHERE – With its thin and light design, 6.5 mm micro-edge bezel display, and 79% screen-to-body ratio, you’ll take this PC anywhere while you see and do more of what you love (1)MORE SCREEN, MORE FUN – With virtually no bezel encircling the screen, you’ll enjoy every bit of detail on this 14-inch HD (1366 x 768) display (2)ALL-DAY PERFORMANCE – Tackle your busiest days with the dual-core, Intel Celeron N4020—the perfect processor for performance, power consumption, and value (3)4K READY – Smoothly stream 4K content and play your favorite next-gen games with Intel UHD Graphics 600 (4) (5)STORAGE AND MEMORY – An embedded multimedia card provides reliable flash-based, 64 GB of storage while 4 GB of RAM expands your bandwidth and boosts your performance (6)›See more product details","The Snowflake White HP 14 Laptop is designed to keep you productive and entertained from anywhere. Maximize your viewing area and see every detail thanks to 6.5 mm micro-edge bezel display, 79% screen-to-body ratio, and 14-inch HD (1366 x 768) display (1) (2). Performance, power consumption, and value come together in the Intel® Celeron® N4020, the ideal processor for your busiest days (3). Enjoy the highest resolution games and movies with the 4K-ready Intel® UHD Graphics 600 (4) (5). Store more of what you love and multitask faster, even with multiple windows open, with this HP laptop’s 64 GB of eMMC storage and 4 GB of RAM (6). Up your creativity and efficiency as this HP 14-inch laptop offers even more features for computing from anywhere. Spend more time focused on your daily tasks and less on the battery life with up to 11 hours and 30 minutes of power (7). Plus, HP Fast Charge keeps you powered especially if you need recharge quickly (8). The exceedingly secure Windows 10 Home in S mode outfits your PC laptop with fast boot times, increased responsiveness, and added protection against phishing and malware (9). Work confidently with 1-year limited hardware warranty and stay connected with the dependable Wi-Fi 5 (1x1) and Bluetooth® 4.2 combo (10) (11). Boost your creativity as your Windows laptop comes with a 1-year subscription to Microsoft 365, including the whole Office Suite: Word, Excel, and PowerPoint (12). Productivity and entertainment features aren’t the only things your device is equipped with; lead a sustainable lifestyle with a thin laptop that is ENERGY STAR® certified and EPEAT® Silver registered (13) (14). (1) Percent of the active plus inactive viewing area to active viewing area plus border. Measure with lid vertical to the desk. (2) High-definition (HD) content is required to view high-definition images. (3) Multi-core is designed to improve the performance of certain software products. Not all customers or software applications will necessarily benefit from the use of this technology. Performance and clock frequency will vary depending on application workload and your hardware and software configurations. Intel’s numbering, branding, and/or naming is not a measurement of higher performance. Intel, Pentium, Intel Core, Celeron, Iris Xe, Intel logo, and the Intel Inside logo are trademarks of Intel Corporation in the U.S. and other countries. (4) Wireless access point and internet service required and sold separately. The availability of public wireless access points is limited. (5) Graphics output may be limited based on the maximum resolution of the display. Shared video memory (UMA) uses part of the total system memory for video performance. System memory dedicated to video performance is not available for other use by other programs. (6) For storage drives, GB = 1 billion bytes. The actual formatted capacity is less. Up to 5.1GB of disk is reserved for system recovery software. (7) Battery life tested by HP using continuous FHD video playback, 1080p (1920x1080) resolution, 150 nits brightness, system audio level at 17%, player audio level at 100%, played full-screen from local storage, headphone attached, wireless on but not connected. Actual battery life will vary depending on configuration and maximum capacity will naturally decrease with time and usage. (8) Features may require software or other 3rd party applications to provide the described functionality. Internet service required and not included. (9) Not all features are available in all editions or versions of Windows. Systems may require upgraded and/or separately purchased hardware, drivers, software, or BIOS update to take full advantage of Windows functionality. Windows 10 is automatically updated, which is always enabled. ISP fees may apply and additional requirements may apply over time for updates.Windows 10 Home (S mode) works exclusively with apps from the Microsoft Store within Windows. Certain default settings, features, and apps cannot be changed. Some accessories and apps compatible with Windows 10 may not work (including some antivirus, PDF Writers, driver utilities, and accessibility apps) and performance may vary, even if you switch to Windows 10 Home configuration (fee may apply). You can’t switch back to Windows 10 Home (S mode).(10) Wireless access point and internet service required and sold separately. The availability of public wireless access points is limited. Wi-Fi 5 (802.11ac) is backward compatible with prior Wi-Fi 5 specs. (11) Bluetooth® is a trademark owned by its proprietor and used by Hewlett-Packard Company under license. (12) Microsoft 365 Personal 1-year subscription included. Activation is required within 6-months of the Windows activation date. Microsoft 365 Family and Microsoft 365 Personal have non-commercial rights and are meant for personal use only. See microsoft.com for full details. (13) ENERGY STAR and the ENERGY STAR mark are registered trademarks owned by the U.S. Environmental Protection Agency. (14) Based on U.S. EPEAT® registration according to IEEE 1680.1-2018 EPEAT®. EPEAT® status varies by country.",Visit the HP Store,No color information found,No size chart found
5,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",$499.00,$499.00,4.3 out of 5 stars,"1,177 ratings",https://m.media-amazon.com/images/I/61TGRBGTNzL._AC_SY355_.jpg,"About this item【High Speed RAM And Enormous Space】32GB high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once; 1TB PCIe NVMe M.2 Solid State Drive allows to fast bootup and data transfer【Processor】11th Gen Intel Core i3-1125G4 Processor (4 Cores, 8 Threads, 8MB L3 Smart Cache, Clockspeed at 2.0 GHz, Up to 3.7 GHz at Max Turbo Frequency)【Display】17.3"" diagonal, HD+ (1600 x 900), anti-glare, 250 nits, 60% NTSC【Tech Specs】1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate, 1 x HDMI 1.4b, 1 x Headphone/Microphone Combo; Wi-Fi and Bluetooth【Operating System】Windows 11 Pro-Get all the features of Windows 11 Home operating system plus Mobile device management, Group Policy, Enterprise State Roaming, Assigned Access, Dynamic Provisioningm, Windows Update for Business, Kiosk mode, and Active Directory/Azure AD›See more product details",No product details found,Visit the HP Store,No color information found,8GB RAM | 256GB SSD8GB RAM | 512GB SSD12GB RAM | 512GB SSD16GB RAM | 1TB SSD16GB RAM | 512GB SSD32GB RAM | 1TB SSD32GB RAM | 2TB SSD
6,"HP Flagship 15.6 HD Student Laptop Computer, Intel Quad-Core Pentium N200 (Beat i5-8250U), 16GB RAM, 128GB SSD, 1 Year Microsoft Office 365, Win 11,WiFi, Webcam, Fast Charge, HDMI, 4in1 Accessory",$299.99,$299.99,4.5 out of 5 stars,52 ratings,https://m.media-amazon.com/images/I/71INUs4cMvL._AC_SX355_.jpg,"About this item【Processor】The Latest Generation Intel Processor N200 (lder Lake-N series, Released in 2023), 4-Core, 4 Threads, max turbo to 3.7GHz, 6MB Cache. the laptop delivers impressive performance for both everyday tasks and demanding applications, making your computing experience smooth and efficient.【15.6 HD Micro-edge display】With virtually no bezel encircling the display, an ultra-wide viewing experience provides for seamless multi-monitor set-ups. Enjoy your entertainment with the great quality and highdefinition detail of 1 million pixels.【Upgraded to 16GB DDR4 RAM】Substantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.【128GB SSD】Provides massive storage space for huge files, so that you can store important digital data and work your way through it with ease. It gives you enormous space to save all of your files.【Windows 11 Home in S mode】You may switch to regular windows 11: Press ''Start button'' bottom left of the screen; Select ''Settings'' icon above ''power'' icon;Select Update & Security and Activation, then Go to Store; Select ''Get'' option under ''Switch out of S mode''; Hit Install. (If you also see an ''Upgrade your edition of Windows'' section, be careful not to click the ''Go to the Store'' link that appears there.)›See more product details","We sells computers with upgraded configurations. If the computer has modifications (listed above), then the manufacturer box is opened for it to be tested and inspected and to install the upgrades to achieve the specifications as advertised. If no modifications are listed, the item is unopened and untested. Defects & blemishes are significantly reduced by our in depth inspection & testing.Say hello to the most reliable PC that easily passes the vibe check. HP 15"" Laptop is built with dependable technology, next-level power, and rock-solid performance that turns your to-do lists into to-done lists. Go from shopping to streaming to keeping up with friends all at the speed of fun. With HP PCs, you get more ‘oomph’ from your computer with less ‘oof’ from your wallet, so you can take on today with tech built for tomorrow. The HP 15.6"" Laptop PC empowers you to do more with the reliable power of an Intel Processor, plus fast storage, and powerful graphics in a sleek, thoughtfully designed device. Created for wherever the day takes you and built with ocean-bound and post-consumer recycled plastics, it’s easy to show some love for the planet.SpecificationsFeatures:Numeric Keypad, WebcamOperating System:Windows 11Processor Type:Intel N200 (Pentium)RAM Memory:Upgraded to 16 GB RAMHard Drive Capacity:128 GB SSDScreen Size:15.6 inBattery Life:11 hProcessor Speed:1.1 GHz, Up to 3.70 GHzProcessor Brand:IntelProcessor Graphics:Intel UHD GraphicsTotal Cores:4Wireless Technology:802.11b/g/n/ac, Bluetooth 4.2 combo, MU-MIMO supportedAssembled Product Dimensions (L x W x H):20.47 x 12.01 x 2.72 Inches",Visit the HP Store,No color information found,8GB | 128GB1 option from $349.0016GB | 128GB$299.9916GB | 192GB1 option from $319.9916GB | 256GB1 option from $329.9916GB | 384GB1 option from $349.99
7,"jumper 16 Inch Laptop, 16GB RAM 512GB SSD, Quad-Core Celeron N5095, FHD IPS 1920x1200 Screen, Windows 11 Computer with Four Stereo Speakers, 38WH Battery, Numeric Keypad.",$329.99,$329.99,4.5 out of 5 stars,42 ratings,https://m.media-amazon.com/images/I/71+VXpA1WDL._AC_SX355_.jpg,"About this item【16 Inch Wide Screen】This 16-inch laptop features a full HD 1920x1200 display(16:10) with 93% screen-to-body ratio, giving it a vast screen area for work and play. Its IPS-level wide-view FHD panel features an anti-glare coating to reduce unwanted distractions from irritating glare and reflections, so you can truly focus on what’s in front of you.【Intel Celeron N5095 Processor】11th Generation Intel Celeron N5095 processor with up to 2.9GHz. Quad-core processor, 4-threaded, 10nm technology, 35% higher CPU performance and 78% higher GPU performance compared to Gemini Lake.【16GB DDR4 + 512GB SSD】S5MAX notebook PC comes with 16GB DDR4 RAM for easy multitasking and smooth operation, 512GB SSD for fast loading data access and shorten response time for loading apps, it also supports up to 256GB TF card expansion so that you have plenty of space to store and load your data streams and files.【Long Lasting Battery Life】This Windows11 laptop has a fan inside to control the temperature so that to ensure a fast and stable performance,meanwhile it adopts 38000mWH battery,average running time is 8 hours, no worry about charging matter during your business trip.【Multifunctional Connection Design】Four stereo speakers allow you to immerse yourself in the most realistic sound. Equipped with fast connection to Bluetooth 4.0 and dual-band Wi-Fi(2.4G/5G) fast wireless. Type-C port x 1, Micro HDMI × 1, 3.5mm headphone jack x 1, USB 3.0 port x 2, Micro TF slot x 1,fast charger DC port.›See more product details",No product details found,Visit the jumper Store,No color information found,4GB DDR4 | 128GB EMMC16GB RAM - 512GB SSD
8,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9",$8.72,$649.99,4.5 out of 5 stars,"4,617 ratings",https://m.media-amazon.com/images/I/71F-Wcriq4L._AC_SX355_.jpg,"About this itemBeyond Performance: Empower your gaming and creativity with the Nitro V 15, combining a 13th Gen Intel Core i5-13420H processor with the NVIDIA GeForce RTX 4050 Laptop GPUPicture-Perfect. Furiously Fast: See your digital conquests unfold in vibrant Full HD on a 15.6"" screen, perfectly timed at a quick 144Hz refresh rate and a wide 16:9 aspect ratio providing 82.64% screen-to-body ratio.Stay Connected: Your gaming sanctuary is wherever you are. On the couch? Settle in with fast and stable Wi-Fi 6. Gaming cafe? Get an edge online with Gigabit Ethernet. No matter your location, Nitro V 15 ensures you're always in the driver's seat.Thunderbolt 4: With the powerful Thunderbolt 4 port, you have the trifecta of power charging and data transfer with bidirectional movement and video display in one interface.Chilled to Perfection: Keep your cool amidst the fiercest gaming galaxies, thanks to Nitro V 15's innovative dual fans and effective exhaust system.Always Be Heard and Seen: Experience crystal clear communication with AI-powered Acer PurifiedView and PurifiedVoice noise reduction technology. You'll feel like you're in the command center of a spaceship, with pinpoint sound accuracy giving you the edge in your gaming skirmishes.No Limits with NitroSense: Channel your inner gaming strategist with the NitroSense utility app. Fine-tune your gaming setup to match your style, be it adjusting fan speeds for those heated battles or customizing lighting for immersive explorationPorts For All Your Accessories: 1 - USB Type-C Port USB 3.2 Gen 2 (up to 10 Gbps) DisplayPort over USB Type-C, Thunderbolt 4 & USB Charging, 1 - USB 3.2 Gen 2 Port (Featuring Power-off Charging), 2 - USB 3.2 Gen 1 ports, 1 - HDMI 2.1 Port with HDCP support, 1 - Headphone/Speaker/Line-out Jack, 1 - Ethernet (RJ-45), DC-in for AC adapterThe Right Fit: 14.26"" W x 9.44"" D x 0.93/1.06"" H; 4.66 lbs.; One-Year International Travelers Limited Warranty (ITW)Show more","Elevate your gaming adventure with the Acer Nitro V 15, your gateway to an adrenaline-charged journey. This laptop is the perfect blend of power and style, pushing the boundaries of what’s possible on a laptop. Powered by a 13th Gen Intel Core processor and NVIDIA GeForce RTX 40-series graphics and showcasing a crystal-clear 15.6” Full HD display with a 144Hz IPS panel - you can see why the Nitro V 15 is a knockout hit for gamers of every level. (NH.QN8AA.006)",Visit the acer Store,No color information found,No size chart found
9,"Lenovo Newest V15 Essential Laptop | 16GB RAM | 1TB SSD | 15.6"" FHD (1920 x 1080) Display | Intel Quad-core Processor | Ethernet RJ-45 | Windows 11 Pro | WOWPC 500GB External HDD",$549.00,$549.00,4.3 out of 5 stars,293 ratings,https://m.media-amazon.com/images/I/71iGBUV2YPL._AC_SY355_.jpg,"About this item【Processor】Efficient Intel Celeron N5100 processor featuring 4 cores and 4 threads, with speeds up to 2.8GHz.【RAM and Storage】Maximize your productivity with up to 32GB of RAM for seamless multitasking and up to 2TB of storage, providing ample capacity to accommodate all your work needs.【Display and Audio】Immersive 15.6"" Full HD (1920x1080) TN display with 250 nits, anti-glare, and stereo speakers delivering 1.5W x2 with Dolby Audio enhancement.【Operating System】Elevate your computing with Windows 11 Pro 64-bit. Its sleek, intuitive interface boosts productivity and creativity. Enjoy seamless performance, advanced security, and powerful multitasking for all tasks.【WOWPC Bundle】500GB External HDD, hot key sticker and microfiber cloth›See more product details","WOWPC Bundle: 500GB External HDD, hot key sticker and microfiber cloth Processor: Intel Celeron N5100 (4 Core, 4 Threads, Up to 2.8GHz) Graphics: Intel UHD Graphics Operating system: Windows 11 Pro 64-bit Memory: Up to 32GB DDR4 SDRAM Hard Drive: Up to 2TB PCIe NVMe M.2 Solid State Drive Optical Drive: No Display: 15.6"" FHD (1920x1080) TN 250nits Anti-glare Connectivity: WiFi 5 + Bluetooth 5.1 Audio: Stereo speakers, 1.5W x2, Dolby Audio Keyboard: US English, Full Size Keyboard with Numeric Keypad Built-in HD Webcam: HD 720p with Privacy Shutter Ports: 1 x USB Type-C 3.2 Gen 1 (support data transfer only) 1 x USB Type-A 3.2 Gen 1 1 x USB Type-A 2.0 1 x HDMI 1.4b 1 x Headphone / microphone combo jack (3.5mm) 1 x Ethernet Port (RJ-45) 1 x Power connector Color: Black Dimensions L x W x H (inches): 14.14 x 9.28 x 0.78 Weight: 3.75 lbs",Visit the Lenovo Store,No color information found,8GB | 256GB8GB RAM | 512GB SSD16GB RAM | 1TB SSD16GB RAM | 2TB SSD16GB RAM | 256GB SSD16GB RAM | 512GB SSD32GB RAM | 1TB SSD32GB RAM | 2TB SSD32GB RAM | 512GB SSD
