,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
33,Hey Dude Unisex-Adult Wally Stretch,$64.99,$26.42,4.7,"60,596",https://m.media-amazon.com/images/I/81xc0NFIVbL._AC_UL320_.jpg
4,Cestfini Mens Dress Shoes Casual Oxford Shoes Dress Sneakers Comfortable Business Wingtip Brogue Office Shoes,$39.99,$27.99,4.3,224,https://m.media-amazon.com/images/I/71tBElVj9sL._AC_UL320_.jpg
69,Cestfini Mens Dress Shoes Casual Oxford Shoes Dress Sneakers Comfortable Business Wingtip Brogue Office Shoes,$39.99,$27.99,4.3,224,https://m.media-amazon.com/images/I/71tBElVj9sL._AC_UL320_.jpg
70,Cestfini Mens Dress Shoes Casual Oxford Shoes Dress Sneakers Comfortable Business Wingtip Brogue Office Shoes,$39.99,$27.99,4.3,224,https://m.media-amazon.com/images/I/71tBElVj9sL._AC_UL320_.jpg
17,"Cestfini Men’s Slip-On Shoes, Casual Lace-Free Walking Loafers with Arch Support, Orthopedic Shoes, Lightweight, Non-Slip, Laceless Sneakers for Walking, Working, and More",$42.99,$29.99,4.3,409,https://m.media-amazon.com/images/I/71lsmU-7jNL._AC_UL320_.jpg
71,"Cestfini Men’s Slip-On Shoes, Casual Lace-Free Walking Loafers with Arch Support, Orthopedic Shoes, Lightweight, Non-Slip, Laceless Sneakers for Walking, Working, and More",$49.99,$29.99,4.3,409,https://m.media-amazon.com/images/I/71lsmU-7jNL._AC_UL320_.jpg
12,Bruno Marc Men's Casual Slip-on Loafers Stretch Shoes 1.0,$46.99,$31.47,4.4,"12,310",https://m.media-amazon.com/images/I/81qNKuUcYVL._AC_UL320_.jpg
22,Bruno Marc Men's Rivera Oxfords Shoes Sneakers,$42.99,$32.99,4.2,"11,346",https://m.media-amazon.com/images/I/81We33yH25L._AC_UL320_.jpg
54,Bruno Marc Men's Casual Dress Shoes,$45.99,$34.39,4.4,"8,462",https://m.media-amazon.com/images/I/71qbbLaNXRL._AC_UL320_.jpg
45,Lugz Men's Clipper Fashion Sneaker,$50.00,$34.95,4.3,"32,934",https://m.media-amazon.com/images/I/41OZfAflyHL._AC_UL320_.jpg
25,adidas Men's Advantage Sneakers,$70.00,$34.98,4.6,"8,548",https://m.media-amazon.com/images/I/61aTABI3uuS._AC_UL320_.jpg
3,Jousen Mens Casual Shoes Simple Comfortable Casual Dress Shoes for Men,$56.99,$34.99,4.3,646,https://m.media-amazon.com/images/I/71kRNdQe8UL._AC_UL320_.jpg
55,Puma Mens Tazon 6 Cross Trainer,$70.00,$35.00,4.4,"52,820",https://m.media-amazon.com/images/I/51xqcM6XFAL._AC_UL320_.jpg
23,Akk Walking Shoes for Men Sneakers - Slip on Memory Foam Running Tennis Shoes for Athletic Workout Gym Indoor Outdoor Lightweight Breathable Casual Sneakers,$45.99,$36.79,4.2,"3,080",https://m.media-amazon.com/images/I/71BQcg-N+VL._AC_UL640_QL65_.jpg
21,Bruno Marc Men's Slip on Dress Loafers Formal Shoes,$47.99,$36.99,4.4,"6,514",https://m.media-amazon.com/images/I/718-unMyB6L._AC_UL320_.jpg
51,Reebok Men's BB4500 Hi 2 Sneaker,$56.00,$39.20,4.5,"19,389",https://m.media-amazon.com/images/I/61WXbe6GaIL._AC_UL320_.jpg
8,Bruno Marc Men's Plain Toe Oxford Shoes Business Formal Derby Dress Sneakers,$46.99,$39.99,4.5,"2,503",https://m.media-amazon.com/images/I/71MmafKSbUL._AC_UL320_.jpg
62,Skechers Men's Nampa Food Service Shoe,$56.00,$39.99,4.4,"13,830",https://m.media-amazon.com/images/I/71sZ-aoFbkL._AC_UL320_.jpg
68,Bruno Moda Italy Men's Prince Classic Modern Formal Oxford Wingtip Lace Up Dress Shoes,$42.99,$39.99,4.4,"23,262",https://m.media-amazon.com/images/I/71qMxRG-oKL._AC_UL320_.jpg
38,PUMA Men's Axelion,$80.00,$40.00,4.5,"11,042",https://m.media-amazon.com/images/I/81tc6arDvFL._AC_UL320_.jpg
14,Skechers Mens Superior Milford,$65.00,$40.73,4.6,"23,488",https://m.media-amazon.com/images/I/81l6t+vxz5L._AC_UL320_.jpg
42,Reebok Unisex Glide Sneaker,$70.00,$42.00,4.5,432,https://m.media-amazon.com/images/I/71wGqH3EwGL._AC_UL320_.jpg
72,LARNMERN Mens Non Slip Work Shoes Slip On Water Resistant Walking Sneakers Zapatos Trabajo Waterproof Food Service Chef Kitchen,$49.90,$42.42,4.1,"2,441",https://m.media-amazon.com/images/I/71cWYOlEqnL._AC_UL320_.jpg
