,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL
0,Men Leather Straps Watch,No MRP found,No discounted price found,fl_progressive/assets/images/27616874/2024/2/15/239d1811-15cf-4833-91b8-b05c2e9671f81707996109277TitanMenDialLeatherStrapsAnalogueWatch1805SL121.jpg,https://www.myntra.comwatches/titan/titan-men-leather-straps-analogue-watch-1805sl12/27616874/buy
1,Vyb Halo Analogue Watch,Rs.2785,Rs.1643,fl_progressive/assets/images/28138054/2024/3/26/42c77bda-9441-4e93-8a9f-b433b2c401cf1711447071222-Fastrack-Women-Dial--Bracelet-Style-Straps-Analogue-Watch-FV-11.jpg,https://www.myntra.comwatches/fastrack/fastrack-vyb-halo-women-dial--bracelet-style-straps-analogue-watch-fv60035wm01w/28138054/buy
2,Women Analogue Watch,Rs.3299,Rs.791,fl_progressive/assets/images/2278228/2022/4/19/2451411c-8346-4b8e-b228-e60351d536161650342959173-DressBerry-Women-Mauve-Analogue-Watch-1341650342959089-7.jpg,https://www.myntra.comwatches/dressberry/dressberry-women-mauve-analogue-watch/2278228/buy
3,Unisex Analogue Watch,Rs.995,Rs.587,fl_progressive/assets/images/15229356/2023/10/10/5738892c-0366-4c1b-9749-06167ee19f1f1696929626013-Fastrack-Unisex-Watches-491696929625720-1.jpg,https://www.myntra.comwatches/fastrack/fastrack-unisex-analogue-watch-68012pp13/15229356/buy
4,Men Leather Straps Watch,No MRP found,No discounted price found,fl_progressive/assets/images/27105242/2024/4/10/7a3c26e2-7d3c-4fe0-957c-baf866c149ee1712739689476SonataMenPrintedDialLeatherBraceletStyleStrapsAnalogueWatchS1.jpg,https://www.myntra.comwatches/sonata/sonata-men-printed-dial--leather-bracelet-style-straps-analogue-watch-sp70011sl03w/27105242/buy
5,Women Watch Gift Set,Rs.6950,Rs.3127,fl_progressive/assets/images/25411348/2023/10/9/72fbe833-f379-417d-8bc3-4a322784ccc41696843780028WatchGiftSet1.jpg,https://www.myntra.comwatch-gift-set/french+connection/french-connection-women-watch-gift-set-fcw04gm/25411348/buy
6,Women Watch & Bracelet,No MRP found,No discounted price found,fl_progressive/assets/images/28178702/2024/5/31/2a430771-e98e-4587-a9f2-6b700d3c3b561717155850434FastrackWomenPulse20BraceletStyleStrapsAnalogueWatchwithBrac1.jpg,https://www.myntra.comwatch-gift-set/fastrack/fastrack-women-pulse-20-bracelet-style-straps-analogue-watch-with-bracelet/28178702/buy
7,Poze Women Analouge Watch,Rs.1825,Rs.1076,fl_progressive/assets/images/27107958/2024/4/10/0ea48dd5-58e8-4a28-9769-5d745f113af41712739649990SonataWomenPozeBrassEmbellishedDialBraceletStyleStrapsAnalog1.jpg,https://www.myntra.comwatches/sonata/sonata-poze-women-brass-embellished-dial--bracelet-style-straps-analogue-watch-sp80018ym01w/27107958/buy
8,Women Lily Watch Gift Set,Rs.6597,Rs.1319,fl_progressive/assets/images/15101392/2021/8/11/d9166d5e-6378-4606-857d-4a4b872088201628655516246JOKERWITCHWomenGold-TonedWhiteLilyWatchGiftSetJWBS4081.jpg,https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-gold-toned--white-lily-watch-gift-set-jwbs408/15101392/buy
9,Kids Analogue Watch,No MRP found,No discounted price found,fl_progressive/assets/images/29273366/2024/5/1/8872ff9e-6c45-4fe6-b277-7f8711dd394a1714556138732BetterWatches1192BK1.jpg,https://www.myntra.comwatches/young+mission/young-mission-better-watches-kids-printed-dial--straps-analogue-watch-1192-bk/29273366/buy
10,Men Watch,No MRP found,No discounted price found,fl_progressive/assets/images/1415173/2016/6/29/11467184912974-Titan-Men-Watches-5441467184912963-1.jpg,https://www.myntra.comwatches/titan/titan-men-white-dial-watch-nh1688km02/1415173/buy
11,Watch & 5 Pcs Bracelet Gift,Rs.6650,Rs.2394,No image found,https://www.myntra.comwatch-gift-set/daniel+klein/-daniel-klein-watch-with-5-pcs-bracelet-gift-set/30066973/buy
12,Women Bracelet & Watch Set,Rs.6650,Rs.2499,No image found,https://www.myntra.comwatch-gift-set/daniel+klein/daniel-klein-women-bracelet--watch-gift-set-dkg003-4/26245600/buy
13,Men Stainless Steel Straps Watch,No MRP found,No discounted price found,No image found,https://www.myntra.comwatches/titan/titan-men-dial--stainless-steel-bracelet-style-straps-analogue-watch-1829km06/30006233/buy
14,Women Solid Watch Gift Set,Rs.11199,Rs.2127,No image found,https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-solid-watch-gift-set/24765902/buy
15,Women Watch Gift Set,Rs.5995,Rs.1079,No image found,https://www.myntra.comwatch-gift-set/dressberry/dressberry-women-watch-gift-set-dbwj24-set-20-/30113212/buy
16,Men Leather Straps Watch,Rs.13295,Rs.11167,No image found,https://www.myntra.comwatches/titan/titan-men-textured-dial--leather-straps-analogue-multi-function-watch-90171nl01/25305134/buy
17,Women Watch & Bracelet Stack,Rs.5298,Rs.1059,No image found,https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-rose-gold--white-watch--bracelet-stack-/18214172/buy
18,Women Watch Gift Set,Rs.5995,Rs.1199,No image found,https://www.myntra.comwatch-gift-set/dressberry/-dressberry-women-watch-gift-set-dbwj24-set-32/30113199/buy
19,Women Brass Dial & Watch,Rs.2835,Rs.2381,No image found,https://www.myntra.comwatches/titan/titan-women-white-brass-dial--rose-gold-toned-straps-analogue-watch-2656wm01/15324508/buy
