,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
4,"Lenovo 300 USB Combo, Full-Size Wired Keyboard & Mouse, Ergonomic, Left or Right Hand Mouse, Optical Mouse, GX30M39606, Black","INR 1,676.64","INR 1,173.40",4.5,769,https://m.media-amazon.com/images/I/618XQJIYj5L._AC_UY218_.jpg
8,"Rii Gaming Keyboard and Mouse Set, 3-LED Backlit Mechanical Feel Business Office Keyboard Colorful Breathing Backlit Gaming Mouse for Working or Primer Gaming,Office Device (RK108)","INR 1,592.77","INR 1,425.02",4.5,"3,839",https://m.media-amazon.com/images/I/71NUnmd5m4L._AC_UY218_.jpg
7,"Rii Three Colors Backlit Keyboard and Mouse, Wired Keyboard and Mouse Combo, USB Keyboard and Mouse Set,Quiet Input Gaming Keyboard,Optical RGB Mouse for School,Office,Business and Gaming","INR 1,928.26","INR 1,676.64",4.5,"4,805",https://m.media-amazon.com/images/I/71WdQbOO2WL._AC_UY218_.jpg
16,"CHONCHOW LED Keyboard and Mouse, 104 Keys Rainbow Backlit Keyboard and 7 Color RGB Mouse, White Gaming Keyboard and Mouse Combo for PC Laptop Xbox PS4 Gamers and Work","INR 2,515.38","INR 1,676.64",4.4,"1,523",https://m.media-amazon.com/images/I/61PUrOCDZWL._AC_UY218_.jpg
15,"Wireless Keyboard and Mouse Combo, Lovaky 2.4G Full-Sized Ergonomic Keyboard Mouse, 3 DPI Adjustable Cordless USB Keyboard and Mouse, Quiet Click for Computer/Laptop/Windows/Mac (1 Pack, Black)","INR 2,515.38","INR 1,735.35",4.2,"7,104",https://m.media-amazon.com/images/I/619xEG-HNNL._AC_UY218_.jpg
12,"Wireless Keyboard and Mouse, Trueque Silent 2.4GHz Cordless Full Size USB Mouse Combo, Long Battery Life, Lag-Free for Computer, Laptop, PC, Windows, Mac, Chrome OS (Black)","INR 2,767.00","INR 1,844.39",4.3,"1,824",https://m.media-amazon.com/images/I/61UeRE9eEjL._AC_UY218_.jpg
3,"Wireless Keyboard and Mouse Combo, Full-Sized Wireless Keyboard and Adjustable DPI Mouse, 2.4GHz USB Receiver, Wireless Keyboard and Mouse for PC, Windows, Desktop, Laptop (Purple)","INR 2,263.76","INR 1,844.39",4.2,775,https://m.media-amazon.com/images/I/61eqvxNHQ0L._AC_UY218_.jpg
20,"Lenovo 510 Wireless Keyboard & Mouse Combo, 2.4 GHz Nano USB Receiver, Full Size, Island Key Design, Left or Right Hand, 1200 DPI Optical Mouse, GX30N81775, Black","INR 3,354.12","INR 1,928.26",4.4,"2,099",https://m.media-amazon.com/images/I/61JfL9WWBfL._AC_UY218_.jpg
11,"AULA Keyboard, T102 104 Keys Gaming Keyboard and Mouse Combo with RGB Backlit Quiet Computer Keyboard, All-Metal Panel, Waterproof Light Up PC Keyboard, USB Wired Keyboard for MAC Xbox PC Gamers","INR 3,605.74","INR 2,515.38",4.4,"1,852",https://m.media-amazon.com/images/I/71cd3Qs3fEL._AC_UY218_.jpg
22,"seenda Wireless Keyboard and Mouse, USB & Type C Keyboard Mouse Combo, Full Size White Wireless Keyboard Compatible for Win 7/8/10, MacBook Pro/Air, Laptop, PC - White","INR 3,354.12","INR 2,515.38",4.4,"1,683",https://m.media-amazon.com/images/I/61RPltO1qRL._AC_UY218_.jpg
10,"Wireless Keyboard and Mouse, Wrist Rest, Phone Holder, Batteries Included, 2.4G Lag-Free Ergonomic Keyboards Mouse Combo, Silent Keyboard Cordless Set for Computer, Laptop, PC, Mac, Windows -SABLUTE","INR 2,934.75","INR 2,767.00",4.4,66,https://m.media-amazon.com/images/I/61cOsvebMgL._AC_UY218_.jpg
2,"Wireless Keyboard and Mouse Combo - Full-Sized Ergonomic Keyboard with Wrist Rest, Phone Holder, Sleep Mode, Silent 2.4GHz Cordless Keyboard Mouse Combo for Computer, Laptop, PC, Mac, Windows -Trueque","INR 3,354.12","INR 2,767.00",4.1,773,https://m.media-amazon.com/images/I/71vRBgUoLeL._AC_UY218_.jpg
9,"Logitech MK470 Slim Wireless Keyboard and Mouse Combo - Modern Compact Layout, Ultra Quiet, 2.4 GHz USB Receiver, Plug n' Play Connectivity, Compatible with Windows - Graphite","INR 4,192.86","INR 3,771.81",4.5,"6,203",https://m.media-amazon.com/images/I/617Z1AjGmgL._AC_UY218_.jpg
