,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
0,Men Gamor Regular Fit Polo,Rs.3499,Rs.1749,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318802/2024/5/3/8d12f0d0-c0b6-48e4-9a9e-18342c6a80b41714702221929RARERABBITMenPoloCollarAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-gamor-polo-collar-short-sleeves-t-shirt/29318802/buy,4.2,62
1,Men Rings Regular Fit Polo,Rs.3599,Rs.2699,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29936364/2024/6/10/3c5c1111-1cb2-4b53-baa7-6f495f484a741718040270687RARERABBITMenT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-rings-self-design-polo-collar-t-shirt/29936364/buy,4,46
2,Polo Collar Lounge Tshirts,No MRP found,No discounted price found,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28138200/2024/8/14/02d73961-eb5d-4fba-94b6-918f434108931723609077112-Lux-Cozi-Polo-Collar-Lounge-Tshirts-4261723609076603-2.jpg",https://www.myntra.comlounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138200/buy,4.1,2.1k
3,Waffle Lounge Tshirts,Rs.799,Rs.751,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28874520/2024/5/31/76ada0e1-40a7-4f39-914e-b97927d653f01717151559728-DAMENSCH-Sleeveless-Statement-Waffle-Lounge-Tshirts-10417171-1.jpg",https://www.myntra.comlounge-tshirts/damensch/damensch-sleeveless-statement-waffle-lounge-tshirts/28874520/buy,4.4,205
4,Men Printed Cotton T-shirt,Rs.1799,Rs.1169,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21511282/2023/12/18/84ed3262-79e0-4e51-83cf-d736aef668a31702897406562RARERABBITMenPrintedSlimFitCottonT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-jitter-printed-slim-fit-cotton-t-shirt/21511282/buy,4.3,135
5,Women Fitted Tshirts,No MRP found,No discounted price found,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30154454/2024/7/9/90941655-94af-45a5-90c8-998546fe26bd1720490110956HMWomenFittedTshirts1.jpg",https://www.myntra.comtshirts/h%26m/hm-women-fitted-tshirts/30154454/buy,3.3,22
6,Infants Boys Jersey  Tshirts,No MRP found,No discounted price found,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30295106/2024/7/22/85b06d28-8557-4a92-a956-2cb094e4362c1721644924387CottonjerseyT-shirt1.jpg",https://www.myntra.comtshirts/h%26m/-hm-infants-boys-cotton-jersey--tshirts/30295106/buy,4.6,29
7,Pure Cotton Slim Fit T-shirt,Rs.1599,Rs.1439,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26315924/2024/3/7/b4d19cf7-675d-4a85-8e8b-2ffccb8f008c1709812354300-Levis-Men-Tshirts-4311709812353877-1.jpg",https://www.myntra.comtshirts/levis/levis-brand-logo-printed-pure-cotton-slim-fit-t-shirt/26315924/buy,4.4,130
8,Women Printed Slim Fit Cotton Lounge Tshirts,Rs.729,Rs.707,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19640526/2022/8/24/1e66615a-b952-4ed4-b99e-6cabbab1b2c61661346247422EnamorWomensEssentialsE247-ShortSleeveCrewNeckSlimFitStretch1.jpg",https://www.myntra.comlounge-tshirts/enamor/enamor-women-black-printed-slim-fit-cotton-lounge-tshirts/19640526/buy,4.1,107
9,Polo Collar Lounge Tshirts,No MRP found,No discounted price found,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28138202/2024/8/14/7c3c7097-f05a-4fa4-a1fb-655a0d252b691723609081476-Lux-Cozi-Polo-Collar-Lounge-Tshirts-8561723609080865-2.jpg",https://www.myntra.comlounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138202/buy,4.1,2.1k
10,Men Polo Collar Applique T-shirt,No MRP found,No discounted price found,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28918244/2024/4/13/8a3fafcc-9eb5-4762-bd6d-df3122b54fc71713010587551ArrowSportMenPoloCollarAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/arrow+sport/arrow-sport-men-polo-collar-applique-t-shirt/28918244/buy,No rating found,No rating count found
11,Polo Collar Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138206/buy,4.1,2k
12,Training Rapid-Dry Tshirts,Rs.699,Rs.384,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-training-women-satin-sky-rapid-dry-brand-carrier-tshirts/17784272/buy,4.4,2.5k
13,Cotton Slim Fit T-shirt,Rs.1699,Rs.849,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/lee/lee-striped-polo-collar-cotton-slim-fit-t-shirt/24133118/buy,4.5,34
14,Pure Cotton Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-women-printed-v-neck-short-sleeves-pure-cotton-lounge-tshirts/30305641/buy,No rating found,No rating count found
15,Cotton Lounge Tshirts,Rs.599,Rs.389,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/xyxx/xyxx-cotton-round-neck-lounge-tshirts/22203976/buy,4.3,853
16,Women Printed Polo T-Shirt,Rs.1699,Rs.1325,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-brand-logo-printed-polo-collar-cotton-t-shirt/30386063/buy,4.6,9
17,Polo Collar Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138238/buy,4.1,2.1k
18,V-Neck Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-v-neck-lounge-tshirts/28652118/buy,4.6,30
19,Slim Fit Cotton T-Shirt,Rs.2599,Rs.1299,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/lee/lee-striped-polo-collar-slim-fit-cotton-t-shirt/24609642/buy,4.3,26
20,Training Rapid-Dry Tshirts,Rs.699,Rs.321,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-training-women-jet-black-rapid-dry-brand-carrier-tshirts/17784274/buy,4.4,2.5k
21,Non-Fading Hi-IQ Polo T-shirt,Rs.1499,Rs.359,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/ether/ether-men-orange-non-fading-hi-iq-polo-t-shirt/7597540/buy,4.3,797
22,Women Typography Printed T-shirt,Rs.1099,Rs.824,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-women-typography-printed-extended-sleeves-pure-cotton-t-shirt/30591597/buy,No rating found,No rating count found
23,Polo Collar Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138210/buy,4.1,2.1k
24,Polo Collar Lounge Tshirts,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/lux+cozi/lux-cozi-polo-collar-lounge-tshirts/28138228/buy,4.1,2.1k
25,Men Rique Regular Fit Polo,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-rique-solid-polo-collar-typography-t-shirt/29951926/buy,4.3,13
