,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
0,Vyb Halo Analogue Watch,Rs.2785,Rs.1643,No image found,https://www.myntra.comwatches/fastrack/fastrack-vyb-halo-women-dial--bracelet-style-straps-analogue-watch-fv60035wm01w/28138054/buy,4,87
1,Women Brass Dial & Stainless Steel Straps Watch,Rs.5995,Rs.5095,No image found,https://www.myntra.comwatches/titan/titan-women-brown-brass-dial--brown-stainless-steel-bracelet-style-straps-analogue-watch-2608qm02/20874644/buy,4.6,348
2,Women Analogue Watch,Rs.3299,Rs.791,No image found,https://www.myntra.comwatches/dressberry/dressberry-women-mauve-analogue-watch/2278228/buy,4.4,42.6k
3,Unisex Analogue Watch,Rs.995,Rs.587,No image found,https://www.myntra.comwatches/fastrack/fastrack-unisex-analogue-watch-68012pp13/15229356/buy,4.4,57
4,Watches,Rs.12495,Rs.6497,No image found,https://www.myntra.comwatches/fossil/fossil-men-black-dial-chronograph-watch-ch2600/21670/buy,4.5,855
5,Women Watch Gift Set,Rs.6950,Rs.3127,No image found,https://www.myntra.comwatch-gift-set/french+connection/french-connection-women-watch-gift-set-fcw04gm/25411348/buy,4.7,19
6,Women Watch & Bracelet,No MRP found,No discounted price found,No image found,https://www.myntra.comwatch-gift-set/fastrack/fastrack-women-pulse-20-bracelet-style-straps-analogue-watch-with-bracelet/28178702/buy,No rating found,No rating count found
7,Women Watch Gift Set,No MRP found,No discounted price found,No image found,https://www.myntra.comwatches/armani+exchange/armani-exchange-women-watch-gift-set-ax7145set/21540458/buy,4.7,27
8,Women Lily Watch Gift Set,Rs.6597,Rs.1319,No image found,https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-gold-toned--white-lily-watch-gift-set-jwbs408/15101392/buy,4.2,580
9,Kids Analogue Watch,No MRP found,No discounted price found,No image found,https://www.myntra.comwatches/young+mission/young-mission-better-watches-kids-printed-dial--straps-analogue-watch-1192-bk/29273366/buy,No rating found,No rating count found
10,Women Pyper Analogue Watch,Rs.14995,Rs.8097,No image found,https://www.myntra.comwatches/michael+kors/michael-kors-women-rose-gold-pyper-analogue-watch-mk3897/10899600/buy,4.6,659
11,Watch & 5 Pcs Bracelet Gift,Rs.6650,Rs.2394,https://assets.myntassets.com/No image found,https://www.myntra.comwatch-gift-set/daniel+klein/-daniel-klein-watch-with-5-pcs-bracelet-gift-set/30066973/buy,3.7,13
12,Women Bracelet & Watch Set,Rs.6650,Rs.2499,https://assets.myntassets.com/No image found,https://www.myntra.comwatch-gift-set/daniel+klein/daniel-klein-women-bracelet--watch-gift-set-dkg003-4/26245600/buy,No rating found,No rating count found
13,Women Brass Analogue Watch,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comwatches/fastrack/fastrack-women-brass-embellished-dial--bracelet-style-straps-analogue-watch-fv60011wm01w/27151062/buy,4.6,23
14,Women Solid Watch Gift Set,Rs.11199,Rs.2127,https://assets.myntassets.com/No image found,https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-solid-watch-gift-set/24765902/buy,No rating found,No rating count found
15,Women Watch Gift Set,Rs.5995,Rs.1079,https://assets.myntassets.com/No image found,https://www.myntra.comwatch-gift-set/dressberry/dressberry-women-watch-gift-set-dbwj24-set-20-/30113212/buy,No rating found,No rating count found
