,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
16,"Hanes Men’s X-Temp Short Sleeve Polo Shirt, Midweight Men's Shirt","INR 1,593.17","INR 1,048.14",4.5,"26,527",https://m.media-amazon.com/images/I/61YHKoOZ4vL._AC_UL320_.jpg
46,Stain Shield Dress Shirts for Men Long Sleeve Mens Dress Shirts Slim Fit Casual Button Down Shirts Big Shirts,"INR 1,508.48","INR 1,256.93",4.4,152,https://m.media-amazon.com/images/I/61hERDUAGDL._AC_UL320_.jpg
38,BALEAF Sun Shirt Women Long Sleeve UV Protection Shirts UPF 50+ Pochet SPF Tops Outdoor Clothing,"INR 2,766.24","INR 1,407.86",4.4,256,https://m.media-amazon.com/images/I/61uX5IMLXHL._AC_UL320_.jpg
14,Lucky Brand Mens Venice Burnout Notch Neck Tee,"INR 2,892.86","INR 1,562.14",4.5,"9,136",https://m.media-amazon.com/images/I/917vcFp1ybL._AC_UL320_.jpg
31,Under Armour Men's Tech 2.0 Short-Sleeve T-Shirt,"INR 2,096.28","INR 1,676.18",4.5,"94,405",https://m.media-amazon.com/images/I/71k3aD8OHYL._AC_UL320_.jpg
40,Mens Linen Shirts Short Sleeve Button Up Casual Lightweight Solid Shirt Stylish Cuban Guayabera Beach Tops,"INR 2,095.44","INR 1,781.00",4.5,208,https://m.media-amazon.com/images/I/718DkqqvceL._AC_UL320_.jpg
18,Van Heusen Men's Dress Shirt Regular Fit Poplin Solid,"INR 2,635.44","INR 1,843.88",4.4,"36,810",https://m.media-amazon.com/images/I/61RjucsfoKL._AC_UL320_.jpg
41,Alex Vando Mens Printed Dress Shirts Long Sleeve Regular Fit Button Down Shirt,"INR 3,269.35","INR 1,969.66",4.4,"4,539",https://m.media-amazon.com/images/I/81UlQg9u4IL._AC_UL320_.jpg
9,Amazon Essentials Men's Regular-Fit Long-Sleeve Casual Poplin Shirt,"INR 2,087.89","INR 1,987.27",4.4,"31,757",https://m.media-amazon.com/images/I/81sH0QitrZL._AC_UL320_.jpg
7,COOFANDY Men's Henley Shirts Short Sleeve Casual Basic Tee Summer Button Henley Soild T Shirts,"INR 2,263.14","INR 2,095.44",4.5,322,https://m.media-amazon.com/images/I/717Vt-M4G9L._AC_UL320_.jpg
27,COOFANDY Men's Dress Shirts Long Sleeve Button Up Shirts Formal Business Shirt,"INR 2,682.39","INR 2,346.99",4.3,244,https://m.media-amazon.com/images/I/71skSZsoUJL._AC_UL320_.jpg
32,Men's Pique Polo Shirts Long Sleeve Cotton Blend Tipped Casual Collared Polo Shirt Business Classic Fit,"INR 2,930.59","INR 2,762.89",4.5,198,https://m.media-amazon.com/images/I/513OKiVc66L._AC_UL320_.jpg
24,"Hanes Men's T-Shirts, Men's BeefyT Henley Shirts, Men's Cotton Long Sleeve Shirts","INR 1,677.02",INR 638.94,4.5,"84,049",https://m.media-amazon.com/images/I/61EEeRr-hjL._AC_UL320_.jpg
