,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
0,No title found,No MRP found,No discounted price found,No rating found,No rating count found,No image found
1,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",No MRP found,$19.97,4.6 out of 5 stars,"295,214",https://m.media-amazon.com/images/I/710o0VupScL._AC_UL320_.jpg
2,Fruit of the Loom Men's Eversoft Cotton Stay Tucked Crew T-Shirt,No MRP found,$21.48,4.6 out of 5 stars,"126,655",https://m.media-amazon.com/images/I/71GX5QGOKsL._AC_UL320_.jpg
3,"Hanes Men's Pocket Undershirt Pack, Cotton Crew Neck T-Shirt, Moisture Wicking Tee, Assorted 6-Pack",No MRP found,$21.98,4.4 out of 5 stars,"26,094",https://m.media-amazon.com/images/I/61NxWlAdrpL._AC_UL320_.jpg
4,Fresh Clean Threads Crew Neck T-Shirt Pack for Men - Pre Shrunk Soft Fitted Premium Classic Tee - Men's T Shirts Cotton Poly,$36.99,$76.00,4.3 out of 5 stars,217,https://m.media-amazon.com/images/I/51rtZmHTbpL._AC_UL320_.jpg
5,Fresh Clean Threads Crew Neck T-Shirt Pack for Men - Pre Shrunk Soft Fitted Premium Classic Tee - Men's T Shirts Cotton Poly,No MRP found,$76.00,4.3 out of 5 stars,217,https://m.media-amazon.com/images/I/51rtZmHTbpL._AC_UL320_.jpg
6,"Legendary Whitetails Men's Buck Camp Flannel, Long Sleeve Plaid Button Down Casual Shirt, Corduroy Cuffs",No MRP found,$34.99,4.6 out of 5 stars,"88,225",https://m.media-amazon.com/images/I/71g3ehhZ18L._AC_UL320_.jpg
7,COOFANDY Mens Casual Wrinkle Free Shirts Short Sleeve Button Down Summer Stretch Dress Shirt,No MRP found,$29.99,4.2 out of 5 stars,487,https://m.media-amazon.com/images/I/71IVO7rTYYL._AC_UL320_.jpg
8,COOFANDY Mens Button Down Short Sleeve Shirt Casual Shirts Summer Beach Textured Shirts with Pocket,No MRP found,$25.99,4.3 out of 5 stars,227,https://m.media-amazon.com/images/I/71I3rB+xBTL._AC_UL320_.jpg
9,COOFANDY Mens Casual Button Down Shirts Long Sleeve Untucked Shirts for Men Stretch Dress Shirt,$36.99,$19.99,4.1 out of 5 stars,"5,063",https://m.media-amazon.com/images/I/71vDVyC3TIL._AC_UL320_.jpg
10,No title found,No MRP found,No discounted price found,No rating found,No rating count found,No image found
11,COOFANDY Men's Linen Shirts Short Sleeve Casual Shirts Button Down Shirt for Men Beach Summer Wedding Shirt,$34.99,$29.99,4.3 out of 5 stars,"3,946",https://m.media-amazon.com/images/I/81TSrTXy8TL._AC_UL320_.jpg
12,Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt,No MRP found,$19.99,4.6 out of 5 stars,"108,613",https://m.media-amazon.com/images/I/814hp8QMsjL._AC_UL320_.jpg
13,"Hanes Men's T-Shirt, Beefy-T Heavyweight Cotton Crewneck Tee, 1 or 2 Pack, Available in Tall Sizes",No MRP found,No discounted price found,4.5 out of 5 stars,"64,871",https://m.media-amazon.com/images/I/71zRMNf2uvL._AC_UL320_.jpg
14,"Hanes Men's Cotton, Moisture-Wicking Crew Tee Undershirts, Multi-Packs Available",$22.00,$15.40,4.5 out of 5 stars,"69,176",https://m.media-amazon.com/images/I/71ueRA6JRFL._AC_UL320_.jpg
