Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Pure Cotton T-shirt,Rs.599,Rs.203,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2312468/2018/2/21/11519195992929-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-1.jpg",https://www.myntra.comtshirts/roadster/the-roadster-lifestyle-co-pure-cotton-t-shirt/2312468/buy,4,41.2k
Kids Colourblocked T-shirt,Rs.1499,Rs.599,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21807134/2023/5/17/de60bace-a1fc-4a1a-8c48-b23547af44c11684303189268MarksSpencerKidsMonochromeT-shirt1.jpg",https://www.myntra.comtshirts/marks+%26+spencer/marks--spencer-kids-monochrome-t-shirt/21807134/buy,4.2,17
Kids Typography Printed Applique T-shirt,Rs.499,Rs.399,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18744918/2022/6/15/868d1ffd-5af1-4494-a6a8-b868c8e006c31655304285858BeAwaraPrintedHalfSleevesT-ShirtForKids1.jpg",https://www.myntra.comtshirts/be+awara/be-awara-kids-white--platinum-typography-printed-applique-t-shirt/18744918/buy,4.5,834
Printed Cotton T-shirt,Rs.1499,Rs.704,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24357700/2023/8/5/07a5b0c0-58d1-4939-aeb5-5b8bd3cf39961691231422609CrazymonkUnisexLavenderPrintedPocketsT-shirt1.jpg",https://www.myntra.comtshirts/crazymonk/crazymonk-unisex-anime-printed-oversized-t-shirt/24357700/buy,4.3,543
Harry Potter Sequinned T-shirt,Rs.550,Rs.451,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13980360/2024/3/16/1743aa05-028c-43cd-baa8-1427226666751710560950242-Nap-Chief-Kids-Reversible-Black-Harry-Potter-Sequinned-Round-1.jpg",https://www.myntra.comtshirts/nap+chief/nap-chief-kids-reversible-black-harry-potter-sequinned-round-neck-t-shirt/13980360/buy,4.6,706
Unisex Printed Cotton T-shirt,Rs.1499,Rs.799,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25901158/2023/11/16/c9e715d5-fef4-42c3-885f-b377529ab7fa1700125472717AeroArmourUnisexWhiteT-shirt1.jpg",https://www.myntra.comtshirts/aero+armour/aero-armour-unisex-airforce-pride-printed-pure-cotton-t-shirt/25901158/buy,4.1,32
Cotton Lounge T-shirt,Rs.649,Rs.382,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28526204/2024/3/27/611250df-055a-48bf-8700-4ff5dfdc3b3d1711512160515PepeJeansMensAthleisuresolidcottonSleevelessMuscleT-shirt1.jpg",https://www.myntra.comlounge-tshirts/pepe+jeans/pepe-jeans-cotton-sleeveless-lounge-t-shirt/28526204/buy,4.1,441
Unisex Printed Applique T-shirt,Rs.1499,Rs.704,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27726498/2024/2/20/0f86d9a1-6b44-4f33-bc84-8a4edd1c99201708432802056CrazymonkUnisexPrintedAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/crazymonk/crazymonk-toji-fushigro-anime-oversized-cotton-drop-shoulder-t-shirts/27726498/buy,4.4,19
Cotton Slim Fit T-shirt,Rs.1699,Rs.1274,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24300752/2023/8/2/ab616882-b939-49b8-a3bb-90d31339f0b01690945481199USPoloAssnWomenWomenRustColourblockedMandarinCollarExtendedS1.jpg",https://www.myntra.comtshirts/u.s.+polo+assn.+women/us-polo-assn-women-polo-collar-slim-fit-cotton-t-shirt/24300752/buy,4.5,234
Polo Collar Slim Fit T-shirt,Rs.1599,Rs.1039,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25819602/2023/12/8/705599f9-c3c3-4eff-a79b-3bef47fb622b1702015956222-Louis-Philippe-Sport-Men-Tshirts-6471702015955769-1.jpg",https://www.myntra.comtshirts/louis+philippe+sport/louis-philippe-sport-solid-polo-collar-slim-fit-t-shirt/25819602/buy,4.5,3.2k
Polo Neck Tshirts,Rs.2199,Rs.989,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24589030/2023/8/22/d9161a30-9d29-4f9a-8dd8-2c1226369a061692725795653ReebokPoloNeckTshirts1.jpg",https://www.myntra.comtshirts/reebok/reebok-polo-neck-tshirts/24589030/buy,4.7,38
Polo Collar Slim Fit T-shirt,Rs.1599,Rs.1087,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26823324/2024/2/2/0ce30d1a-fee4-45b0-96b3-116e2dcb3bd81706849233305-Louis-Philippe-Sport-Men-Tshirts-5901706849233020-1.jpg",https://www.myntra.comtshirts/louis+philippe+sport/louis-philippe-sport-solid-polo-collar-slim-fit-casual-t-shirt/26823324/buy,4.5,3.2k
