,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
0,Men Gamor Regular Fit Polo,Rs.3499,Rs.1749,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29318802/2024/5/3/8d12f0d0-c0b6-48e4-9a9e-18342c6a80b41714702221929RARERABBITMenPoloCollarAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-gamor-polo-collar-short-sleeves-t-shirt/29318802/buy,4.2,62
1,Men Rings Regular Fit Polo,Rs.3599,Rs.2699,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29936364/2024/6/10/3c5c1111-1cb2-4b53-baa7-6f495f484a741718040270687RARERABBITMenT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-rings-self-design-polo-collar-t-shirt/29936364/buy,4,46
2,Unisex Bio Finish Applique T-shirt,No MRP found,No discounted price found,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/14/FHnS45f7_e3f6a4b655d341cd898d73a38d57e642.jpg",https://www.myntra.comtshirts/bollywoo.ooo/bollywooooo-unisex-drop-shoulder-sleeves-bio-finish-applique-t-shirt/30587091/buy,No rating found,No rating count found
3,Round Neck Lounge T-shirt,Rs.1049,Rs.629,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30220006/2024/7/15/f14f9566-2086-4f70-8d42-a8047f87865b1721036600192LoungeTshirts1.jpg",https://www.myntra.comlounge-tshirts/kanvin/kanvin-women-printed-round-neck-short-sleeves-cotton-above-knee-lounge-t-shirt/30220006/buy,No rating found,No rating count found
4,Men Printed Cotton T-shirt,Rs.1799,Rs.1169,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21511282/2023/12/18/84ed3262-79e0-4e51-83cf-d736aef668a31702897406562RARERABBITMenPrintedSlimFitCottonT-shirt1.jpg",https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-jitter-printed-slim-fit-cotton-t-shirt/21511282/buy,4.3,135
5,Kids Colourblocked T-shirt,Rs.1499,Rs.599,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21807134/2023/5/17/de60bace-a1fc-4a1a-8c48-b23547af44c11684303189268MarksSpencerKidsMonochromeT-shirt1.jpg",https://www.myntra.comtshirts/marks+%26+spencer/marks--spencer-kids-monochrome-t-shirt/21807134/buy,4.2,17
6,Unisex Luffy Gear T-shirt,Rs.1499,Rs.704,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24635498/2023/9/6/4b3a4803-42a0-41f7-827e-30be521745be1693979647861-Crazymonk-Unisex-Black-Printed-Applique-T-shirt-171693979647-3.jpg",https://www.myntra.comtshirts/crazymonk/crazymonk-unisex-luffy-gear-5-anime-printed-cotton-oversized-t-shirt/24635498/buy,4.4,144
7,Pure Cotton Slim Fit T-shirt,Rs.1599,Rs.1439,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26315924/2024/3/7/b4d19cf7-675d-4a85-8e8b-2ffccb8f008c1709812354300-Levis-Men-Tshirts-4311709812353877-1.jpg",https://www.myntra.comtshirts/levis/levis-brand-logo-printed-pure-cotton-slim-fit-t-shirt/26315924/buy,4.4,130
8,Cotton Lounge T-shirt,Rs.649,Rs.382,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28526204/2024/3/27/611250df-055a-48bf-8700-4ff5dfdc3b3d1711512160515PepeJeansMensAthleisuresolidcottonSleevelessMuscleT-shirt1.jpg",https://www.myntra.comlounge-tshirts/pepe+jeans/pepe-jeans-cotton-sleeveless-lounge-t-shirt/28526204/buy,4.1,431
9,Kids Printed Cotton T-Shirt,Rs.1499,Rs.899,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28053964/2024/3/5/907ebbef-3219-495d-8d97-1433d452aff71709652292837ClassicsPrintedYouthT-shirt1.jpg",https://www.myntra.comtshirts/puma/puma-kids-classics-printed-cotton-t-shirt/28053964/buy,4.9,7
10,Men Polo Collar Applique T-shirt,No MRP found,No discounted price found,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28918244/2024/4/13/8a3fafcc-9eb5-4762-bd6d-df3122b54fc71713010587551ArrowSportMenPoloCollarAppliqueT-shirt1.jpg",https://www.myntra.comtshirts/arrow+sport/arrow-sport-men-polo-collar-applique-t-shirt/28918244/buy,No rating found,No rating count found
11,Kids Printed T-shirt,Rs.2970,Rs.742,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/nap+chief/nap-chief-kids-pack-of-3-typography-printed-t-shirt/29933136/buy,No rating found,No rating count found
12,Pure Cotton T-shirt,Rs.599,Rs.173,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/roadster/the-roadster-lifestyle-co-pure-cotton-t-shirt/2312468/buy,4,41.2k
13,Cotton Slim Fit T-shirt,Rs.1699,Rs.849,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/lee/lee-striped-polo-collar-cotton-slim-fit-t-shirt/24133118/buy,4.5,34
14,Cotton Oversized T-Shirt,Rs.1299,Rs.402,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/dillinger/dillinger-women-blue-printed-pure-cotton-loose-graphic-oversized-t-shirt/17132720/buy,4.5,7.3k
15,Boys Pack Of 3 Cotton T-shirt,Rs.3897,Rs.467,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/hellcat/hellcat-boys-pack-of-3-printed-cotton-t-shirt/22204272/buy,4.1,3.4k
16,Slim Fit Cotton T-Shirt,Rs.2599,Rs.1299,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/lee/lee-striped-polo-collar-slim-fit-cotton-t-shirt/24609642/buy,4.3,26
17,Printed Cotton Lounge T-Shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-geometric-printed-pure-cotton-lounge-t-shirt/27329038/buy,4.6,81
18,Kids Typography Printed Applique T-shirt,Rs.499,Rs.399,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/be+awara/be-awara-kids-pink-typography-printed-applique-t-shirt/18744938/buy,4.5,834
19,Men Solid Cotton T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/arrow+sport/arrow-sport-men-black-solid-polo-collar-cotton-t-shirt/20747790/buy,4.1,53
20,Women Typography Printed Loose T-shirt,Rs.1299,Rs.597,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/dillinger/dillinger-women-red--beige-typography-printed-pure-cotton-loose-t-shirt/17692896/buy,4.1,3.2k
21,Women Solid Lounge T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/jockey/jockey-cotton-rich-solid-curved-hem-styled-tank-top/17857186/buy,4.5,581
22,Men Rique Regular Fit Polo,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/rare+rabbit/rare-rabbit-men-rique-solid-polo-collar-typography-t-shirt/29951926/buy,4.3,13
23,Oversized Fit Cotton T-shirt,Rs.1499,Rs.499,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/bewakoof/bewakoof-graphic-printed-drop-shoulder-sleeves-oversized-fit-cotton-t-shirt/22581018/buy,4.4,560
24,Printed Lounge T-shirt,Rs.1049,Rs.629,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/kanvin/kanvin-printed-drop-shoulder-lounge-t-shirt/30219989/buy,No rating found,No rating count found
25,Men Polo Collar Cotton T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comtshirts/arrow+sport/arrow-sport-men-polo-collar-cotton-t-shirt/21495198/buy,4.1,53
26,Women Printed Lounge T-shirt,No MRP found,No discounted price found,https://assets.myntassets.com/No image found,https://www.myntra.comlounge-tshirts/van+heusen/van-heusen-women-printed-v-neck-short-sleeve-lounge-t-shirt/15286570/buy,4.2,94
