,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
90,I Survived Capitalism and All I Got Was This Lousy T-Shirt: Everything I Wish I Never Had to Learn About Money,"INR 1,509.73",INR 0.00,4.9,257,https://m.media-amazon.com/images/I/81i6ACqJbJL._AC_UL320_.jpg
130,I Survived Capitalism and All I Got Was This Lousy T-Shirt: Everything I Wish I Never Had to Learn About Money,"INR 1,509.73",INR 0.00,4.9,257,https://m.media-amazon.com/images/I/81i6ACqJbJL._AC_UL320_.jpg
170,I Survived Capitalism and All I Got Was This Lousy T-Shirt: Everything I Wish I Never Had to Learn About Money,"INR 1,509.73",INR 0.00,4.9,257,https://m.media-amazon.com/images/I/81i6ACqJbJL._AC_UL320_.jpg
44,T-Shirt Swim Club: Stories from Being Fat in a World of Thin People,"INR 1,509.73",INR 0.00,4.8,176,https://m.media-amazon.com/images/I/915-92QDObL._AC_UL320_.jpg
48,"This Is Not a T-Shirt: A Brand, a Culture, a Community - a Life in Streetwear","INR 1,257.27",INR 0.00,4.8,"1,081",https://m.media-amazon.com/images/I/710xlfI+PRL._AC_UL320_.jpg
59,T-Shirt Swim Club: Stories from Being Fat in a World of Thin People,"INR 1,509.73",INR 0.00,4.8,176,https://m.media-amazon.com/images/I/915-92QDObL._AC_UL320_.jpg
68,"This Is Not a T-Shirt: A Brand, a Culture, a Community - a Life in Streetwear","INR 1,257.27",INR 0.00,4.8,"1,081",https://m.media-amazon.com/images/I/710xlfI+PRL._AC_UL320_.jpg
85,T-Shirt Entrepreneur,INR 331.30,INR 0.00,3.8,12,https://m.media-amazon.com/images/I/817lSgZ76LL._AC_UL320_.jpg
121,T-Shirt Entrepreneur,INR 331.30,INR 0.00,3.8,12,https://m.media-amazon.com/images/I/817lSgZ76LL._AC_UL320_.jpg
216,"Hanes Womens Underwire T-Shirt Bra, No-Poke Dreamwire Full-Coverage Bra, X-Temp","INR 1,504.70","INR 1,000.62",4.4,146,https://m.media-amazon.com/images/I/71Kbqd1NZ8L._AC_UL320_.jpg
29,Abardsion 2024 Women Casual Activewear T Shirts Basic Crewneck Raglan Short Sleeve Slim Tight Fit Going Out Tops,"INR 1,257.27","INR 1,005.65",4.3,425,https://m.media-amazon.com/images/I/71w18dx9GKL._AC_UL320_.jpg
