Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Women Lily Watch Gift Set,Rs.6597,Rs.1319,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15101392/2021/8/11/d9166d5e-6378-4606-857d-4a4b872088201628655516246JOKERWITCHWomenGold-TonedWhiteLilyWatchGiftSetJWBS4081.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-gold-toned--white-lily-watch-gift-set-jwbs408/15101392/buy,4.2,640
Women Watch Gift Set,Rs.4898,Rs.979,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18214094/2023/7/18/ddf9fa3c-a365-4d84-876f-78c6595ef6901689663616286JOKERWITCHWomenRoseGold-TonedBlackWatchGiftSet1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-rose-gold-toned--black-watch-gift-set/18214094/buy,4.3,411
Women Analogue Watch,Rs.3299,Rs.791,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2278228/2022/4/19/2451411c-8346-4b8e-b228-e60351d536161650342959173-DressBerry-Women-Mauve-Analogue-Watch-1341650342959089-7.jpg",https://www.myntra.comwatches/dressberry/dressberry-women-mauve-analogue-watch/2278228/buy,4.4,43.6k
Women Watch & Bracelet,Rs.3295,Rs.2636,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28178702/2024/5/31/2a430771-e98e-4587-a9f2-6b700d3c3b561717155850434FastrackWomenPulse20BraceletStyleStrapsAnalogueWatchwithBrac1.jpg",https://www.myntra.comwatch-gift-set/fastrack/fastrack-women-pulse-20-bracelet-style-straps-analogue-watch-with-bracelet/28178702/buy,4.7,15
Women Watch Gift Set,Rs.5698,Rs.1139,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18214052/2023/7/18/4fe672e4-998a-4ba7-a2f1-9ad76cfb096c1689663815434JOKERWITCHWomenGoldWatchGiftSetJWBS6171.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-gold-watch-gift-set-jwbs617/18214052/buy,4,385
Women Bracelet & Watch Set,Rs.6650,Rs.1995,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26245596/2024/1/18/c2f05a2c-a30d-4028-bdf9-1dd692d7daca1705578037162-Daniel-Klein-Women-Bracelet--Watch-Gift-Set-DKG001-2-2971705-1.jpg",https://www.myntra.comwatch-gift-set/daniel+klein/daniel-klein-women-bracelet--watch-gift-set-dkg001-2/26245596/buy,4.8,24
Women Watch Gift Set,Rs.4899,Rs.979,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23311540/2023/5/22/81d9587f-6a20-46a1-9da5-0edd7b423fe41684745981013AstraWatchBraceletStack6.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-watch-gift-set-jwbs900/23311540/buy,4.4,83
Unisex Analogue Watch,Rs.3499,Rs.699,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13441944/2022/6/28/9eb5b2be-2c05-4d53-99b5-bedf064a66c41656395179777-JOKER--WITCH-Unisex-Black-Analogue-Watch-9691656395179688-5.jpg",https://www.myntra.comwatches/joker+%26+witch/joker--witch-unisex-black-analogue-watch/13441944/buy,4.3,867
Women Analogue Watch Gift Set,Rs.6650,Rs.1795,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26245590/2024/1/18/9ebeca1b-d518-4ed6-a932-d7deae0c09c61705577837965-Daniel-Klein-Women-Stone-Studded-Bracelet--Analogue-Watch-Gi-1.jpg",https://www.myntra.comwatch-gift-set/daniel+klein/daniel-klein-women-stone-studded-bracelet--analogue-watch-gift-set/26245590/buy,4.4,34
Poze Women Analogue Watch,Rs.1395,Rs.795,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28207560/2024/4/12/46c5f160-c279-4051-a355-8aa7c9ef10ed1712902992205SonataPozeWomenBraceletStyleStrapsAnalogueWatchSP80075KM01W1.jpg",https://www.myntra.comwatches/sonata/sonata-poze-women-bracelet-style-straps-analogue-watch-sp80075km01w/28207560/buy,4.2,157
