,Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
0,Boys Waffled Polo Shirt,No MRP found,No discounted price found,fl_progressive/assets/images/2024/AUGUST/3/bzizcZCZ_11dd1ca32d8549ecbe538e4379de45b4.jpg,https://www.myntra.comtshirts/h%26m/-hm-boys-waffled-polo-shirt/30460268/buy,No rating found,No rating count found
1,Boys 5 Pcs Cotton T-Shirts,No MRP found,No discounted price found,fl_progressive/assets/images/30154566/2024/7/9/0f0123c3-74ab-46d4-bcc7-757cbb3e62931720488127978HMBoysPackOf5CottonT-Shirts1.jpg,https://www.myntra.comtshirts/h%26m/hm-boys-pack-of-5-cotton-t-shirts/30154566/buy,4.4|18,|18
2,Women Brand Logo Tshirts,Rs.1299,Rs.1013,fl_progressive/assets/images/20127274/2022/9/22/874041a1-7a10-486b-89e7-960f7be92d341663842543099VentItOutWorkoutTee1.jpg,https://www.myntra.comlounge-tshirts/van+heusen/van-heusen-women-black-brand-logo-lounge-tshirts/20127274/buy,4.3|11,|11
3,Men Printed Lounge Tshirts,Rs.499,Rs.474,fl_progressive/assets/images/20035828/2022/9/18/407aa905-3514-4c4f-8959-f93b437009101663477127457EmbroideredKurtaPyjamaLoungeTshirtsAjilebyPantaloonsMenLoung1.jpg,https://www.myntra.comlounge-tshirts/ajile+by+pantaloons/ajile-by-pantaloons-men-printed-black-lounge-tshirts/20035828/buy,3.8|17,|17
4,Boys Textured-Knit T-Shirt,No MRP found,No discounted price found,fl_progressive/assets/images/30154506/2024/7/8/6907f3f2-6735-4ce0-8642-94a924119d351720459516830HMBoysTextured-KnitT-Shirt1.jpg,https://www.myntra.comtshirts/h%26m/hm-boys-textured-knit-t-shirt/30154506/buy,4|7,|7
5,TechPro Men Slim Fit T-shirt,Rs.2595,Rs.1816,fl_progressive/assets/images/24512884/2023/8/16/eac7097c-cf0d-46d2-9d98-849a95dc5a5d1692184768659BlackberrysMenBlackMandarinCollarPocketsSlimFitT-shirt1.jpg,https://www.myntra.comtshirts/blackberrys/blackberrys-men-black-solid-techpro-polo-tshirts/24512884/buy,4.3|6,|6
6,TechPro Men Slim Fit T-shirt,Rs.3495,Rs.2446,fl_progressive/assets/images/24512880/2023/8/16/2fe7ac14-3d47-4f2b-9c78-9041485159471692184744409BlackberrysMenBlackPoloCollarPocketsSlimFitT-shirt1.jpg,https://www.myntra.comtshirts/blackberrys/blackberrys-men-black-solid-techpro-polo-tshirts/24512880/buy,No rating found,No rating count found
7,Pure Cotton T-shirt,Rs.1999,Rs.1099,fl_progressive/assets/images/23010574/2023/5/4/59c3b9e8-47b3-4e39-afa5-46211501d14f1683145934212TrendyolMenV-NeckPocketsT-shirt1.jpg,https://www.myntra.comtshirts/trendyol/trendyol-drop-shoulder-pure-cotton-t-shirt/23010574/buy,3.5|42,|42
8,Cotton Lounge T-shirt,Rs.649,Rs.369,fl_progressive/assets/images/28526204/2024/3/27/611250df-055a-48bf-8700-4ff5dfdc3b3d1711512160515PepeJeansMensAthleisuresolidcottonSleevelessMuscleT-shirt1.jpg,https://www.myntra.comlounge-tshirts/pepe+jeans/pepe-jeans-cotton-sleeveless-lounge-t-shirt/28526204/buy,4.1|431,|431
9,Printed Cotton Lounge T-Shirt,No MRP found,No discounted price found,fl_progressive/assets/images/27329038/2024/2/1/e8d3ad56-5c39-4fc7-8a53-dd37c55e812c1706792865822LoungeTshirts6.jpg,https://www.myntra.comlounge-tshirts/dreamz+by+pantaloons/dreamz-by-pantaloons-geometric-printed-pure-cotton-lounge-t-shirt/27329038/buy,4.6|81,|81
