,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
45,Ultra-Thin Minimalist Sports Waterproof Digital Watches Men with Wide-Angle Display Rubber Strap Wrist Watch for Men 1206,"INR 1,508.89","INR 1,206.95",4.1,724,https://m.media-amazon.com/images/I/61JwV1rJA-L._AC_UL320_.jpg
89,Ultra-Thin Minimalist Sports Waterproof Digital Watches Men with Wide-Angle Display Rubber Strap Wrist Watch for Men,"INR 1,508.89","INR 1,206.95",3.7,98,https://m.media-amazon.com/images/I/61wwbRCkCSL._AC_UL320_.jpg
165,"Men Watch Set, Gifts for Men Watches Set, Men Gifts Watch, Mens Gifts Birthday Gifts Artificial Leather Men Watch, Mens Watch Gifts Set Gifts Box Organizer","INR 2,588.35","INR 1,294.18",4.5,"2,832",https://m.media-amazon.com/images/I/71-2MY2wUYL._AC_UL320_.jpg
180,Casio Women's MQ24-7B3LL Classic Black Resin Band Watch,"INR 1,924.91","INR 1,316.82",4.5,"3,488",https://m.media-amazon.com/images/I/61AACfngjmL._AC_UL320_.jpg
83,Women LED Display Elecreonic Watch Fashion Chrono Alarm Digital Clock Woman Outdoor Sport Wirstwatch,"INR 1,508.89","INR 1,341.15",4.3,132,https://m.media-amazon.com/images/I/61LsWGPUYuL._AC_UL320_.jpg
128,Casio Women's Vintage LA11WB-1 Sport Black Resin Band Watch,"INR 1,924.91","INR 1,362.95",4.4,"3,418",https://m.media-amazon.com/images/I/81CyKKNM7VL._AC_UL320_.jpg
99,"Casio Men's 'Vintage' Quartz Plastic and Resin Casual Watch, Color:Black (Model: F-91WM-3ACF)","INR 1,924.91","INR 1,415.79",4.6,"1,944",https://m.media-amazon.com/images/I/61WKEiiB-fL._AC_UL320_.jpg
34,Armitron Sport Women's 45/7012NVSV Digital Watch with Matte Navy Strap,"INR 1,572.64","INR 1,415.79",4.2,"1,376",https://m.media-amazon.com/images/I/71l7W0POlQL._AC_UL320_.jpg
16,"ASWEE Smart Watch (Answer/Dial Call),Fitness Tracker with 1.85"" TFT Display,Multiple Sport Modes Smartwatch with Heart Rate Blood Oxygen and Sleep Monitor,IP68 Waterproof Smart Watches for Men Women","INR 7,547.82","INR 1,425.02",4.1,297,https://m.media-amazon.com/images/I/61H-IizEiWL._AC_UL320_.jpg
181,LN LENQIN Mens Watches Unisex Military Watches Sport Nylon Strap Stylish Luminous Fashion Watches Analog Quartz Watches for Men Waterproof Army Tactical Casual Wristwatch,"INR 2,515.38","INR 1,425.02",4.1,741,https://m.media-amazon.com/images/I/71UUjbESoFL._AC_UL320_.jpg
111,Amazon Essentials Men's Easy to Read Strap Watch,"INR 1,593.61","INR 1,434.25",4.4,"5,217",https://m.media-amazon.com/images/I/81t9U7CeI2L._AC_UL320_.jpg
160,Casio Illuminator Alarm Chronograph Digital Watch 50M Water Resistant W217H-5AV,"INR 1,924.91","INR 1,507.22",5.0,3,https://m.media-amazon.com/images/I/618hU5MRd4L._AC_UL320_.jpg
54,"Smart Watch for Men Women - Answer/Make Calls/Quick Reply/AI Voice Assistant, 1.83"" for Android iPhone Samsung Compatible IP68 Smartwatch Blood Oxygen Heart Rate Fitness Tracker (Black, 1.83"")","INR 2,515.38","INR 1,508.89",4.4,120,https://m.media-amazon.com/images/I/613zGS0203L._AC_UL320_.jpg
8,Armitron Sport Women's 45/7012 Digital Chronograph Resin Strap Watch,"INR 2,012.98","INR 1,570.12",4.2,"2,825",https://m.media-amazon.com/images/I/71sAllCrl5L._AC_UL320_.jpg
185,Casio Men's AE-1300WH-8AVCF Illuminator Digital Display Quartz Black Watch,"INR 2,512.03","INR 1,670.77",4.6,"1,904",https://m.media-amazon.com/images/I/71U60K-9oVS._AC_UL320_.jpg
197,Nine West Women's Floral Dial Strap Watch,"INR 3,082.37","INR 1,677.48",4.6,"5,574",https://m.media-amazon.com/images/I/81vo5GlwkxL._AC_UL320_.jpg
53,"Armitron Sport Men's Digital Chronograph Resin Strap Watch, 40/8284","INR 1,887.16","INR 1,698.45",4.3,"2,211",https://m.media-amazon.com/images/I/913iWFaW8NL._AC_UL320_.jpg
79,"Armitron Sport Men's Digital Chronograph Resin Strap Watch, 40/8284","INR 1,887.16","INR 1,698.45",4.3,"2,211",https://m.media-amazon.com/images/I/913iWFaW8NL._AC_UL320_.jpg
93,"ENGERWALL Fitness Tracker with Step Counter/Calories/Stopwatch, Activity Tracker with Heart Rate Monitor, IP68, Health Tracker with Sleep Tracker, Smartwatch, Pedometer Watch for Women Men Kids","INR 2,515.38","INR 1,760.52",3.7,"6,625",https://m.media-amazon.com/images/I/61YvYiLUxDS._AC_UL320_.jpg
103,Casio Men's Vintage F105W-1A Illuminator Water Resistant Sport Watch,"INR 2,512.03","INR 1,795.74",4.6,"2,856",https://m.media-amazon.com/images/I/51GUx+NFHgL._AC_UL320_.jpg
44,Casio Men's MW240-1BV Easy to Read Analog Display Quartz Black Watch,"INR 2,512.03","INR 1,838.52",4.6,"2,364",https://m.media-amazon.com/images/I/81aa+x1yutL._AC_UL320_.jpg
58,Casio CA53W Vintage Series | Data Bank | 1/100 SEC Stopwatch | Water Resistant | 8 Digit Calculator | Dual Time | Resin Band | Resin Case | Auto Calendar | Daily Alarm | 5 Year Battery,"INR 2,092.66","INR 1,838.52",4.6,"26,000",https://m.media-amazon.com/images/I/71pii4nJGML._AC_UL320_.jpg
30,"Casio Men's Fishing Timer Quartz Watch with Resin Strap, Green, 24.1 (Model: WS-1200H-3AVCF)","INR 2,260.40","INR 1,838.52",4.5,"1,861",https://m.media-amazon.com/images/I/61ohz-hb1UL._AC_UL320_.jpg
36,Casio Black Out,"INR 2,260.40","INR 1,838.52",4.5,"3,451",https://m.media-amazon.com/images/I/717brneXj4L._AC_UL320_.jpg
125,Casio Men's 10-Year Battery Date Indicator Sport Watch MW600F-4AV,"INR 2,512.03","INR 1,838.52",4.5,"1,316",https://m.media-amazon.com/images/I/610rl2TffmL._AC_UL320_.jpg
161,Casio AE1000W Series | Men’s Digital Watch | Black | 100M WR | Multi Alarms | 100 SEC Stopwatch | Countdown Timer | World Map for World Time | LED Light | LC Analog Display | 10 Year Battery,"INR 2,512.03","INR 1,838.52",4.5,"6,293",https://m.media-amazon.com/images/I/61nsscjpDsL._AC_UL320_.jpg
121,Casio Men's W89HB-5AV Illuminator Nylon Bancd Sport Watch,"INR 2,512.03","INR 1,838.52",4.4,"3,094",https://m.media-amazon.com/images/I/61wfrOX3oHL._AC_UL320_.jpg
98,"Citizen Eco-Drive Axiom Mens Watch, Stainless Steel","INR 33,130.23","INR 12,077.86",4.5,"1,907",https://m.media-amazon.com/images/I/71aDp3jqboL._AC_UL320_.jpg
178,"SAMSUNG Galaxy Watch 6 40mm Aluminum Smartwatch w/ Fitness Tracker, Heart Monitor, BIA Sensor, Advanced Sleep Coaching, Bluetooth – Graphite","INR 25,161.36","INR 14,341.62",4.3,290,https://m.media-amazon.com/images/I/615JzCB9eEL._AC_UL320_.jpg
196,"Amazfit GTR 4 Smart Watch 46mm, GPS, Alexa Built-In, Bluetooth Calls & Text, 14-Day Battery, Heart Rate Sleep Monitoring, AI Fitness App & Sports Coach, 150+ Sports Modes, for Android iPhone, Black","INR 16,773.96","INR 15,093.97",4.4,"1,673",https://m.media-amazon.com/images/I/71aWDnZOfLL._AC_UL320_.jpg
152,"Fossil Men's Gen 6 44mm Stainless Steel Touchscreen Smart Watch, Color: Smoke (Model: FTW4059V/FTW4059R)","INR 26,755.81","INR 16,945.90",4.1,"1,610",https://m.media-amazon.com/images/I/71Gtzq2yqnL._AC_UL320_.jpg
174,"SAMSUNG Galaxy Watch 6 Classic 47mm Stainless-Steel Smartwatch w/ Fitness Tracker, Heart Monitor, BIA Sensor, Bluetooth – Black","INR 25,161.36","INR 19,374.89",3.6,330,https://m.media-amazon.com/images/I/61RIYaGjTaL._AC_UL320_.jpg
94,"GRV Smart Watch for iOS and Android Phones (Answer/Make Calls), Watches for Men Women IP68 Waterproof Smartwatch Fitness Tracker Watch with Heart Rate/Sleep Monitor Steps Calories Counter (Black)","INR 3,354.12","INR 2,012.14",4.0,"19,829",https://m.media-amazon.com/images/I/61kKbv4WA3L._AC_UL320_.jpg
158,"Smart Watch for Men Women, 1.96"" AMOLED Display, Fitness Watch(Answer/Make Call) with Heart Rate Sleep SpO2 Monitor,IP68 Waterproof Activity Trackers and Smartwatches for iOS and Android","INR 4,192.86","INR 2,096.01",4.0,303,https://m.media-amazon.com/images/I/71TmG1xsdAL._AC_UL320_.jpg
170,Nine West Women's Mesh Bracelet Watch,"INR 3,082.37","INR 2,215.11",4.3,"9,162",https://m.media-amazon.com/images/I/9183p+ExCVL._AC_UL320_.jpg
51,"IOWODO Smart Watch for Men Women - 1.85''HD Screen with Make and Answer Calls, with AI Voice Assistant, SpO2/Heart Rate/Sleep Monitor, 100+ Sports Modes, Smartwatch for Android and iOS (2 Straps)","INR 4,192.86","INR 2,396.28",4.3,"1,706",https://m.media-amazon.com/images/I/71oaX1N6STL._AC_UL320_.jpg
56,Anne Klein Women's Bracelet Watch,"INR 5,451.81","INR 2,431.51",4.5,"15,007",https://m.media-amazon.com/images/I/71zf0IXAErL._AC_UL320_.jpg
40,"Hwagol Smart Watch (Answer/Make Call), 2024 Newest 1.85 Inch Fitness Tracker, Heart Rate/Sleep Monitor/Pedometer/Calories, Multiple Sports Modes, Women's Men's Fitness Watch for Android iPhone（Pink）","INR 3,354.12","INR 2,431.51",3.9,"5,632",https://m.media-amazon.com/images/I/71Q0vE6MI2L._AC_UL320_.jpg
155,"Smart Watch for Android iPhone [49mm], Bluetooth Call, 120+ Sports Modes Fitness Tracker, Heart Rate/Health/Sleep Monitor, Step Calorie Counter, Water Resistant Smartwatch for Women Men (Starlight)","INR 4,192.86","INR 2,515.38",4.1,240,https://m.media-amazon.com/images/I/712GTVxvsVL._AC_UL320_.jpg
15,Casio Men's Vintage DBC32-1A Data Bank White Digital Watch,"INR 5,866.99","INR 2,547.25",4.7,"4,727",https://m.media-amazon.com/images/I/519gs9zcL2L._AC_UL320_.jpg
184,Anne Klein Women's Glitter Accented Bracelet Watch,"INR 6,290.55","INR 2,625.26",4.5,513,https://m.media-amazon.com/images/I/71ARVLzvPWL._AC_UL320_.jpg
27,Nine West Women's Strap Watch,"INR 3,082.37","INR 2,671.39",4.5,"2,981",https://m.media-amazon.com/images/I/81yd4o7uKZL._AC_UL320_.jpg
29,Nine West Women's Bracelet Watch,"INR 3,082.37","INR 2,671.39",4.4,"4,093",https://m.media-amazon.com/images/I/91H3ETNzJ3L._AC_UL320_.jpg
166,"Parsonver Smart Watch for Men Women(Answer/Make Calls), HD Screen Fitness Tracker IP68 Waterproof 100+ Sport Modes, Heart Rate Sleep Monitor, Pedometer, Smartwatch for Android Phones/iPhone Compatible","INR 3,354.12","INR 2,767.00",4.1,"2,597",https://m.media-amazon.com/images/I/615QzRciC8L._AC_UL320_.jpg
39,"Armitron Women's Genuine Crystal Accented Bracelet Watch, 75-2475","INR 3,774.33","INR 2,943.98",4.1,"6,517",https://m.media-amazon.com/images/I/81jh77sKg2L._AC_UL320_.jpg
87,"Timex Expedition Rugged Core Analog Watch, Full Size","INR 4,780.82","INR 2,964.11",4.3,"2,536",https://m.media-amazon.com/images/I/817oUrJyL9L._AC_UL320_.jpg
110,"Citizen Men's Eco-Drive Sport Luxury World Chronograph Atomic Time Keeping Watch in Stainless Steel with Blue Polyurethane strap, Blue Dial (Model: AT8020-03L)","INR 58,292.43","INR 29,775.27",4.5,"2,143",https://m.media-amazon.com/images/I/81NCuv0esNS._AC_UL320_.jpg
191,Timex Men's Expedition Acadia 40mm Watch,"INR 5,116.31","INR 3,028.69",4.4,"5,737",https://m.media-amazon.com/images/I/71e0RimGQGL._AC_UL320_.jpg
198,Timex Women's Ironman Essential 34mm Watch,"INR 4,445.32","INR 3,111.73",4.5,"3,553",https://m.media-amazon.com/images/I/81n1h3AHJbL._AC_UL320_.jpg
123,Timex Women's Ironman Transit 33mm Resin Strap Watch,"INR 4,780.82","INR 3,126.82",4.4,"6,048",https://m.media-amazon.com/images/I/81SeUN9iuWL._AC_UL320_.jpg
194,TIMEX Men's IRONMAN Classic 30 38mm Watch,"INR 5,284.06","INR 3,128.50",4.5,823,https://m.media-amazon.com/images/I/91l18rpgLSL._AC_UL320_.jpg
127,Timex Men's Easy Reader Watch,"INR 5,451.81","INR 3,145.28",4.6,"19,449",https://m.media-amazon.com/images/I/61TL6LLiy4L._AC_UL320_.jpg
109,Anne Klein Women's Bracelet Watch,"INR 4,613.07","INR 3,162.05",4.5,"2,133",https://m.media-amazon.com/images/I/61csQUB2Y+L._AC_UL320_.jpg
146,Watches for Men Luxury Quartz Chronograph 3ATM Waterproof Sport Wrist Watches Multifunctional with Silicone Strap Casual Mens Watches,"INR 3,354.12","INR 3,186.37",4.5,23,https://m.media-amazon.com/images/I/717WUsp2lPL._AC_UL320_.jpg
104,Timex Women's Easy Reader Watch,"INR 4,613.07","INR 3,228.31",4.5,"21,872",https://m.media-amazon.com/images/I/81IVbggk6iL._AC_UL320_.jpg
183,Timex Men's Expedition Digital CAT 39mm Watch,"INR 4,780.82","INR 3,346.57",4.4,"2,701",https://m.media-amazon.com/images/I/81SYZHsX22L._AC_UL320_.jpg
59,"Smart Watch, 1.96"" Smartwatch for Men Women (Answer/Make Call), Fitness Tracker with 110+ Sport Modes, IP68 Waterproof, Heart Rate/Sleep Monitor, Spo2, Pedometer, Activity Tracker for Android iOS","INR 10,902.78","INR 3,354.12",4.8,187,https://m.media-amazon.com/images/I/71suqe1khwL._AC_UL320_.jpg
84,"𝟐𝟎𝟐𝟒 Upgraded Fitness Tracker (Answer/Make Calls), 1.47"" Smart Watch with 24/7 Heart Rate/Blood Pressure/Sleep Monitor, 100+ Sports Modes Activity Trackers, for Android and iPhone Women Men","INR 3,689.62","INR 3,354.12",4.6,58,https://m.media-amazon.com/images/I/618ilkrVl4L._AC_UL320_.jpg
