Product Title,Product MRP,Discounted Price,Product Image URL,Product URL,Product Rating,Rating Count
Men Analogue Watch,Rs.2899,Rs.1014,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13036804/2021/1/6/48dc4582-ff58-4860-8518-e7554c863e761609906174023-WROGN-Men-Blue-Analogue-Watch-WRG00048B-6571609906172979-1.jpg",https://www.myntra.comwatches/wrogn/wrogn-men-blue-analogue-watch-wrg00048b/13036804/buy,4.3,1.8k
Women Bling Watch & Bracelet Gift Set,Rs.5299,Rs.1059,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/1/16/49d078ba-62cc-40dc-a179-10fe3d1a27891610774922948-1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-black--silver-toned-bling-watch--bracelet-gift-set/13453656/buy,4.1,174
Women Watch Gift Set,Rs.5498,Rs.1099,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18214032/2023/7/18/f21415af-1b6f-41b8-9637-60bf550505741689663766907JOKERWITCHWomenRoseGoldBlackWatchGiftSetJWBS5651.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-rose-gold--black-watch-gift-set-jwbs565/18214032/buy,4.3,699
Women Watch & Bracelet Set,Rs.5499,Rs.1099,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24453868/2023/8/11/c489026f-f986-4160-996b-43cc449332821691749284972WatchGiftSet1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-amiyah-watch--bracelet-set-gift-set-jwbs501/24453868/buy,4.3,699
Women Watch & Bracelet Set,Rs.5499,Rs.1099,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24453854/2023/8/11/b0d63b11-6185-4d21-873a-6a650bb602241691750952694WatchGiftSet1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-celeste-watch--bracelet-set-gift-set-jwbs509/24453854/buy,4.1,173
Women Watch & Bracelet Gift Set,Rs.5499,Rs.1099,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/3/12/88c661a4-16fc-47d1-960f-1ca894c7ca921615533881773-1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-rose-gold-toned--black-dusk-watch--bracelet-gift-set-jwbs376/13856280/buy,4,336
Poze Men Analogue Watch,Rs.1575,Rs.1102,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28207592/2024/4/10/adfd4d15-54d3-4511-b451-4c724d21047a1712739700394SonataMenPozeBraceletStyleStrapsAnalogueWatchSP70033SM01W1.jpg",https://www.myntra.comwatches/sonata/sonata-poze-men-bracelet-style-straps-analogue-watch-sp70033sm01w/28207592/buy,4.6,77
Women Watch & Bracelet Gift Set,Rs.5544,Rs.1108,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18214128/2023/7/18/939a281f-3d4c-4ead-8726-9845246418131689663781848JOKERWITCHWomenBlackSilver-TonedWatchBraceletGiftSetJWBS6131.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-black--silver-toned-watch--bracelet-gift-set-jwbs613/18214128/buy,4.5,24
Women Watch Gift Set,Rs.6199,Rs.1115,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24081830/2023/7/19/3686edc6-aedf-4f62-8ab9-81a726ec01a41689741628487WatchGiftSet7.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-women-watch-gift-set-jwbs826/24081830/buy,4.2,10
Women Watch Gift Set,Rs.6198,Rs.1115,"https://assets.myntassets.com/https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24081512/2023/7/19/cf21618b-7ddc-42c9-9f77-458e208468301689747730635WatchGiftSet1.jpg",https://www.myntra.comwatch-gift-set/joker+%26+witch/joker--witch-pixie-women--watch-gift-set-jwbs764/24081512/buy,3.9,21
