,Product Title,Product MRP,Discounted Price,Product Rating,Rating Count,Product Image URL
1,𝐂𝐫𝐨𝐬𝐬 𝐁𝐫𝐚𝐜𝐞𝐥𝐞𝐭 Religious Cuff Bangle 𝐁𝐢𝐛𝐥𝐞 𝐕𝐞𝐫𝐬𝐞 Christian Gifts Jewelry for 𝐖𝐨𝐦𝐞𝐧,"INR 1,255.59","INR 1,087.85",4.7,"3,893",https://m.media-amazon.com/images/I/71OeWCgh75L._AC_UL320_.jpg
7,YERTTER Wedding Silver Gold Pearl Rhinestone Multi Layered Stretch Wrap Bracelet 1920s Vintage Strand Layered Bracelet Gift for Women Brides,"INR 1,088.68","INR 1,088.68",4.5,101,https://m.media-amazon.com/images/I/718NRtYFCpL._AC_UL320_.jpg
6,MOZAKA 26Pcs Boho Beaded Bracelets for Women Colorful Stackable Sparkly Crystal Beads Bracelets Multi-Layer Versatile Statement Bracelets Stretch Cuff Jewelry Gifts,INR 48.65,"INR 1,257.27",4.5,170,https://m.media-amazon.com/images/I/81hI28nOvZL._AC_UL320_.jpg
3,WAINIS 27-28Pcs Delicate Boho Beaded Bracelet Multi Layer Versatile Statement Bracelets Stackable stretch Cuff Sparkly Glass Crystal Beads bracelets,INR 46.97,"INR 1,257.27",4.4,236,https://m.media-amazon.com/images/I/71q7sW9QpHL._AC_UL320_.jpg
10,WAINIS 6 Sets Bohemian Beaded Stackable Bracelets for Women Stretch Multilayered Crystal Bracelet Set Multicolor Boho Glass Bead Bracelets Pack,INR 223.94,"INR 1,341.15",4.5,256,https://m.media-amazon.com/images/I/81G5zboWqXL._AC_UL320_.jpg
16,LOYALLOOK 8 Sets Bohemian Stackable Bead Bracelets for Women Stretch Multilayered Boho Stackable Bracelets Stack Beads Multicolor Beaded Strand Bangle Charm Bracelets Boho Tassel Bracelet Set Handmade,INR 177.81,"INR 1,425.02",4.6,790,https://m.media-amazon.com/images/I/91YBZZ4CKGL._AC_UL320_.jpg
21,"DEARMAY Dainty Silver Bracelets for Women Trendy, 925 Sterling Silver Jewelry Set for Women Bracelets for Women Paperclip Box Herringbone Figaro Rope Chain Bracelet Fashion Pack Gifts for Women","INR 1,676.64","INR 1,425.02",4.3,988,https://m.media-amazon.com/images/I/61rqM44LoeL._AC_UL320_.jpg
14,Lucky Brand Womens Leather Corded Bracelet,"INR 1,793.23","INR 1,580.19",4.3,384,https://m.media-amazon.com/images/I/81nYtSswK+L._AC_UL320_.jpg
22,Alex and Ani,"INR 2,348.47","INR 1,685.03",4.6,119,https://m.media-amazon.com/images/I/51SSQTFiTRL._AC_UL320_.jpg
18,"Michael Kors Stainless Steel and Cubic Zirconia Chain Bracelet for Women, Color: Rose Gold (Model: MKJ5336791)","INR 5,515.55","INR 4,693.59",4.0,44,https://m.media-amazon.com/images/I/51gj20m-fdL._AC_UL320_.jpg
11,12pcs Friendship Bracelets Beaded Bracelets Heishi Bracelet Cute Bracelets Stack Vinyl Clay Disc Bead Surfer Stretch Summer Beach Bracelets For Women Preppy Bracelets,INR 41.94,INR 502.41,4.6,907,https://m.media-amazon.com/images/I/61nItHb1tfL._AC_UL320_.jpg
12,Btysun Bracelets for Women Birthday Gifts for Mom Inspirational Gifts for Women Mother's Day Daughter Wrap Bracelet Sister Friend Teen Girl Gifts Leather Layered Jewelry Valentines Day Gifts for Her,"INR 1,173.40",INR 586.28,4.5,767,https://m.media-amazon.com/images/I/81--ZWEOryL._AC_UL320_.jpg
15,Manfnee 6PCS Braided PU Leather Bracelet Punk Rock Cuff Wrap Bracelets for Men Women Adjustable Black,INR 111.55,INR 670.15,4.1,"1,895",https://m.media-amazon.com/images/I/71Mcg4V7NaL._AC_UL320_.jpg
4,"SWAROVSKI Twist Rows Crystal Bracelet Collection, Rhodium & Rose Gold Tone Finish, Clear Crystals","INR 14,174.71","INR 8,334.56",4.5,583,https://m.media-amazon.com/images/I/61gHZPIkQGL._AC_UL320_.jpg
