,Product Title,Product Price,Discounted Price,Discount Percentage,Rating,Rating Count,Company Name,Product Image URL,Product URL
0,No title found,Rs.961Rs.3699(74% OFF),Rs.961,No discount percentage found,No rating found,No rating count found,HRX by Hrithik Roshan,fl_progressive/assets/images/29553912/2024/5/17/5f90bc0f-c248-4bff-8a88-54128a77c4a61715927218769HRXbyHrithikRoshanUnisexTexturedSneakers1.jpg,https://www.myntra.comcasual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-unisex-back-to-school-shoes/29553912/buy
1,No title found,Rs.3695,No discounted price found,No discount percentage found,No rating found,No rating count found,Nike,fl_progressive/assets/images/15385018/2023/12/13/dfb783f3-e79e-422c-a201-3ea95e50236d1702451307034NikeWomenBlackRevolution6NextNatureRunningShoes2.jpg,https://www.myntra.comsports-shoes/nike/nike-women-black-revolution-6-next-nature-running-shoes/15385018/buy
2,No title found,Rs.2399Rs.4799(50% OFF),Rs.2399,No discount percentage found,No rating found,No rating count found,ADIDAS,fl_progressive/assets/images/29021518/2024/5/14/606f2233-7262-4b26-80be-5cb43d211abf1715684044787-ADIDAS-Unisex-Sports-Shoes-8781715684044449-1.jpg,https://www.myntra.comsports-shoes/adidas/adidas-unisex-heather-low-sports-shoes/29021518/buy
3,No title found,Rs.2024Rs.4499(55% OFF),Rs.2024,No discount percentage found,No rating found,No rating count found,Puma,fl_progressive/assets/images/29118600/2024/5/6/251824e4-0964-4c2c-8662-79259f72e5c61714995816287-Flyer-Flex-V2-Womens-Running-Shoes-2381714995815907-1.jpg,https://www.myntra.comsports-shoes/puma/puma-women-flyer-flex-v2-running-shoes/29118600/buy
4,No title found,Rs.2149Rs.4999(57% OFF),Rs.2149,No discount percentage found,No rating found,No rating count found,Puma,fl_progressive/assets/images/25841290/2023/11/10/904965cc-764d-46d7-92c7-f20a3f5e98971699605661861PumaBadmintonSmashSprintUnisexIndoorShoes1.jpg,https://www.myntra.comsports-shoes/puma/puma-unisex-badminton-smash-sprint-indoor-shoes/25841290/buy
5,No title found,Rs.1215Rs.3799(68% OFF),Rs.1215,No discount percentage found,No rating found,No rating count found,HRX by Hrithik Roshan,fl_progressive/assets/images/23976346/2023/7/11/0c4abc5b-6921-4234-a618-352c133bec6d1689091614542HRXbyHrithikRoshanWomenOffWhiteMeshRunningNon-MarkingShoes1.jpg,https://www.myntra.comsports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-women-off-white-lace-up-running-shoes/23976346/buy
6,No title found,Rs.799Rs.4245(Rs. 3446 OFF),Rs.799,No discount percentage found,No rating found,No rating count found,Roadster,fl_progressive/assets/images/23077180/2023/5/9/6aa54141-1aac-4359-942f-c4e7239567371683605849618CasualShoes1.jpg,https://www.myntra.comcasual-shoes/roadster/the-roadster-lifestyle-co-women-white--pink-woven-design-comfort-insole-mesh-sneakers/23077180/buy
7,No title found,Rs.1474Rs.2499(41% OFF),Rs.1474,No discount percentage found,No rating found,No rating count found,Van Heusen Woman,fl_progressive/assets/images/25441308/2024/2/26/fe815ca0-965d-488c-9972-5800c92293601708922864864-Van-Heusen-Woman-Women-Heels-1641708922864636-1.jpg,https://www.myntra.comflats/van+heusen+woman/van-heusen-woman-studded-detail-pointed-toe-mules-/25441308/buy
8,No title found,Rs.799Rs.1998(60% OFF),Rs.799,No discount percentage found,No rating found,No rating count found,Tokyo Talkies,fl_progressive/assets/images/20468800/2022/10/20/0edbdd7c-5a6c-4ccd-a5d6-bf5a41105b7d1666216791813TokyoTalkiesWhiteStripedBlockPumps1.jpg,https://www.myntra.comheels/tokyo+talkies/tokyo-talkies-women-white-square-toe-block-heels-/20468800/buy
9,No title found,Rs.1499Rs.2499(40% OFF),Rs.1499,No discount percentage found,No rating found,No rating count found,ELLE,fl_progressive/assets/images/26439696/2023/12/18/c2557dbd-aeb4-486f-8fb1-9fbbb76658631702881149096-ELLE-Rose-Gold-Embellished-Wedge-Sandals-2581702881148763-1.jpg,https://www.myntra.comheels/elle/elle-embellished-flatform-heels/26439696/buy
